0,may dri nose may help moistur membran  dri membran lead septal perfor  though mani caus 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1812,check tooth hurt touch bite clear day need see dentist 1812,area gum swollen  tell tooth infect 1812,dental health  crowd teeth  cosmet dentistri  orthodontia  orthodont retain  orthodont headgear  dental brace  impact tooth  crook teeth  second opinion  invisalign  brace 1812,gum swell
1813,check surgeon compress stock import  follow surgeon  consid custom fit stock  next time consid laser vein treatment rather vein strip 1813,varicos vein  2 week ago strip done leg  swell hurt wear stock given 1813,nan 1813,venous insuffici  varicos vein leg  surgeri  varicos vein
1814,possibl use multipl anesthet usual affect bun cr patient  anesthet agent affect kidney function  signific  anoth possibl elev due dehydr  check physician keep eye valu continu follow 1814,multipl surgeri general anesthesia radiofrequ c2  c3  c4  c5  c6  bilater affect kidneyfunct recent blood high bun crtn 1814,child health  numb  pinch nerv  opiat  arthriti  brain aneurysm  pain joint  massag  deep brain stimul  trauma center  anesthesia  multipl trauma  neuromuscular blocker  brain avm  narcot combin pain 1814,surgeri  general anesthesia  c5  blood urea nitrogen  anesthesia  creatinin
1815,leav ankl fractur good align best keep shoe take shoe may displac fractur  import elev limb pillow ice behind knee  numb toe may due swell unless align put pressur nerv  keep foot ankl straight help arriv  good luck 1815,potenti ankl fractur  keep shoe em arriv  appear fx sinc c numb toe 1815,ankl fractur  talus fractur  sport activ  achill tendon injuri 1815,broken bone  ankl fractur  numb  incis  scissor
1816,typic breast pain follow ruptur opposit breast implant typic like reflect progress capsular contractur intact implant side could also indic differ problem  pleas discuss plastic surgeon may advis imag surgic explor 1816,right breast salin implant ruptur normal light sever pain left side back shoulder chest 1816,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 1816,breast implant  implant  femal health  ruptur
1817,carotidynia carotidynia inflammatori process caus pain carotid arteri  pleas see vascular surgeon pain persist 1817,carotid arteri ent said dont worri swollen pain 10 mo  ct scan show noth abnorm  see vascular doc noth 1817,ct scan  stroke  varicos vein  carotid arteri diseas  venous insuffici  vascular ultrasound  aorta bilater iliofemor runoff cta 1817,ear nose throat  ent head neck surgeri  ct scan  comput tomographi  arteri
1818,see gyn fibroid associ hematuria blood teh urin  need see urologist determin caus treatment necessari  see gynecologist fibroid utreus 1818,fibroid caus blood come urin treat 1818,cancer  prostat cancer  bph  bladder cancer  prostat 1818,uterin fibroid  vagin bleed  urin  femal health  micturit  urin  fibroid
1819,see doctor may viral infect  pleas see doctor 1819,sudden sore  swollen throat  red dot roof mouth  complet fine woke  could 1819,cosmet dentistri  root canal  porcelain veneer  fals teeth  cosmet  dentistri  abscess  tooth pain  tooth abscess  partial dentur  beauti smile  miss teeth  dental abscess  teeth whiten  dental pain  dental implant  tooth extractor  bone loss  oral surgeri 1819,red skin  petechia  throat swell  difficulti breath  allerg reaction  virus  allergi  dentistri  nutrit  palat
1820,possibl autoimmun heterogen textur ultrasound descript thyroid tissu look irregular  mani small nodul  common find peopl autoimmun thyroid diseas  hashimoto thyroid  import make sure thyroid function normal 1820,thyroid sono results:heterogen gland suggest multinodular goiter discret domin mass observedwhat mean 1820,diabet  osteoporosi  thyroid diseas  metabol syndrom  pituitari diseas 1820,thyroid nodul  inflamm thyroid  goiter  thyroid enlarg  antithyroid medic  surgeri  nodul  sonogram  thyroid gland remov
1821,histori  physic dont think yore anxious   upset  look  get treat vitamin lack  good primari care physician tell whether could hyperthyroid  pheochromocytoma  aortic regurgit  medic effect  primari cardiac diseas    direct referr accord  yore satisfi  get good cardiologist  best wish 1821,25 femal visit doc 153 hr  high blood pressur  abnorm ekg  blood test normal  low vitamin  anxieti see cardiologist 1821,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 1821,high blood pressur  feel anxious  abnorm electrocardiogram  rapid heart beat  renal arteri stenosi  vitamin defici  abnorm blood pressur  hypertens  hypertens  arteri
1822,anyth shouldnt dietari restrict  except eat moder  avoid food make reflux sunroom wors  talk gastroenterologist endoscop surveil barrett esophagus 1822,mom barret esophagus  diabet  bp   thyroid  shes kidney stone n recent hd gall bladder remov  food cn eat 1822,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 1822,diabet  diabet type 2  inflamm thyroid  nephrolithiasi  kidney stone  antithyroid medic  gallbladd remov  nutrit  blood pressur  bladder
1823,yes menisc tear symptom  usual pain present  swell  possibl lock catch  rec see orthopedist 1823,meniscus tear caus  knee click joint line hard time bend extend knee get stuck  pleas help 1823,knee injuri  arthroscopi  orthoped surgeri  sport medicin  shoulder injuri  fractur 1823,torn meniscus  synovium  orthoped surgeri  knee arthroscopi
1824,see doctor see ophthalmologist  situat concern  need make certain viral conjunct resolv  possibl could herpet  uveiti  corneal ulcer  preserv free tear hurt 1824,2 year old daughter suffer sever viral conjunct unabl open eye due light sensiv   help 1824,cataract  cataract surgeri  glaucoma  dri eye  ophthalmolog  cataract remov  retin disord  eyelid surgeri  corneal opac 1824,pink eye  ophthalmolog  conjunct
1825,chang mole isnt one specif answer  spot get larger darker get check  cancer aris pre exist mole  better safe sorri 1825,last summer bithmark chang shape size bit  big differ shall suspect skin cancer contact doctor 1825,breast augment  breast reduct surgeri 1825,skin cancer  melanoma  cancer  birthmark  dermatolog
1826,get aggress nasal wash salin often requir spray like hose kid sputter  shift side  kid sneez stuff  clear thicken secret process sucker often unnecessari well  use simpl drop drop method wast time 1826,son 2mths 14lbs9oz suction  salin doesnt help congest flu rsv help  got humidifi also cough fever 1826,child health  chickenpox  ear infect  sleep hygien  learn disord 1826,influenza  fever  flu  cough  respiratori syncyti virus  rsv  humidifi  children health
1827, visit scratchi throat may b associ allergi  sinc prolong though examin physician offic done  symptom fever  night sweat easi bruis import inform visit 1827,sore throat long time  also quit bad hay fever  could allergi caus sore throat 1827,pediatr pulmonolog  pulmonolog  infant health  infant toddler health  prematur deliveri 1827,fever  sore throat  throat pain  hypersensit  child allergi  pediatr allergi  hay fever  allerg rhiniti  allergi
1828,normal gb ef greater 30%  normal ultrasound normal  caus entertain  ct mr may show sludg within gb  seen ultrasound 1828,recommend gallbladd hida scan say function 30 percent gb ultrasound say dont gallston 1828,pet scan  nuclear medicin  travel medicin  nuclear stress test  outpati clinic 1828,abdomin bloat  nausea  dyskinesia  food intoler  fatti food intoler  feed  low fat diet  lowfat diet  diet  nutrit
1829,chronic sinus true sinus infect requir antibiot relat rare compar number peopl sinus irrit  often  symptom relat allergi  dri air irrit mucos line sinus  chronic sinus problem  best consult ear  nose throat specialist consid under caus infect inflamm 1829,sever sinus infect antibiot ct scan still head pressur ach  9 week sinc start   normal 1829,nan 1829,sinus  ct scan  ent head neck surgeri  comput tomographi  antibiot
1830,yes yes  like involv near brainstem affect one cranial nerv control movement eyescn iii  iv  vi along brainstem equilibrium 1830,could brain tumor present doubl vision spell dizzi spell last 30 second two minut 1830,cataract  cataract surgeri  glaucoma  dri eye  ophthalmolog  cataract remov  retin disord  eyelid surgeri  corneal opac 1830,dizzi  neoplasm  doubl vision  cancer  brain tumor  vision
1831,med steroid may use muscl relax  antiinflamatori pain med  ten machin  steroid oral  epidur steroid inject surgeri   result vari intervent  discuss doctor 1831,herniat cervic disc c5c6 touch nerv  5 month physio  tingl sensat arm  still neck pain often  els done 1831,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 1831,neck pain  tingl  nerv  tactil  c5
1832,inflamm mani condit caus pain swell includ cellul  gout  inflammatori arthriti  stress fractur  trauma   pressur sore  mention  strong recommend consult podiatrist care examin workup 1832,pain swell ball foot big toe diabet 1832,nan 1832,diabet  fibroma
1833,unlik young age unlik would chang short time  head trauma could chang head ct 1833,mrict 5mths ago brain anyth serous chang like coma tumor bleed im 20 medic problem 1833,aneurysm  brain aneurysm  brain tumor  cervic spine  stroke  cerebr vascular accid  subarachnoid hemorrhag  cervic spine stenosi  orthoped spine surgeri  brain avm 1833,neoplasm  cancer  coma  comput tomographi  mri  magnet reson imag
1834,possibl also trust new statin hasnt given skelet muscl inflamm  also rais transaminas  physician know continu workup 1834,alt 188 ast 88 chang statin caus elev nevver abnorm liver function test 1834,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 1834,liver dysfunct  liver function test  sgot  sgpt  liver function  statin  elev  ast
1835,would recommend discuss physician inform @ histori need 1835,sgpt alt 52  sgot ast 27  ldh 268  get test 1835,cardiolog  coronari arteri diseas  cholesterol test  congest heart failur  cardiac echo  echocardiogram  arrhythmia  prevent medicin  heart diseas prevent  ct heart scan  abnorm electrocardiogram  gestat hypertens 1835,lactat dehydrogenas  sgpt  sgot  ast
1836,realli would concern possibl condit known obstruct sleep apnea  mention doc 1836,wake gasp air im fall asleep  occasion local pain sternum  healthi ecg 2 yr ago   good bp  doc say heart  lung sound good  still need worri heart failur 1836,nan 1836,heart failur  difficulti breath  electrocardiogram  blood pressur
1837,tmj expert sound like tmj problem  c spine relat  see tmj expert need advic  dentist tmj expert proper train experi  common  oral surgeon  prosthodontist  orofaci pain specialist  ask md  dentist dental societi referr 1837,tmj c spine issu  click left tmj neck without realli anyth big tmj pain  click stretch strengthen exercis  mri 12 2012 show cervic damag  tmj 1837,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 1837,tmj syndrom  mri  magnet reson imag  exercis
1838,complex question 31 yo women hx preeclampsia sever headach  disori cellul face without fever plus pain midspin eye undescrib durat unknown histori recent trauma strain  fall near fall exposur ill recent travel leav mani question  answer see doctor urgent new onset progress 1838,sever pain mid spine thru eye  stiff swollen neck trembl  spasmat muscl  disorient sever headach  cellul face  temp 97 3 tho  scare  wrong 1838,diabet diet  nutrit senior  hospic care  palliat care 1838,headach  trembl  multi infarct dementia  sever headach  cellul
1839,conserv 30 mild cervic disc herniat  consid physic therapi first line treatment  neurolog symptom  consult neurosurgeon long term follow 1839,cervic disk herniat c4c5 c5c6 c6c7 1839,aneurysm  brain aneurysm  brain tumor  cervic spine  stroke  cerebr vascular accid  subarachnoid hemorrhag  cervic spine stenosi  orthoped spine surgeri  brain avm 1839,herniat disk  hernia  c5
1840,minim risk concern understand  radiat exposur chest xray minim  adult higher dose children chest xray dose equival 10 day natur background radiat yes radiat exposur around us time 1840,8 month old one chest xray er high fever  lung clear  risk cancer 1840,cancer  femal health  sonogram  ct scan  surgeri  mammogram  breast carcinoma  breast cancer  kidney stone  child health  dementia  brain tumor  colon cancer  atelectasi  stroke  sleep  hysterosalpingogram  transvagin ultrasound  thoracentesi  deep venous thrombosi 1840,fever  high fever  cancer  xray chest
1841,big differ sciatica refer pain leg  common associ herniat disk may help surgeri pt fail  sacroil pain joint connect sacral spine pelvi radiat  pt alon best treatment surgic treatment general indic 1841,scaroil sciatica what  differ xray  dr say sacroil  feel pain back  hip  run knee 1841,sciatica  bulg disk  brain tumor  spinal surgeri  brain aneurysm  cervic spondylosi 1841,mri sacroiliac spine without contrast  sacroiliac mri arthrogram  sacroiliac joint inject  sclerosi  sciatica  low back pain
1842,also could also muscl spasm problem jaw joint prevent open  see dentist asap  longer limit open difficult treat 1842,due wisdom tooth troubl  cant open mouth would accomod one finger  dentist prescrib antibiot 2 day  ach subsid still cant open mouth normal 1842,sleep  tmj syndrom  sleep apnea  dentistri  facial pain  snore  apnea  dental health  tooth pain  manag tmj  dental pain  dental bite disturb 1842,fever  muscl spasm  abscess  facial swell  trismus  breathless  difficulti breath  twist muscl  charley hors  facial
1843,sure reason miss late periods: low bodi weight  obes  mark weight ^ v  overexercis  endur athlet  breastfeed  ^ stress  ill  eat disord bulimia anorexia  anovulatori cycl egg releas  travel  hormon irregular  drug use  med  e   birth control medic problem e  pcos  #1 reason pregnanc 1843,heavi breast abdomen  nauseus  pregnant symptom  neg hpt  late period what wrong 1843,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 1843,mens  abdomin bloat  nausea  breast tender  ovarian cyst  delay menstrual period  menstrual cycl  menstrual period  hormon  estrogen
1844,danger combo potenti danger combin  adderal prozac trigger serotonin syndrom  add crack potenti overstimul  danger increas heart rate blood pressur 1844,prozac adderal crack 1844,child health  adhd  adderal  seizur  concuss  dextroamphetamin racem amphetamin  seizur disord  ritalin  convuls  brain injuri  depress  mening  paralysi  csf cultur  traumat brain injuri  lead exposur  learn disabl 1844,fussi  agit  prozac  fluoxetin  dextroamphetamin racem amphetamin  adderal
1845,yes im surgeon disk high press spinal column good thing 1845,mri report right paracentr herniat c5c6 iv disc indent spinal cord   doctor said necessari oper right 1845,fit exercis  healthi diet  heart diseas prevent 1845,edema  hernia  mri  magnet reson imag  surgeri  c5
1846,doubt depress could fulli explain symptom  tingl could due hyperventil  medic side effect  even peripher neuropathi caus  describ issu consist ms 1846,could ms  sever depress  constant tire   lack libido tingl sensat hand feet 1846,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 1846,depress  hand numb  numb  loss sex drive  vitamin defici  multipl sclerosi  tingl  sclerosi  libido
1847,bright red color stool common seen dark blood  later usual reflect upper gi bleed howev  happen  also  sometim bleed occult cant appreci visual test specif test call stool occult blood test 1847,colon cancer usual caus bright red blood stool blood darker color 1847,cancer  breast cancer  breast carcinoma  research center  medic research 1847,cancer  colon cancer  fece  colonoscopi  colon  digest health  gastroenterolog
1848,tough one test pe involv either iv dye radiat venous ultrasound look clot leg  negat good sign  clot pelvi hard identifi without radiat  real clinic concern could ctangiogram chest abdomen shield would discuss doctor see level concern 1848,test doctor run rule pulmonari embol pregnant woman 20 gs wks  leg pain  short breath  cough chest pain 4 day long distanc travel 1848,thorac outlet syndrom  treat varicos vein  carotid arteri surgeri  aortic aneurysm repair  manag peripher vascular diseas 1848,cough  chest pain  leg pain  blood clot lung  breathless  pulmonari embol  chest tight  chest pressur  angina  embolus
1849,head neck scan ct scan without contrast use identifi nose sinus anatomi membran swell infect  mri head without contrast show brain sinus  use outlin growth tumor 1849,would brain mri without contrast show problem sinusescyst tumorsor order mri specif sinus 1849,nan 1849,mri sinus  mri brain  mri  magnet reson imag
1850,would     tone narcot analges swith prescript antiinflammatori  physic therapi also help stage 1850,broken  disloc ankl  torn ligament  surgeri  weight 8 wks  wk 7  take norco 5mg 325 23x daili  normal long take 1850,surgeri  ingrown toenail  toenail  verruca  plantar wart  wart  athlet foot  foot care  toenail fungus  flat feet  orthot  minim invas surgeri  foot health 1850,pain joint  arthriti  run  physic therapi  physiotherapi  surgeri  norco  hydrocodon acetaminophen
1851,common symptom poor control nasal allergi present symptom  swollen lymph node could recent viral infect caus worsen nasal symptom  canker sore also common  riski sexual behavior recent get test hiv alway advis regardless symptom current suffer 1851,allergi past 3 monthscough  sneez  special night hard breath stuffi nose  swollen lymph neck nd crank sore  hiv 1851,allergi  asthma  nutrit  allerg reaction  manag eczema  food allergi  stuf nose  flu  contact dermat  treat hive  urticaria angioedema  bee sting allergi  chickenpox  non allerg rhiniti  anaphylact shock  acut sinus 1851,stuf nose  cough  hypersensit  breath difficulti  human immunodefici virus  hiv  amphetamin  allergi
1852,sure left side may drain right side might harbor someth tissu  get see oral surgeon asap evalu area  want wait   especi lymph node involv  explain situat  pain swell node get asap  good luck 1852,pericoron infect wisdom tooth lower left side  swollen lymph node right side though possibl 1852,fals teeth  dental implant  sleep  dental health  oral surgeri  stress less  abscess  dental care  dental fill  bone loss  ulcer  miss teeth  oral maxillofaci surgeri  diagnost servic 1852,pericoron
1853,milk allergi vast major adult cant toler milk actual suffer lactos intoler  effect actual allergi  even skin test came back posit  would recommend either avoid milk tri lactosefre milk product  even lactas supplement allow someon toler milk  question  see doctor gi doctor  good luck 1853,skin test food allergi +2 reaction milk +to soy  blood test  came back negat still issu w milk 1853,diarrhea  ulcer  gastroesophag reflux diseas  irrit bowel syndrom  constip  nutrit  abdomin pain  helicobact pylori  gastriti  coliti  gallston  blood stool  cirrhosi liver  alkalin phosphatas  esophag  anti reflux surgeri  spinal cord injuri 1853,food allergi  food intoler  hypersensit  food allergi  nutrit  allergi
1854,dri mouth dri mouth xerostomia caus mani differ factor  includ mouth breath  low humid  medic  without know anyth medic histori environ  would best see physician examin test  dri mouth lead rampant tooth decay 1854,im 26 year old femal whos experienc dri mouth relief drink water mom diabet nobodi els could 1854,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 1854,dri mouth  diabet type 2  diabet
1855,see doctor examin diagnos 1855,ive recent broke pimpli flesh colour itchi rash forearm back neck thigh tummi idea could thankyo 1855,diabet  women health  hyperlipidemia  hypertens 1855,skin rash  rash  itchi rash
1856, horner syndrom horner syndrom aris group nerv call sympathet trunk damag  appear acquir benign result someth serious tumor upper chest  neck thyroid  need see neurologist appropri test diagnosi  good wishes: 1856,scalp tender right side along ptosi r eyelid frequent headach wors behind around right eye  also pupil diff size 1856,nan 1856,headach  horner syndrom  droop eyelid  horner syndrom  pupil
1857,terribl combin sound like take medicaiton doctor supervis combin  need consult psychiatrist experi deal peopl use self medicaion polypharmaci  continu  may harm 1857,klonopin  3 mg  rais  4mg along prozak  adhd med like dextroamphetamin  concerta vyvans  adderal trazodon   multipl  other like 7 month ago  sudden  take  insur  suffer 1857,child health  adhd  adderal  seizur  concuss  dextroamphetamin racem amphetamin  seizur disord  ritalin  convuls  brain injuri  depress  mening  paralysi  csf cultur  traumat brain injuri  lead exposur  learn disabl 1857,adhd  insur  vyvans  trazodon  ritalin  prozac  klonopin  psychiatri  dextroamphetamin racem amphetamin  dextroamphetamin
1858,rapid strep test may benefit see pmd test rule strep throat 1858,pain sore throat get wors day last 5 day accompani cough  fever  congest  long last 1858,deviat nasal septum  facelift  septoplasti  facial plastic surgeri  botox  ent head neck surgeri  dermal filler  deviat septum surgeri  eye lift  neck lift  brow lift  mini lift  revis rhinoplasti  constip  rhinoplasti  rhinoplasti  asian american health  asian eyelid surgeri  blepharoplasti 1858,throat pain  sore throat  fever  cough
1859,hiatal hernia pain ativan help relax may help hiatal hernia slide diaphragm area  major pain probabl hiatal hernia fixabl 1859,diagnos eros gastriti  gerd  hiatal hernia  terribl stomach pain  ativan thing give relief 1859,heartburn  unexplain weight loss  weight loss surgeri  minim invas surgeri  hernia repair 1859,stomach pain  hernia  hiatal hernia  stomach discomfort  gastrointestin pain  gastroesophag reflux diseas  gastriti  ativan
1860,need prompt medic eval  take care 1860,white sometim greenish cloth like discharg terribl itch around anal vagina  peel skin rash vagina area  kinda odor bad 1860,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 1860,skin rash  rash  peel skin
1861,possibl need sleep studi determin sleep apnea 1861,overnight oxygen test done 83% sleep apena caus asd asa also heart relatedcan liver diseas caus 1861,diabet  women health  hyperlipidemia  hypertens 1861,sleep apnea  liver diseas  apnea  sleep  aspirin  oxygen
1862,heart attack want decreas risk  get mediterranean diet exercis program see doc take care treatabl risk factor  smoke good luck healthi futur 1862,myocardi infarct happen age im 23 bmi 30 dont work sit lot  rest heart rate great tho 50 55 bpm 1862,chest pain 1862,heart attack  myocardi infarct  infarct  infarct  heart rate  workout  bodi mass index  bmi
1863,tendon possibl tendon  need see famili doctor hand surgeon 1863,thumb joint pain swollen   sever pain grasp move thumb toward small finger   pain 1 month  sever pain 3 day 1863,diabet 1863,osteoarthr
1864,see fertil md obvious  difficulti ovul irregular period  state age 34  would good begin evalu fertil requir order receiv ovul induc drug  good luck 1864,tri babi  calcul ovul last period  next period didnt come  yet pregnant  dont know id ovul expect period  want get fertil drug  pls advic 1864,contracept  cancer  endometriosi 1864,ovul  menstrual period  pregnanc  menstrual cycl  fertil drug  fertil
1865,biopsi thyroid cancer run famili  famili histori nodul biopsi warrant  thyroid nodul  howev  benign  best wish father 1865,father diagnos thyroid cancer 46  27  ask thyroid ultrasound precaut  us reveal one 4x6x6mm solid nodul  worri merit biopsi 1865,surgeri  antithyroid medic  inflamm thyroid  cancer  thyroid nodul  thyroid biopsi  laparoscop surgeri  thyroidectomi  thyroid surgeri  eardrum repair  oral cancer  mouth cancer  otiti media  ear infect  child health  basal cell  basal cell carcinoma  voic disord  tonsil stone  thyroid cancer 1865,thyroid nodul  thyroid cancer  inflamm thyroid  cancer  antithyroid medic  sonogram  ultrasound thyroid  biopsi  nodul
1866,hot tub nice per nation multipl sclerosi societi hot tub test use past diagnos ms  person suspect ms immers hot tub water  appear neurolog symptom worsen taken evid person ms  slight elev core bodi temp impair abil demyelin nerv conduct electr impuls  discuss sx dr 1866,ive read ms use check least partial hot tub test  ive notic symptom dizzi  balanc issu  numb tingl extrem actual seem better im hot bath shower  mean anyth coincid 1866,sleep  anxieti  diabet  anxieti disord  dementia  advil  nuprin  eat healthier  rufen  diabet type 2  elder care  motor vehicl accid 1866,dizzi  tingl  numb  vertigo
1867,chronic daili hz condit call chronic daili headach  unsur exact caus start  usual respond usual treatment headach treatment actual make headach wors  tri find headach specialist pediatr neurologist area expertis type headach 1867,would 15 yr old daughter constant headach 6 + week check pediatrician  eye doctor  neurologist ent   noth 1867,child health  vaccin  autism  autism spectrum disord  pediatr  sid  foster care  fever  age grace  immun  babi hiccup 1867,stress  headach  children  imag  comput tomographi  magnet reson imag  pediatr  ophthalmolog  neurolog  mri
1868,an sound littl odd realli  trauma best see opthomoligist  fir evalu treatment 1868,20  male  doc scare lay dark right eye went blind  everytim go dark right eye goe blind light 1868,nan 1868,vision loss
1869,pain see dentist oral surgeon valid pain  may tmj problem  unerupt wisdom tooth  problem dentist best abl diagnos treat 1869,jaw sore spot hurt press  lower left jaw  mouth tooth pain  caus one side headach  see doctor 1869,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 1869,dental pain  tooth pain  headach  tmj syndrom  manag tmj  oral surgeri  oral maxillofaci surgeri
1870,symptom must see gynecologist soon possibl 1870,feel weird cramp tummi  also ive spot day period  spot bee go week day  light pink kinda brown  sometim feel dizzi  someth wrong 1870,metabol bone diseas 1870,menstrual period  menstrual cycl
1871,see pcp could number caus  need detail see bump order diagnos 1871,bump keep pop numer amount  start 4 week time 30  most abdomen  thigh  back side  itchi red 1871,diabet  women health  hyperlipidemia  hypertens 1871,nan
1872,possibl ulcer may aphthous ulcer  persist check 1872,sore throat feel like pimpl back tongu use sore throat garglebetadin  right side painful swallow 1872,sore throat  throat pain  runni nose  rhiniti  allergi  pimpl  hypersensit  ent head neck surgeri  sinus pain  cough  home remedi 1872,pimpl  sore throat  throat pain  ent head neck surgeri  sodium
1873,wait see let swell go extract  extract area heal minim swell 1 week  may infect dri socket  follow lip bite see small bluish bubbl mucocel develop ruptur minor salivari gland due lip bite  rare occur   easili remov dentist surgeon 1873,antibiot 6 day got tooth pull 4 day ago  bit lip numb swollen  pain  improv 1873,bone graft  dental implant  bone loss  periodont  dental occlus 1873,numb  tooth extract  dentistri  antibiot
1874,probabl virus yet flu season report case yet  symptom like viral  would recommend ibuprofen acetaminophen pain fever  case strep throat respond initi cours antibiot  howev  sore throat improv 3 day fever last longer 5 day  see doctor 1874,sudden fever  bodi ach  runni nose  sore  throat  cough yesterday  cold flu  two week ago strep throat 1874,mening  sickl cell diseas  stroke  diarrhea  children health  vaccin  neck pain  advil  pimpl  headach  sore throat  burn  acn  scar  acn scar  facial pimpl  oral contracept  throat pain  sunburn  cough 1874,rhiniti  cough  sore throat  fever  flu  bodi ach  runni nose
1875,ige greet  elev ige hive fatigu probabl link allerg sourc  caus may requir work  see doctor discuss next step 1875,ige blood level 500 chronic hive fatigu  caus 1875,cough  ear infect  chronic sinus  headach  tonsil  endoscop sinus surgeri  voic disord  allerg reaction  eustachian tube dysfunct  throat cancer  acut sinus  noseble  gastroesophag reflux diseas  non allerg rhiniti  skin cancer  hear loss  nasal polyp  tinnitus 1875,hive  lethargi
1876,mani way depend situat  doctor may use mani test  histori  physic exam  ekg measur electr activ heart  blood test look protein releas dead heart muscl  imag studi look wall motion perfus muscl  angiogram determin blood vessel patienc 1876,confirm myocardi infarct 1876,heart surgeri  heart bypass surgeri  heart valv surgeri  heart transplant surgeri 1876,edema  arrhythmia  heart attack  pulmonari edema  myocardi infarct  fluid lung  shock  syncop  cardiac arrest  pass
1877,depend lot factor govern get yoursekf evalu ent see sleep doc 1877,sleep apnea ocd anxieti adhd age 18  realli rare someon age problem 1877,migrain headach  sleep apnea  cosmet dentistri  tmj syndrom  dental implant 1877,snore  feel anxious  adhd  sleep apnea  apnea  obsess compuls disord  sleep  snore  anxieti  psychiatri
1878,difficult problem rare left side coliti requir colon remov  happen   discuss use biolog agent cyclosporin gi doctor  strong medic may produc remiss cure coliti  use long term manag  may serv defer surgic manag option 1878,leftsid coliti tri 6mp  develop pancreat  manag asacol colocort enema  still get blood stool  advic 1878,pilonid cyst  diverticulosi  hereditari colon cancer  colorect cancer 1878,coliti  pancreat  fece  mesalamin  enema  asacol  remicad  biolog therapi
1879,navicular probabl take  yes  extra bone navicular area caus pain  seek help podiatrist pain  good luck 1879,surgeri navicular xtra bone foot abl join militari ive flat foot navicular bone make pain tarsal 1879,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 1879,flat feet  flatfoot  surgeri
1880,see done appropri mri scanner menisc tear usual diagnos mri  pain mani caus  menisc tear  come joint effus  synov  cartilag damag  baker cyst  etc 1880,done knee mri come back negat patient still problem mri miss medial meniscus tear pleas explain 1880,cancer  femal health  sonogram  ct scan  surgeri  mammogram  breast carcinoma  breast cancer  kidney stone  child health  dementia  brain tumor  colon cancer  atelectasi  stroke  sleep  hysterosalpingogram  transvagin ultrasound  thoracentesi  deep venous thrombosi 1880,torn meniscus  orthoped surgeri  cartilag  mri  magnet reson imag
1881,possibl could someth benign sort vitreous debri gotten visual axi could new blood new tear somewher  consid get urgent evalu safe 1881,see new floater eye retin detach surgeri   extrem worri 1881,diabet retinopathi  retin surgeri  age relat macular degener  retin vein occlus  retin detach surgeri 1881,floater  detach retina  retin detach  retin detach surgeri  retina  surgeri  eye health  ophthalmolog
1882,wait sometim increas light get caus pseudo droop lid adapt equal time  surgeri make equal alway done  dont hurri incid condit drop enorm modern cataract surgeri 1882,cataract surgeri month ago  oper  eye look smaller one    make eye normal 1882,dri eye  grave diseas 1882,cataract  surgeri  laparoscop surgeri  cataract surgeri  eye health
1883,10 sign get inform http:  www  alz org nation document checklist_10sign pdf 1883,warn sign alzheim diseas 1883,alzheim diseas  palliat care  hospit  hospic care  behavior problem 1883,depress  alzheim diseas  memori loss  amnesia  memori
