0,common  routin remov make surgeri complic experienc surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,sinus diseas 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1641,appear versus initi time small cell lung cancer  mani assert tell doubl time nonsmal cell type  find specul proven  small cell seem appear much rapid larg even metastat first appear  1 cm lesion 7 log cell  small cell less cellloss tumor lack apoptosi  take month get big 1641,mom xray 3 month agoit negat day xray 1cm small densiti nodul pop quick cancer nonsmok 1641,lung cancer  radiat therapi  small cell lung cancer 1641,cancer  nodul  roentgen ray
1642,common white cell bodi fight cell  infect  common see white cell  wbcs 1642,blood test miss kidney stone discov ultrasound 1642,nutrit  lose weight  obes children  diabet  hypertens  well lifestyl  healthi diet  manag high cholesterol  adult obes  breastfeed consult 1642,sonogram
1643,rare disord symptom includ nervous  sweat  hunger  anxieti  blur vision  fatigu  fast heart rate  etc   howev unless diabet insulin medic  renal liver diseas  cancer prior stomach surgeri  true hypoglycemia neveer occur human be  frequent incorrect made diagnosi 1643,check blood sugar level home glucos monitor 1643,male health  diabet  lose weight  diabet type 2  polycyst ovarian syndrom  testosteron  testoderm  androderm  glucos  inflamm thyroid  thyroxin  vitamin  antithyroid medic  underact thyroid  insulin  metformin  hypoglycemia  thyroid nodul  thyroid cancer  thyroid diseas 1643,diabet  child diabet  diabet risk  insulin  glucos  blood sugar  dextros  sugar
1644,period due period  probabl cycl  otherwis would suggest obtain pregnanc test confirm 1644,unprotect sex sperm preganc negat test blood test  period light short everi 28 day pregnant  didnt miss period 1644,lose weight  diabet type 2  heart diseas prevent  hypertens  copd 1644,sperm  sex  pregnanc  menstrual period  menstrual cycl
1645,mani possibl age could start earli menopaus  hormon fluctuat could make prone yeast infect  perhap contact allergi  tri topic lotrimin see help  improv check doctor 1645,ive notic stronger vagin odor late  could yeast infect vb without itch discharg 1645,os 1645,yeast infect  notic vagin odor  yeast  candida
1646,may put mind rest see neurologist diagnos conditionthat set symptom share number condit 1646,neuro diagnosi ms 7 21 14  rheumatologist think also sarcoidosi lupus  lesion biopsi today blood work neg  possibl 1646,vertigo 1646,system lupus erythematosus  multipl sclerosi  sarcoidosi  biopsi
1647,enlarg averag person age three palpabl lymph node neck  stabl  preposter enlarg e   peopl arent say  what neck  yod favor go life  seem otherwis healthi  real concern serious ill hodgkin would symptomat 1647,found small pain enlarg lymph node near breast armpit  apart thing like cancer els could 1647,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 1647,cancer
1648,see physiatrist rehabilit medicin doctor pmr diagnos problem muscl strain  pinch nerv neck  shoulder imping syndrom  scapular dyskinesia   prescrib physic therapi  pain medicin   complementari altern medicin inject need 1648,broad osteophyt complex w  moder foramin stenosi c6 7   neck pain  esp  left shoulder  arm   bone spur press nerv root 1648,back pain  neck pain  sport medicin  backach  arthriti  motor vehicl accid 1648,neck pain  nerv  osteophyt  bone spur
1649,alway howev worri nodul calcif nodul signific higher rate malign 1649,mono mcr mean rx nitrofurantoin 1649,thyroid cancer  thyroid nodul  chronic sinus  endoscop sinus surgeri  parathyroid tumor  deviat nasal septum  block nose  parathyroid disord 1649,mono  macrodantin  nitrofurantoin  macrobid  furadantin
1650,possibl gallbladd locat pain symptom complex sound like may gallbladd problem  gallston  import see primari care physician evalu ultrasound gallbladd  gallston  may need diet modif stay away rich food possibl evalu surgeon 1650,abdomin pain  nausea  occasion vomit three month  normal scan  endoscopi colonoscopi except mild antral gastriti  idea 1650,obes  diabet  bariatr 1650,vomit  nausea  abdomin pain  abdomin discomfort  belli pain  colonoscopi  gastriti  endoscopi
1651,common sens wait three day minimum fever break  rest  hydrat  pace self 1651,2 month ago strep throat took antibiot went away   one tonsil swollen  concern 1651,backach  exercis program  hiv aid  health practition 1651,strep throat  antibiot
1652,yes seek care gynecologist rule endometri hyperplasia obtain regular cycl 1652,havent period 12 month  2 complic ovarian cyst recent ultrasound  today woke bleed   normal 1652,infertil  fertil treatment  male fertil  manag endometriosi  fibroma 1652,ovarian cyst  sonogram  dysfunct uterin bleed  menstrual period
1653,yes allergi probabl spring time allergi need treat problem  start tri counter allergi medic   work may need see allergist control 1653,37 allerg mom dachshund  eye tear  red itch  nose runni sneez  hate benadryl  25mg hydroxzin ok 1653,asthma  child allergi  acut sinus  allergi  allergi shot 1653,diphenhydramin  benadryl
1654,usual c diff affect colon specif small intestin  colon ileostomi rectum get infect 1654,ive diarrhea  headach went away stomach flu colon cancer answer back asap im 17 1654,surgeri  pimpl  acn  facial pimpl  lose weight  obes  weight loss surgeri  lose weight  aesthet  antiag 1654,stomach flu  loos stool  headach  gastroenter  diarrhea  flu  cancer  colon cancer  colon
1655,poor control dm neuropathi  also possibl acut gouti arthriti 1655,   	 diabet sinc 5 year last 5 year  fast  blood glucos 125134 mg dl  blood sugar level two hour eati 1655,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 1655,diabet  blood sugar
1656,see doctor extra symptom sever migrain  migrain bodi warn system  someth stress make migrain complex  may infect  allerg reaction  toxic reaction food drug  emot crisi  need good medic checkup 1656,sever throb pain right side head  dizzi  lighthead  nausea vomit  symptom wors movement 1656,migrain headach  seizur disord  cerebr palsi  autism spectrum disord  development delay 1656,dizzi  vomit  lightheaded  common migrain  emesi
1657,miss period one four normal patient conceiv per cycl  sinc alreadi miss expect mens  would wait one week expect period test 1657,unprotect sex last day period  im 1 week late nausea sore nippl minor cramp  could pregnant 1657,contracept  nexplanon  sonogram  oral contracept  depo provera  obstetr gynecolog  hysteroscopi  uterin fibroid  cerclag  menopaus  lose weight  irregular bleed  essur  adolesc medicin 1657,nausea  sore nippl  pregnanc  sex
1658,cancer concern alreadi know smoke bad  good  stop smoke  stop worri cancer  spine pain may cancer  tho unlikelythat shown imag  like musculoskelet issu chronic sprain repetit stress injuri  intern problem lung  intestin tract  kidney etc must also consid  get anoth opinion 1658,clear chest xray decemb that 2 differ doctor would  scare lung cancer cough  like 1658,cerebr apoplexi  spina bifida  neuroma 1658,cough  anxieti disord  cancer  munchausen syndrom  lung cancer  xray chest  roentgen ray
1659,unlik possibl unlik  like caus dental  see dentist oral surgeon evalu 1659,big toe sore  skin red  squeez pus came side toe nail  possibl ingrown toe nail  infect 1659,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 1659,skin pain  ingrown toenail  pus  sore skin
1660,mayb zyrtec make peopl sleepi  basic work benadryl work hour usual caus sleepi  may want tri allegra otc generic fine morn zyrtec caus sleepi 1660,safe give 14 month old benadryl alreadi take 5ml zyrtec 1660,diabet  adhd  nutrit  weight loss program 1660,zyrtec  diphenhydramin  cetirizin  benadryl
1661,side effect erythromycin caus stomach discomfort pain  tri take food  may reduc side effect 1661,hi   protect sex csw 5 week ago  test hiv 3week rna pcr cmia combo  came negat  test test 4 week  came negat  today  test 5th week cmia combo test came negat 1661,nan 1661,human immunodefici virus  pcr  polymeras chain reaction  rna  sex  hiv test  hiv
1662,unlik may want easili remov  best  enjoy babi 1662,brown discharg  2 period last month  2nd one occur intercours n start bleed  might caus miscarriag  pls help 1662,bipolar disord 1662,pregnanc loss  spontan abort
1663,yes yes tri keep salin clean possibl 1663,need altern zirtec allergyinduc asthma  allegra benadryl dont work  albuterol asthma inhalar  claritin give nasal pain 1663,asthma 1663,pediatr allergi asthma  asthma med  oxymetazolin  xyzal  xopenex hfa  dulera  singulair  omnari
1664,sprain fractur inf could sever patholog  one toe sprain hyperflexion extensionturf toe  anoth could fractur  long toe displac buddi splint fine  last soft tissu infect possibl athlet foot skin diseas  hope help answer question 1664,swollen feet ankl calf red marksnot itchi skin  swollen three week water tab noth 1664,surgeri  plantar fasciiti  bunion  fungal nail infect  neuroma  flat feet  flatfoot  bunion repair  hammerto correct  morton neuroma  foot fractur  heel injuri disord  heel fractur  heel surgeri  venous stasi  diabet ulcer  diabet foot  wound heal  ankl fractur surgeri 1664,pedal edema  foot swell
1665,prompt surgeri utmost respect prior respons  complex ovarian cyst larger 68 cm  must consid prompt surgeri accord standard care american colleg ob gyn  complex cyst vs  simpl  greater risk malign cancer  cyst larger 6 cm pose signific risk torsion twist  ruptur  except  see obg prompt 1665,gall bladder surgeri 18 day ago  doctor post opt visit told peel dermabond  wound look fine  nervous  hurt 1665,fertil  get pregnant  polycyst ovarian syndrom  ivf pregnanc  endometriosi  pregnanc loss  ectop pregnanc 1665,wound  surgeri  bladder surgeri  bladder
1666,depend new could repres acut viral bacteri process  acut would case  longer like greater 6 week  could relat reflux  see doctor 1666,sore throat white spot look like kanker sore back throat also red bloodi spot right next  idea 1666,nan 1666,throat pain  sore throat  aphthous stomat
1667,nooo   kimber   sure com  n viral infect 1667,dad scanner result said prediculair liver tissu mass extend peri pancreat cephal need biopsi mean cancer killer 1667,nutrit support  cardiovascular diseas  gastrointestin disord  endocrinolog  respiratori disord 1667,cancer  biopsi
1668,talk oncologist goal chemotherapi set  therapi may prolong life  side effect may worth 1668,what medic consensus fibroscan reliabl diagnost tool esld cirrhosi 1668,nan 1668,cirrhosi liver  termin liver diseas
1669,possibl unlik  possibl  check home preg 1669,unprotect sex start spot two day later day  twelv day later start bleed similar period  pregnanc menestr 1669,abdomin pain  chest pain  difficulti breath  integr medicin 1669,sex  pregnanc  menstrual period  menstrual cycl
1670,mani thing infect aoutoimmun diseas cancer seek medic care adult medic doctor 1670,cyst painless mean isnt infect would caus nearbi lymph node swell im 18 cyst swollen node armpit 1670,lung cancer  breast cancer  lymphoma  gi cancer  colorect cancer 1670,nan
1671,time pt med epidura get better time  exercis  weight control smoke cessat help issu medic  physic therapi epidur steroid inject also play role indic 1671,risk sever cervic spinal stenosi myelopathi almost csf around t3 t46 due narrow disk steno 1671,backach  back pain  scoliosi  spinal stenosi  pain back  surgeri  sciatica  exercis  bulg disk  abnorm curvatur spine  neck pain  numb  spinal fusion  physic therapi  cervic spine  whiplash  spondylolisthesi 1671,spinal stenosi  myelopathi  spinal cord diseas  triiodothyronin  t3  thyroxin  liothyronin  csf  cerebrospin fluid
1672,doctor fecal occult blood test fobt screen test blood stool specif diagnosi  posit fobt test usual follow colonoscopi  fobt neither sensit specif colon cancer  discuss need colon cancer prophylaxi doctor may recommend colonoscopi 1672,galactorrhea breast 1 clear 1 milki  upon squeez  prolactin thyroid  blood test norm get testingnot preg 1672,cancer  nutrit  cervic cancer  ovarian cancer 1672,galactorrhea  prolactin  thyroid blood test
1673,erythroplakia chronic irrit smoke lead tissu chang leukoplakia erythroplakia  acanthoma carcinoma situ  pleas stop smoke locat erythroplakia  red patch rough textur cannot wipe 1673,2 sore mouth  1 small bright red sore soft palat teeth 1 underneath tip tongu small red border white center  u canker sore oral herp @the time 1673,bone graft  dental implant  bone loss  periodont  dental occlus 1673,canker sore  oral herp simplex  herp  hsv  palat
1674,unlik     urin pregnanc test detect pregnanc two week concept first day miss period  make sure time frame test come conclus  symptom vagu present mani situat 1674,period near 6 month  low back  abdomen pelvic pain  frequent urin  blood urin  headsch  nt sexali activ  15 yrs old  chill  nausea 1674,depress  child health  anxieti  mens  dementia 1674,headach  nausea  pelvic pain  blood urin  polyuria  frequent urin  urin look like blood  urin  micturit  urin
1675,abdomin pain could      age  typic 1675,ate plane food chicken+spinach+potato brother diarrhea  vomit   continu 5 day  blood stool 1675,asthma  diabet  dyslipidemia 1675,vomit  diarrhea  loos stool  blood stool  gastrointestin bleed  digest bleed  emesi  nutrit  fece
1676,breast tender breast tender natur happen menstrual cycl  consid fibrocyst chang occur due hormon chang  take pain reliev help discomfort 1676,know daughter complet puberti normal period sev year  public hair  growth spurt  minor breast develop though quit flatchest 1676,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 1676,mens  menstrual period  puberti  breast develop
1677,michael mission pleas check www  michaelsmiss org inform websit colorect cancer 1677,bad bloat upper abdomen chest  frequent bowel movement  reflux  belch  pain center chest  clear cardiolog  thought 1677,nan 1677,reflux  belch  diarrhea  abdomin bloat  defec  bowel movement  bowel  intestin  cardiolog
1678,look free care dont insur doesnt mean cant get healthcar  websit sorri  way around  ive list number option free least low cost health care  drug  test  skip site  search onlin free healthcar  lot option avail regardless suprem court rule 1678,stomach cramp diarrhea littl blood 30 min everi meal 9 day  symptom  could symptom colon bowel cancer 1678,testosteron  androderm  male health  testoderm  erectil dysfunct  inabl sustain erect  inabl attain erect  dementia  alzheim diseas  dht  muse  hypogonad  fluphenazin  alprostadil  impot  viagra  erectil failur  prolixin 1678,loos stool  diarrhea  stomach cramp  cancer  colon cancer  colon  bowel  intestin
1679,symptom would suggest symptom led blood work done first place would reason would want visit doctor  lab result difficult interpret without histori context  bili level mild elev  doesnt tell anyth without histori caus could perfect benign  see doctor 1679,alt 57 u l ast 32 u l  bilirubin total 0 60 mg dl  alkalin  phosphat 55 u l hbs ag: negat > lab indic liver inflamm 1679,children health  exercis  vaccin 1679,hepat  inflamm  k phos  phosphat  sgot  sgpt  bilirubin  ast
1680,evalu orthopedist  may requir knee aspir pain relief also fluid analysi  differenti infecti vs  arthrit process  crystal analysi may even abl establish proper diagnosi  doctor requir xray may order addit test 1680,month back fraxctur ankl foot  told last appoint aug wear brace month bare wieght  still cant bare weight ankl bone fractur look place 1680,nan 1680,broken bone  brace
1681,extern hemorrhoid pleas take stool softner decreas constip  minim rectal bleed  also  keep clean avoid moistur format  symptom still persist  special pain bleed  time see colorect surgeon hemorroidectomi  good luck 1681,make bowel movement take 2 hour stool soft constip hemorrhoid anal fissur doc fix bowel movement 1681,insulin  well lifestyl  adult immun  lifestyl chang  diabet type 2  sleep  chest pain  sexual transmit diseas  travel medicin  depress  sleep apnea  angina chest pain  diarrhea  sleep diari  infecti diseas  sleep hygien  acn  osteoporosi  hospit  good blood sugar control 1681,constip  intestin  fece  hemorrhoid  bowel movement  bowel  anal swell
1682,lower leg pain need see fp orthoped specialist evalu condit  cyst may caus nerv compress depend locat  histori injuri leg ankl cyst elsewher 1682,inner side feet hurt realli bad whenev walk  feel like bone stick outnot ankl lower foot  help 1682,exercis  eat healthier  exercis  exercis brain  healthi cook  child health  children health  sleep  femal health  healthi diet  diabet  fever  diet  skin lesion  infecti diseas  prevent fall  vaccin prevent ill  prevent flu 1682,foot pain
1683,see doctor obvious sick sort viral bacteri infect  sinus pressur  headach  nasal congest  sore teeth  symptom sinus infect  color nasal discharg go doctor could prescrib medic help 1683,9 year old daughter nausea  headach sore throat fever diarrhea vomit 1683,cosmet dentistri  dental bridg  dental implant 1683,vomit  throat pain  sore throat  nausea  diarrhea  headach  fever  loos stool  emesi
1684,nerv regener dentist  similar experi differ dental surgeri apicoectomi  relat 3  5 year feel began return tingl progress itch final today total normal feel back lip  almost like get dental local anesthesia total numb wear  get tingl feel 1684,woke numb bottom lip due tooth hurt  dr got pull today  still numb  go away perman  said good extracti 1684,teeth  cancer  mouth cancer  ulcer  dental care  blister  tooth pain  abscess  dental pain  cosmet dentistri  dentistri  canker sore  gum diseas 1684,numb
1685,even xanax     chest pain  lside  refd l arm  neck  shoulder  palpit      obvious aliv tell us miracl buspar  keep mind order troponin level  cpk mb  ekg cardiac troponin normal    myocardi injuri  age 34    chanc     alien forc unknown   close white look powder    nose 1685,pain center chest  echo ekg normal  anxieti 7 month pregnant  pain left side neck left shoulder blade also 1685,nan 1685,feel anxious  electrocardiogram  pregnanc  echo  anxieti
1686,may feel numb throat due injectt receiv help deaden pain  swell throat  sens happen  pleass call surgeon offic immedi specif advic 1686,anyth increas possibl regain full feel lower lip chin wisdom teeth extract 1686,sore throat  voic disord  throat pain  remov tonsil  hoars  difficulti swallow  laryng  larynx cancer  ear nose throat 1686,wisdom teeth  tooth extract
1687,physician will provid prescript w examin symptom c w strep famili member confirm diagnosi  take care 1687,sore throat  bright red throat tonsil  swollen tonsil  look like tonsil stone deep tonsillar crypt  swollen lymph node  go doctor 1687,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 1687,sore throat  throat pain  swollen tonsil  swollen gland  tonsil stone  enlarg lymph node
1688,wait  stop depoprovera take 6 month ovul  depend cycl previous  ovul test ovul 10% chanc month get pregnant even healthi partner healthi ovari etc  wait 46 month  ovulationtest time intercours sex everi day soon test turn posit  take prenat vitor see ob 1688,mid cycl bleed spot last month  period  3 day late  mid cycl bleed uterin fibroid  could b pg 1688,uterin ablat  obstetr gynecolog  nexplanon  gay  lesbian transgend health  std prevent  vagin prolaps  hysteroscopi  lesbian health  uterin prolaps  csection hysterectomi  sexual health issu  teen sexual health  sex educ  sex therapi  uterin fibroid 1688,uterin fibroid  gynecologist  obstetr gynecolog  gynecolog  pregnanc  femal health  pregnanc test  menstrual period  menstrual cycl  fibroid
1689,pleas c ur doctor problem  need address profession  also issu stds  immun  general health  doctor tri free clinic  care 1689,stop depoprovera shot last year septemb  still period   doctor gave pill start 4 week still noth 1689,nan 1689,depo provera
1690,yes definit pregnanc test done 1690,nausea day light dizzi  light cramp sex unprotect pull finish sometim late period 1690,nan 1690,nausea  dizzi  delay menstrual period  sex
1691,fine unless larg quantiti alcohol fine  bing alcohol use rais liver studi specif ggt level  push fluid water coconut water 1691,skip meal  blood sugar drop start swete  take insulin normal sugar level morn meal 1691,irrit bowel syndrom  sleep  headach  sleep apnea  dizzi  snore  numb  stress  diarrhea  abdomin pain  sore throat  prednison  liquid pred  testoderm  androderm  gastrointestin pain  hiv test  acn  anti age medicin 1691,diabet  appetit  fatigu  blurri vision  cancer  babi low blood sugar  sugar  abnorm liver test  anxieti  novolin
1692,seek exam true sciatica pain radiat way leg  small percentag peopl sciatic nerv exit muscl call piriformi  good exam distinguish  good hip exam order  best wish 1692,excruci pain sciatica radiat hip right knee back side leg  psoriat arthriti 1692,eat healthier  exercis  diabet  healthi eat  quit smoke  diabet diet  child health  integr medicin 1692,arthriti  pain joint  psoriasi  psoriat arthriti  low back pain  sciatica
1693,minim risk concern understand  radiat exposur chest xray minim  adult higher dose children chest xray dose equival 10 day natur background radiat yes radiat exposur around us time 1693,25 year old 9 year smoker quit 2 mnths ago  wake tast blood  spit blood  3 e r  visit  xray lung sound clear  lung cancer gum bleed easi 1693,cancer  femal health  sonogram  ct scan  surgeri  mammogram  breast carcinoma  breast cancer  kidney stone  child health  dementia  brain tumor  colon cancer  atelectasi  stroke  sleep  hysterosalpingogram  transvagin ultrasound  thoracentesi  deep venous thrombosi 1693,cancer  lung cancer
1694,could  block eustachian tube  consult pcp 1694,chronic neck  jaw  face  ear  shoulder ligament  joint pain last month get metal tast mouth pain come 1694,oral surgeri  tooth pain  dental health  abscess  gum diseas  dental abscess  sedat dentistri 1694,tmj syndrom  manag tmj
1695,contracept use contracept use  period simpli delay   see obgyn md rule pregnanc 1695,get pregnant 3 day period bleed 2 day spot 3 day could pregnant 1695,contracept  cancer  endometriosi 1695,pregnanc  menstrual period
1696,panic would go panic    glad insight know panic attack  young low risk negat work 1696,male 29 activ healthi weight nonsmok fam hist recent norm stress test  holter  echo heart oki got worri bc read young adult mis 1696,heart attack  myocardi infarct  quit smoke  atherosclerosi 1696,stress  stress test  holter monitor  echo
1697,mayb wisdom teeth may due wisdom teeth   ent evalu 1697,pain right shoulder blade  circular motion head caus pain neck go right  heart attack  lung cancer muscl sore 1697,dental implant  facial fractur  bone graft  wisdom tooth extract  tmj 1697,nan
1698,info need get head ct mri hospit symptom new get wors compar hospit  yes go back  following: headach constant  associ nausea  vomit  get wors bend  strain  cough sneez  go er immedi  sure  err safe side go back checkup 1698,histori vertigo low blood pressur   normal head get dizzi second get sit posit most kneel floor  also  lie flat bed   head feel bit dizzi 1698,multipl sclerosi  encephalopathi  alzheim diseas  stroke  headach disord  epilepsi 1698,dizzi  abnorm blood pressur  low blood pressur  postur hypotens  hypotens  vertigo  blood pressur
1699,go er asap go er asap might acut asthmat attack could get wors sudden 1699,gettin good deep rest sleep tri 10 mg melatonin night 2 take ambiem dont work dont want habit form drug 1699,nan 1699,sleep  melatonin  ambien
1700,call energi drink health hazard age   mani young kid come er consum   3 system diseas need control consum   high sugar   caffein   caus harm   need good supervis medic care   visit doctor   follow instruct   control near normal level get energi need 1700,5 day ago  skin upper left side left foot went numb  diabet  good blood pressur  sure what caus 1700,cancer  hernia  hemorrhoid  wart 1700,diabet type 2  diabet  numb  blood pressur
1701,milk allergi vast major adult cant toler milk actual suffer lactos intoler  effect actual allergi  even skin test came back posit  would recommend either avoid milk tri lactosefre milk product  even lactas supplement allow someon toler milk  question  see doctor gi doctor  good luck 1701,friend food allergi reaction  unabl access benadryl saudi arabia  action take much zyrtec take 1701,diarrhea  ulcer  gastroesophag reflux diseas  irrit bowel syndrom  constip  nutrit  abdomin pain  helicobact pylori  gastriti  coliti  gallston  blood stool  cirrhosi liver  alkalin phosphatas  esophag  anti reflux surgeri  spinal cord injuri 1701,hypersensit  food allergi  zyrtec  nutrit  diphenhydramin  cetirizin  benadryl  allergi
1702,fine needl biopsi  core biopsi usual perform prior surgeri lesion visibl imag studi  specif preoper diagnosi  benign  elimin unnecessari surgeri  malign  allow proactiv treatment plan definit surgic procedur  elimin potenti second surgeri 1702,52year  bulki uterus fibroid anterior wall funder  irregular period  excess bleed clot past 20 day  dnc pap smear normal 1702,digit mammogram  mammogram  sonogram  ct scan  ultrasound breast  breast cancer  breast carcinoma  femal health  breast biopsi  breast needl biopsi  xray chest  mri breast  ct chest  mri breast contrast  mri scan  radiolog  ct abdomen  transvagin ultrasound pelvi  diagnost radiolog 1702,dysmenorrhea  irregular period  fibroid  pap smear  cervic smear  adenomyosi
1703,check check sleep posit 1703,im dental assist numb hand  pain  burn tingl right hand  main middl ring finger  pinki numb 1703,depress  nutrit 1703,tingl  numb
1704,necessarili general  better cultur order identifi bacteria ensur sensit antibiot chosen  possibl noninfecti problem caus symptom similar uti  symptom resolv cours antibiot probabl return urin cultur prior treatment 1704,urinari tract infect common men women 1704,pap smear  hysterectomi  normal childbirth  laparoscop surgeri 1704,urinari tract infect  enlarg prostat  circumcis  menopaus  estrogen
1705,sometim secondari characterist  mass  obstruct may show colonoscopi look entir colon surfac better chanc earli curabl lesion 1705,10 day cipro flagyl diverticul 1 5cm swollen occipit lymphnod  ct abdomin xray negat  thought 1705,heart attack  myocardi infarct  deep venous thrombosi  coronari arteri diseas  aortic aneurysm  cardiovascular diseas  coronari arteri bypass graft  thorac neoplasm  peripher vascular diseas  thorac surgeon  venous insuffici  thorac outlet syndrom  thoracotomi  carotid duplex  carotid arteri stenosi  carotid arteri diseas  ultrasound extrem vein  cardiac bypass  cardiac pace  carotid bruit 1705,dandruff  diverticul  ciprofloxacin  comput tomographi  ciprofloxacin  metronidazol  flagyl  cipro
1706,6  12 week knee may feel somewhat better six week much better twelv week 1706,long take eye heal cataract surgeri one 1706,knee replac  total knee replac  arthroscopi  total hip replac  surgeri  knee arthroscopi  shoulder arthroplasti  partial knee replac 1706,cataract  cataract surgeri  surgeri  laparoscop surgeri
1707,lattic degener thin peripher retina vitreous gel pull retina whiten retin blood vessel  form oval round patch lattic white blood vessel thin retina  lattic associ round retin hole tear edgethi result retin detach  lift heavi object exercis ok 1707,retin detach surgeri  normal eye hurt 1707,age relat macular degener  retin disord  diabet eye problem  retin detach repair 1707,pass gas  flatul  cataract  detach retina  retin detach  retin detach surgeri  surgeri  vision  visual distort  retina
1708,thyroid nodul thyroid nodul divid hot cold thyroid nuclar scan  cold nodul one % may cancer requir biopsi  tissu grow fast suspici malign  also dive thyroid  ovul function  chang thyroid hormon function  normal thyroid dunction test 1708,calcif thyroid nodul mean cancer 1708,depress  cerebr apoplexi  infertil  adhd 1708,inflamm thyroid  thyroid nodul  thyroid cancer  cancer  antithyroid medic  nodul  microcalcif
1709,occassion strike lighten twice patient  due scientif link  breast cancer ling smoke tobacco  link strong lung cancer  could stop 90% lung cancer cigarett disappear  dont fortun breast cancer  notic cigarett still leader mani genius exercis freedom 1709,get genet test breast cancer run famili aunt cousin 1709,lung cancer  radiat therapi  small cell lung cancer 1709,breast cancer  breast carcinoma  cancer  genet test  femal health
1710, benign tumor 1710,catch type cervic cancer alway sex hpv carrier 1710,cancer  breast cancer  femal health  breast carcinoma  melanoma  skin cancer  nevi  surgeri  oncolog  male breast cancer  lymph node biopsi  breast conserv surgeri 1710,cancer  cervic cancer  sex  femal health  condom  hpv
1711,need test blood count abnorm  reactiv viral infect primari bone marrow immun relat condit  need test done includ blood level  viral tiger may special test   ask refer hematologist 1711,gall bladder stone form 1711,cancer  anemia  breast cancer  blood platelet count  platelet count  lymphoma  hemoglobin hematocrit  hematocrit  low blood count  myelodysplast syndrom  leukemia  multipl myeloma 1711,sickl cell diseas  anemia  low blood count  calcium  bile  pigment  gallston  bladder
1712,often time simpl surgic shoe may suffic  even camwalk without cast  ultim  decis treat doctor 1712,nondisplac fibula shaft fractur 1712,plantar fasciiti  diabet foot  neuroma 1712,broken bone  broken ankl  ankl fractur  podiatri  open repair fibula fractur  cast
1713,alway howev worri nodul calcif nodul signific higher rate malign 1713,test result multinodular goiter radionuclid thyroid scan 1713,thyroid cancer  thyroid nodul  chronic sinus  endoscop sinus surgeri  parathyroid tumor  deviat nasal septum  block nose  parathyroid disord 1713,goiter  inflamm thyroid  thyroid enlarg  antithyroid medic  thyroid scan  ultrasound thyroid  biopsi  nodul
1714,bright red color stool common seen dark blood  later usual reflect upper gi bleed howev  happen  also  sometim bleed occult cant appreci visual test specif test call stool occult blood test 1714,posit blood stool  dr  wont colonoscopi im candid surgeri  stage 3b lung cancer  sever copd  suggesti 1714,cancer  breast cancer  breast carcinoma  research center  medic research 1714,blood stool  cancer  lung cancer  digest bleed  gastrointestin bleed  colonoscopi  copd  fece  surgeri
1715,mayb caus constip infant mani caus  one common caus would low fiber  nutrient poor diet relat dehydr lead hard stool  pain defec  constip  check physician regard supplement  care give supplement young sensit side effect  calcium supplement like caus 1715,fish oil supplement good idea lower cholesterol level  number total 236  ldl 150 hdl 71 tric 77 1715,diabet  perfus scan  health statist  diabet risk  bone scan  heart diseas 1715,trichomona  supplement  total cholesterol  vitamin supplement  statin  niacin  ldl  hdl  fish  fish oil
1716,depress yes   get evalu psychiatrist help identifi depress mean whatev els may bother  consid recommend medic given  get referr reput psychotherapist speak  med therapi combin optim one 1716,lithium effect treatment bipolar disord 1716,depress  anxieti  cognit behavior therapi  psychotherapi  bipolar disord  anxieti disord  manic depress disord  psychiatri  person disord  clinic psycholog  borderlin person disord  schizophrenia  post traumat stress disord  narciss  antisoci person disord  counsel  schizoaffect disord  multipl person disord  veteran militari health  narcissist person disord 1716,bipolar disord  mania  bipolar disord  manic depress disord  lithium
1717,dementia senil dementia  multi infarct dementia  organ dementia metabol endocrin diseas 1717,grandmoth vascular dementia anybodi know behavior differ alzheim 1717,depress  bipolar disord  panic attack  sleep  anxieti  adhd  feel anxious  psychiatri  adderal  alprazolam  zoloft  ritalin  nervous  borderlin person disord  citalopram  prozac  bupropion  celexa  schizophrenia  anorexia 1717,depress  dementia  alzheim diseas  apathi  disinhibit  agit  vascular dementia  aggress  memori
