0,cool mist humidifi use nasacortov counter 1 spray nostril day 34 day 0,use salt water nasal spray help prevent develop perfor septum 0,children health 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1836,lot test that aw lot test  yove probabl seen enough cardiologist  also seen lung specialist isnt much left look  never treat anxieti see feel better 1836,wake gasp air im fall asleep  occasion local pain sternum  healthi ecg 2 yr ago   good bp  doc say heart  lung sound good  still need worri heart failur 1836,cardiolog  heart failur  hypertens 1836,heart failur  difficulti breath  electrocardiogram  blood pressur
1837,possibl mucus retent cyst reflect chronic sinus often caus pain depend locat sinus blockag  blockag sometim cannot seen mri 1837,tmj c spine issu  click left tmj neck without realli anyth big tmj pain  click stretch strengthen exercis  mri 12 2012 show cervic damag  tmj 1837,ct scan  cancer  thyroid nodul  pet scan  mri head  mri scan  breast carcinoma  breast cancer  stress  surgeri  exercis  wrist pain  cerebr vascular accid  costochondr  rib fractur  stroke  skeleton xray  ultrasound 1837,tmj syndrom  mri  magnet reson imag  exercis
1838,go er symptom  log comput parent take emerg room  right 1838,sever pain mid spine thru eye  stiff swollen neck trembl  spasmat muscl  disorient sever headach  cellul face  temp 97 3 tho  scare  wrong 1838,child health  cough  sore throat  dizzi  throat pain  vertigo  ear infect  allergi  cancer  tonsil  hear loss  tmj syndrom  earach  tonsillectomi adenoidectomi 1838,headach  trembl  multi infarct dementia  sever headach  cellul
1839,absolut    need surgeri depend degre imping compress nerv root  neurologist neurosurgeon recommend surgeri set motor impair weak  sever pain debilit numb  exam nerv conduct studi find suggest progress process  work doctor  physic therapist  pain manag first 1839,cervic disk herniat c4c5 c5c6 c6c7 1839,stroke  epilepsi  dementia  enceph  multipl sclerosi 1839,herniat disk  hernia  c5
1840,risk singl chest ct pose risk develop type malign  multipl scan time increas risk 1840,8 month old one chest xray er high fever  lung clear  risk cancer 1840,deep venous thrombosi  lung cancer  breast cancer treatment 1840,fever  high fever  cancer  xray chest
1841,arthriti multipl joint pain arthriti like osteoarthr ra  typic joint swell  get check 1841,scaroil sciatica what  differ xray  dr say sacroil  feel pain back  hip  run knee 1841,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 1841,mri sacroiliac spine without contrast  sacroiliac mri arthrogram  sacroiliac joint inject  sclerosi  sciatica  low back pain
1842,normal        symptom erupt wisdom teeth room  consult oral surgeon regard extract 1842,due wisdom tooth troubl  cant open mouth would accomod one finger  dentist prescrib antibiot 2 day  ach subsid still cant open mouth normal 1842,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 1842,fever  muscl spasm  abscess  facial swell  trismus  breathless  difficulti breath  twist muscl  charley hors  facial
1843,possibl sometim  urin test take littl turn pregnant  tri conciev  would recheck urin 57 day  otherwis  symptom may associ hormon chang event pms 1843,heavi breast abdomen  nauseus  pregnant symptom  neg hpt  late period what wrong 1843,femal health  healthi pregnanc  contracept  ectop pregnanc  bleed  normal childbirth  uterin fibroid  abort  toxemia  gestat hypertens  vagin  hiv aid pregnanc  pelvic pain period  pelvic pain 1843,mens  abdomin bloat  nausea  breast tender  ovarian cyst  delay menstrual period  menstrual cycl  menstrual period  hormon  estrogen
1844,terribl combin sound like take medicaiton doctor supervis combin  need consult psychiatrist experi deal peopl use self medicaion polypharmaci  continu  may harm 1844,prozac adderal crack 1844,child health  adhd  adderal  seizur  concuss  dextroamphetamin racem amphetamin  seizur disord  ritalin  convuls  brain injuri  depress  mening  paralysi  csf cultur  traumat brain injuri  lead exposur  learn disabl 1844,fussi  agit  prozac  fluoxetin  dextroamphetamin racem amphetamin  adderal
1845,myelomalacia thin spinal cord caus protrud disc  protrud disc may compress spinal cord  check doctor review mri doctor  dont symptom associ protrus   worri would injur neck  higher likelihood cord injuri 1845,mri report right paracentr herniat c5c6 iv disc indent spinal cord   doctor said necessari oper right 1845,mri scan  diagnost radiolog 1845,edema  hernia  mri  magnet reson imag  surgeri  c5
1846,may put mind rest see neurologist diagnos conditionthat set symptom share number condit 1846,could ms  sever depress  constant tire   lack libido tingl sensat hand feet 1846,vertigo 1846,depress  hand numb  numb  loss sex drive  vitamin defici  multipl sclerosi  tingl  sclerosi  libido
1847,hemorrhoid probabl caus possiblilit anal fissur  cancer rectum  see doctor 1847,colon cancer usual caus bright red blood stool blood darker color 1847,dermatolog  gynecolog  allergi 1847,cancer  colon cancer  fece  colonoscopi  colon  digest health  gastroenterolog
1848,sever sign short breath  sharp chest pain  cough blood  faint  rapid heart rate common symptom pulmonari emboli  one challeng diagnos make medicin basi either symptom sign   whenev suspicion reason high  test must done rule  surgeri  trauma  immobl cancer risk 1848,test doctor run rule pulmonari embol pregnant woman 20 gs wks  leg pain  short breath  cough chest pain 4 day long distanc travel 1848,sleep disturb 1848,cough  chest pain  leg pain  blood clot lung  breathless  pulmonari embol  chest tight  chest pressur  angina  embolus
1849,challeng diagnosi multipl sclerosi base histori exam  mri spinal fluid studi ad support confirm  condit creat confus  mention  antiphopholipid issu one categori consid  presum neurologist done test disord    get addit studi start treatment 1849,would brain mri without contrast show problem sinusescyst tumorsor order mri specif sinus 1849,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 1849,mri sinus  mri brain  mri  magnet reson imag
1850,click catch pain click catch knee like benefit arthroscopi  discuss orthoped surgeon continu pt engag strenuous physic activ caus damag 1850,broken  disloc ankl  torn ligament  surgeri  weight 8 wks  wk 7  take norco 5mg 325 23x daili  normal long take 1850,arthriti  pain joint  knee pain  knee replac  total knee replac  broken bone  hip surgeri  robot surgeri 1850,pain joint  arthriti  run  physic therapi  physiotherapi  surgeri  norco  hydrocodon acetaminophen
1851,take claritin sinc u fever   think allergi 1851,allergi past 3 monthscough  sneez  special night hard breath stuffi nose  swollen lymph neck nd crank sore  hiv 1851,nan 1851,stuf nose  cough  hypersensit  breath difficulti  human immunodefici virus  hiv  amphetamin  allergi
1852,like infect need proper head neck physic examin possibl cultur throat  see doctor ent physician one 1852,pericoron infect wisdom tooth lower left side  swollen lymph node right side though possibl 1852,pituitari disord  endocrin disord  psychopharmacolog treatment  psychotherapi 1852,pericoron
1853,allergi see allergist skin test determin allerg  rast blood test may also help 1853,skin test food allergi +2 reaction milk +to soy  blood test  came back negat still issu w milk 1853,children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi 1853,food allergi  food intoler  hypersensit  food allergi  nutrit  allergi
1854,call energi drink health hazard age   mani young kid come er consum   3 system diseas need control consum   high sugar   caffein   caus harm   need good supervis medic care   visit doctor   follow instruct   control near normal level get energi need 1854,im 26 year old femal whos experienc dri mouth relief drink water mom diabet nobodi els could 1854,cancer  hernia  hemorrhoid  wart 1854,dri mouth  diabet type 2  diabet
1855,call pediatrician son rash fever    sound lot like either chicken pox  measl  also mmr vaccin go doctor offic  pleas give call make sure theyr readi keep apart kid may reason  offic may give mask cover mouth nose well  case 1855,ive recent broke pimpli flesh colour itchi rash forearm back neck thigh tummi idea could thankyo 1855,sore throat  voic disord  throat pain  remov tonsil  hoars  difficulti swallow  laryng  larynx cancer  ear nose throat 1855,skin rash  rash  itchi rash
1856,migrain may experienc migrain  tri excedrin migrain contain aspirin  acetaminophen  caffein  prescript med might also help 1856,scalp tender right side along ptosi r eyelid frequent headach wors behind around right eye  also pupil diff size 1856,obes  diet  exercis  children health  diabet  dyslipidemia  smoke cessat 1856,headach  horner syndrom  droop eyelid  horner syndrom  pupil
1857,sure sure ask adderal would help heart burn  probabl would  number medic contain similar compon adderal formul depress  current regimen help  speak doctor  make modif 1857,klonopin  3 mg  rais  4mg along prozak  adhd med like dextroamphetamin  concerta vyvans  adderal trazodon   multipl  other like 7 month ago  sudden  take  insur  suffer 1857,nan 1857,adhd  insur  vyvans  trazodon  ritalin  prozac  klonopin  psychiatri  dextroamphetamin racem amphetamin  dextroamphetamin
1858,featur associ benefit antibiot fever  node  tender node  gunk back throat even strong indic  cough discolor phlegm even reason  lung inflamm like wheez  breath issu address 1858,pain sore throat get wors day last 5 day accompani cough  fever  congest  long last 1858,exercis  lose weight  stress  supplement  ulcer  age grace  diabet type 2  migrain headach  white cell count  oxygen  suboxon  intern medicin  suboxon withdraw  opiat withdraw  medic  pharmacolog 1858,throat pain  sore throat  fever  cough
1859,gerd sound like alreadi know answer question  answer yes  nsaid general caus gastriti worsen  even though take prevent measur protonix zantac  hold naproxen  best talk prescrib physician immedi new symptom  symptom worsen  time go er 1859,diagnos eros gastriti  gerd  hiatal hernia  terribl stomach pain  ativan thing give relief 1859,pain manag  neck pain  lower back stiff  knee injuri  shoulder injuri 1859,stomach pain  hernia  hiatal hernia  stomach discomfort  gastrointestin pain  gastroesophag reflux diseas  gastriti  ativan
1860,itch probabl due yeast infect  tri counter medicin like clorotrimazol  see doctor itch persist 1860,white sometim greenish cloth like discharg terribl itch around anal vagina  peel skin rash vagina area  kinda odor bad 1860,menopaus  hysteroscopi  femal steril surgeri  women health  famili plan servic 1860,skin rash  rash  peel skin
1861,associ associ exact causat  sleep autonom nervous system close relat anatom  physiolog  neurochem point view larg number neurolog general medic disord diabet  cardiovascular diseas  neurodegen diseas associ autonom failur sleep disord 1861,overnight oxygen test done 83% sleep apena caus asd asa also heart relatedcan liver diseas caus 1861,ophthalmolog  vision  diabet retinopathi  diabet type 2  diabet eye problem  intern medicin  healthi eat  stress less  cataract surgeri  low salt diet  glaucoma  lasik  travel medicin  vitamin supplement  healthi vegetarian diet  vegetarian diet 1861,sleep apnea  liver diseas  apnea  sleep  aspirin  oxygen
1862,heart diseas hr drop like relat beta blocker  chest pressur though could varieti thing  best bet either call pcp f still experienc ch est pressur seek assist urgent care orer 1862,myocardi infarct happen age im 23 bmi 30 dont work sit lot  rest heart rate great tho 50 55 bpm 1862,heart attack  peripher vascular diseas  heart stent  angioplasti  angiogram 1862,heart attack  myocardi infarct  infarct  infarct  heart rate  workout  bodi mass index  bmi
1863,see doc fever common get older kid  adolesc  sound sick  need see somebodi  hope joint pain due fever  call see doc go urgent care  take tylenol see help dont let stop get seen  almost everybodi believ tell fever tylenol brought check 1863,thumb joint pain swollen   sever pain grasp move thumb toward small finger   pain 1 month  sever pain 3 day 1863,nan 1863,osteoarthr
1864,miss period one four normal patient conceiv per cycl  sinc alreadi miss expect mens  would wait one week expect period test 1864,tri babi  calcul ovul last period  next period didnt come  yet pregnant  dont know id ovul expect period  want get fertil drug  pls advic 1864,contracept  nexplanon  sonogram  oral contracept  depo provera  obstetr gynecolog  hysteroscopi  uterin fibroid  cerclag  menopaus  lose weight  irregular bleed  essur  adolesc medicin 1864,ovul  menstrual period  pregnanc  menstrual cycl  fertil drug  fertil
1865,thyroid nodul elev thyroglobulin 70 signific  without thyroglobulin antibodi screen mean much  fine needl biopsi indic 1865,father diagnos thyroid cancer 46  27  ask thyroid ultrasound precaut  us reveal one 4x6x6mm solid nodul  worri merit biopsi 1865,menopaus  cancer  itch  abdomin pain  dysmenorrhea  pelvic exam  male menopaus  bioident hormon  gynecolog surgeri  urinari incontin 1865,thyroid nodul  thyroid cancer  inflamm thyroid  cancer  antithyroid medic  sonogram  ultrasound thyroid  biopsi  nodul
1866,take claritin sinc u fever   think allergi 1866,ive read ms use check least partial hot tub test  ive notic symptom dizzi  balanc issu  numb tingl extrem actual seem better im hot bath shower  mean anyth coincid 1866,nan 1866,dizzi  tingl  numb  vertigo
1867,reason ask first  hospit arent hotel  yore patient  guest  choic arent make  second  would wanna check brain tumor 19yearold mayb wanna check imposs  chanc mighti remot theyd concern  suspect safe stop worri  fail  least find someth els worri 1867,would 15 yr old daughter constant headach 6 + week check pediatrician  eye doctor  neurologist ent   noth 1867,aphasia  carsick 1867,stress  headach  children  imag  comput tomographi  magnet reson imag  pediatr  ophthalmolog  neurolog  mri
1868,see suggest doctor see especi blur vision  rule neurolog problem 1868,20  male  doc scare lay dark right eye went blind  everytim go dark right eye goe blind light 1868,nan 1868,vision loss
1869,infect may need flap gum remov tooth avoid reoccurr issu 1869,jaw sore spot hurt press  lower left jaw  mouth tooth pain  caus one side headach  see doctor 1869,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 1869,dental pain  tooth pain  headach  tmj syndrom  manag tmj  oral surgeri  oral maxillofaci surgeri
1870,depend cycl quit regular last 28 day  know yoll ovul day 14 everi month sinc egg last 5 day  couldnt get pregnant day 21 would 7 day period  yore irregular  bet 1870,feel weird cramp tummi  also ive spot day period  spot bee go week day  light pink kinda brown  sometim feel dizzi  someth wrong 1870,nan 1870,menstrual period  menstrual cycl
1871,blumpstersblistump want definit answer  yes  happi activ doesnt real high fever  mayb get red bump teeni blister area  face  would unusu  best cours action would make sure chicken poxvaricellaand keep home bump driedup littl blister 1871,bump keep pop numer amount  start 4 week time 30  most abdomen  thigh  back side  itchi red 1871,nan 1871,nan
1872,possibl could caus thing besid caviti  gum diseas  necrot tooth  viral infect  see dentist rule tooth gum relat caus see doctor follow 1872,sore throat feel like pimpl back tongu use sore throat garglebetadin  right side painful swallow 1872,teeth  root canal  dental care  tooth pain  dental health  hsv  gum diseas  antibiot  dental xray 1872,pimpl  sore throat  throat pain  ent head neck surgeri  sodium
1873,variabl temporari perman  make doctor awar follow appoint 1873,antibiot 6 day got tooth pull 4 day ago  bit lip numb swollen  pain  improv 1873,tmj syndrom  cosmet dentistri  dental implant 1873,numb  tooth extract  dentistri  antibiot
1874,marijuana use marijuana  tri take acetaminophen headach bodi ach  also safe take sudaf robitussin  need rest drink plenti fluid  difficulti breath   vomit  cramp need seek care 1874,sudden fever  bodi ach  runni nose  sore  throat  cough yesterday  cold flu  two week ago strep throat 1874,contracept  oral contracept  home pregnanc test  delay menstrual period  women health  improv mental health 1874,rhiniti  cough  sore throat  fever  flu  bodi ach  runni nose
1875,yes chang level serotonin  high low  also known caus multipl skin problem  includ rash  twitch  wrinkl sag 1875,ige blood level 500 chronic hive fatigu  caus 1875,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 1875,hive  lethargi
1876,difficult sinc difficult tell  alway recommend check heart first  sinc consequ miss cardiac diseas fatal  also  hiatal hernia mimic cardiac diseas larg  turn case  seek consult general thorac surgeon experienc laparoscop hiatal hernia repair 1876,confirm myocardi infarct 1876,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 1876,edema  arrhythmia  heart attack  pulmonari edema  myocardi infarct  fluid lung  shock  syncop  cardiac arrest  pass
1877,snore loud snore couuld sign serious diseas call sleep apnea  request doctor sleep studi 1877,sleep apnea ocd anxieti adhd age 18  realli rare someon age problem 1877,diabet 1877,snore  feel anxious  adhd  sleep apnea  apnea  obsess compuls disord  sleep  snore  anxieti  psychiatri
1878,yes absolut possibl 1878,leftsid coliti tri 6mp  develop pancreat  manag asacol colocort enema  still get blood stool  advic 1878,diabet  lose weight  prevent medicin  erectil dysfunct  breathless 1878,coliti  pancreat  fece  mesalamin  enema  asacol  remicad  biolog therapi
1879,sound like hyperpron navicular protrud  may accessori navicular  tri wear orthot 1879,surgeri navicular xtra bone foot abl join militari ive flat foot navicular bone make pain tarsal 1879,plantar fasciiti  diabet foot  neuroma 1879,flat feet  flatfoot  surgeri
1880,depend symptom mri may show someth clinic signific  exam orthopaed surgeon tell case  mani patient chang mri true tear  pfs common problem  treatment therapi exercis help  inject cortison may also help distinguish two  menisc symptom joint line anterior 1880,done knee mri come back negat patient still problem mri miss medial meniscus tear pleas explain 1880,surgeri  stress  knee pain  exercis  multi infarct dementia  acl reconstruct  ach  scar  abnorm postur  scar  weight train  headach  fit exercis  burn sensat  supplement  swell  frostbit  back pain  pain back  leg cramp 1880,torn meniscus  orthoped surgeri  cartilag  mri  magnet reson imag
1881,yes ocular irrit normal day follow surgeri  gradual improv help overthecount pain reliev ask retina specialist first  pain sever lessen time  may serious issu  ask retina specialist 1881,see new floater eye retin detach surgeri   extrem worri 1881,vision  blurri vision  macular degener  floater  hazi vision  retin detach  diabet  detach retina  eye floater  vitrectomi  ophthalmolog  retin disord  retin detach repair  retin vein occlus 1881,floater  detach retina  retin detach  retin detach surgeri  retina  surgeri  eye health  ophthalmolog
1882,14 week usual proceed second eye 14 week first  long eye heal well patient happi 1882,cataract surgeri month ago  oper  eye look smaller one    make eye normal 1882,cataract  cataract surgeri  glaucoma  dri eye  ophthalmolog  cataract remov  retin disord  eyelid surgeri  corneal opac 1882,cataract  surgeri  laparoscop surgeri  cataract surgeri  eye health
1883,pcp talk primari care physician  doctor abl help diagnosi  treatment option 1883,warn sign alzheim diseas 1883,hdl  eat disord  cancer  nutrit 1883,depress  alzheim diseas  memori loss  amnesia  memori
1884,may put mind rest see neurologist diagnos conditionthat set symptom share number condit 1884,someon chronic lyme diseas treat   still neurolog symptom  bladder dysfunct  pain possibl ms 1884,vertigo 1884,lyme diseas  multipl sclerosi  lumbar punctur  neurolog  sclerosi  bladder
1885,vagin vagin yeast infect common gynecolog diagnosi primari care  treatment nonpregn women symptom metronidazol  get rx import yeast infect make suscept contract stds  chlamydia  gonorrhea  etc  vagin clindamycin cream anoth treatment  counter cream may help yore certain yeast infect 1885,possibl child teenag without sexual activ vagin infect 1885,chest pain  heart attack  hemorrhoid 1885,vagin infect  poor person hygien  antibiot  vagin  femal health  children
1886,troubl    symptiom troubl suggest problem within ankl joint tendon area  see orthopaed foot ankl surgeon  one area found www aofa org 1886,someon get rid joint effus knee  someon knee effus mri accur  pleas explain dont know 1886,total ankl replac  foot swell  broken ankl  ankl arthroscopi  sport injuri  flat feet  foot ankl injuri  flatfoot  minim invas surgeri  ankl fractur 1886,nsaid  arthrocentesi  antiinflammatori  anti inflammatori drug  mri  magnet reson imag
1887, diagnosi definit  peopl 32 dont develop age relat macular degener  worth see retina specialist see variant ie pattern dystrophi  often  peopl develop macular diseas young age famili disposit  famili member get check 1887,34 year old  365 pds  take niacin  red yeast rice fish oil  high cholesterol  hbp  age consid asprian regimen 1887,age relat macular degener  diabet eye problem  pain caus bright light  eye infect 1887,high cholesterol  diabet  hypercholesterolemia  niacor  aspirin  yeast  niaspan  bayer  niacin  hypertens
1888,say go see neurologist  find caus prescrib medic  need make sure seizur 1888,head injuri caus alzheim 1888,breast cancer  oncolog  malign melanoma 1888,nan
1889,yes  uncommon vast major colon cancer aris polyp  peopl inflammatori bowel diseas particular genet anomali may develop colon cancer without polyp  colonoscopi effect prevent measur allow visual remov polyp 1889,likelyhood sudden polyp gallbladd cancer colon cancer person lynch syndrom 1889,cancer  nutrit  cervic cancer  ovarian cancer 1889,cancer  colon cancer  polyp  colon  gallbladd remov  gastroenterolog
1890,uri may repres viral upper respiratori infect resolv unev  symptom persist increas chang best see famili doctor 1890,3 month babi littl cough  sneez sometim  runni nose  breast  bottl  feed 1890,nan 1890,rhiniti  cough  fever  runni nose  hydrat  feed  pediatr
1891,arthriti multipl joint pain arthriti like osteoarthr ra  typic joint swell  get check 1891,hello  mom bad swell bone joint base thumb side wrist thumb   also bad swell  pain middl finger   osteo 1891,diabet  human immunodefici virus  constip  asthma  suboxon  hyperlipidemia  weight loss program 1891,arthriti  osteoarthr
1892,mani lyrica  cymbalta  tca like desipramin amitriptylen  anticonvuls like keppra  topamax  tegretol  teilept  lamict  also consid supplement alpha lipoic acid  acetylcarnitin  fish oil proven efficaci dn 1892,doc told sugar level 70s past 3 month blood work  low blood sugar time  feel weird  diabet 1892,chronic pain  anesthesia 1892,diabet type 2  diabet  child diabet  hypoglycemia  diabet risk  sugar  blood sugar  glucos  hemoglobin a1c
1893,yes blood test wont diagnosi kidney stone  symptom  physic exam  urin test may help diagnosi imag ct scan  ultrasound xray would main way kidney stone found 1893,adomin ultrasound discov gall stone   gall bladder pain 1893,famili medicin  geriatr  well lifestyl  deal depress  emerg medicin 1893,bladder pain  bladder problem  bladder  repeat ultrasound  sonogram  gallston
1894,wisdom infect give prescript rins  tri warm salt water  1tsp salt 8oz cup warm water  may need see oral surgeon evalu 1894,sore throat 5 day  fever  cough nasal infect  3 round antibiot tooth  daughter also strep right nowand grew bacteria 1894,root canal  cosmet dentistri  dental care  teeth whiten  cari  dental abscess  abscess  tooth pain  gum diseas  tooth abscess  tmj syndrom  dentistri  dental health  dental cari  dental implant  dental clean  porcelain veneer  bad breath  gum 1894,sore throat  throat pain  cough  fever  streptococc infect  antibiot  oxymetazolin  bacteria
1895,physic activ physic exercis regimen shown benefici patient mild moder dementia  help weight control also 1895,someon stop aricept nemenda still walk talk side effect  could contribut mobil 1895,brain aneurysm  pituitari adenoma  chiari malform  minim invas surgeri  normal pressur hydrocephalus  transsphenoid surgeri 1895,dementia  alzheim diseas  namenda  activ daili live  donepezil  gait  aricept
1896,good valu excel  hdl nearest abnorm 43 threshold 40  best keep eye  maintain healthi weight exercis regular  assum smoke normal blood pressur 1896,cholesterol 220  ldl 80  hdl 80  triglyderid 175     need statin 1896,diabet  obes  hypertens  hypercholesterolemia  hypertriglyceridemia  cardiovascular diseas  heart diseas  hypoglycemia  gastroplasti  glyburid  leptin  bipolar disord  ventricular fibril  vitamin e  vitamin b9  ascorb acid  nitroprussid  hypogonad  allopurinol  norepinephrin 1896,overweight  heart attack  lose weight  statin  sugar  cholesterol test  ldl  hdl
1897,gallston answer depend abdomin ultrasound done first place  gallston caus pain pancreat elev liver enzym  consid elect cholecystectomi  gallston pass without even know  other caus acut cholecyst pancreat  wall gallbladd thicken   consid remov 1897,bile produc case amput gall bladder stone 1897,diabet  backach  hyperlipidemia 1897,diarrhea  intestin  bowel  bladder  bile  amput
1898,danger could caus signific bleed ulcer  nsaid recommend take coumadin 1898,35 f  famili histori dvt  pe 4 major clot lower right lung huge saddl embolus feb 12  4 mgs warfarin day  chest hurt today  hasnt week  puls slight high  okay 1898,fibromyalgia  anesthesia  backach  neuropathi  chronic pain  back pain  addict  neck pain  sciatica  spinal stenosi  nucynta er  diagnost procedur nerv  diagnost procedur spine 1898,chest pain  blood clot lung  pulmonari embol  blood clot leg  deep venous thrombosi  coumadin  warfarin  embolus
1899,need 78 hour sleep  5 hour enough  pleas enter anxieti  panic attack program   debilit problem affect life life around  start exercis rememb  nobodi die panic attack chose good shrink psychiatrist 1899,patient 0f asthma  diabetes  hypertent  high cholestrol  reoccur nassal polyp  anxieti  depress  brain anyer  un diagnos fever last 3 month caus fever  trreatment 1899,surgeri  varicos vein  vein  spider vein  sonogram  varicos vein leg  sclerotherapi  ultrasound extrem vein  superfici thrombophleb  leg surgeri 1899,high blood pressur  infecti diseas  fever  diabet  feel anxious  asthma  depress  autoimmun condit  cancer  travel
1900,medic medic solv problem  pleas see local dentist definit care  horribl toothach heal without treatment 1900,mild urq pain rib cage  ast  alt 15  normal abdomin ultrasound even though state mild enlgd liver 18cm  worri ultrasound normal mild enlarg liver 1900,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 1900,enlarg liver  amylas  rufen  pain medicin  nuprin  motrin  lipas  ibuprofen  tylenol  advil
1901,probabl    assum good health  neither condit describ like interfer abil face lift surgeri  best seen internist cardiologist prior proceed best seen internist cardiologist  plastic surgeon like appreci clearanc doctor know best  best wish 1901,hello sir  mild mitral valv prolaps mild regurgit  lifespan chanc progress condit 1901,surgeri  femal health  breast reduct surgeri  tummi tuck  breast implant  liposuct  gynecomastia  cosmet surgeri  male breast enlarg  tuck  breast augment  plastic surgeri  breast lift  breast surgeri  mini tummi tuck  exercis  plastic cosmet surgeri  male breast reduct  facelift  neck liposuct 1901,mitral valv prolaps  mvp  regurgit  valv  cardiolog  echo
1902,6  12 week knee may feel somewhat better six week much better twelv week 1902,3 week sinc rt tkr  bend well 52 degre  2 patella disloc later releas fail 10 month prior  manipul done 1902,knee replac  total knee replac  arthroscopi  total hip replac  surgeri  knee arthroscopi  shoulder arthroplasti  partial knee replac 1902,stress  disloc  total knee replac  flexion
1903,aspir  assum mass actual ganglion cyst  often success aspir suck needl  unfortun  cyst often recur aspir  way truli remov cyst surgeri 1903,dorsal ganglion cyst wrist  pain safe get remov complic scare wit surgeri 1903,carpal tunnel syndrom  ganglion cyst 1903,ganglion cyst  surgeri  needl drainag
1904,challeng diagnosi multipl sclerosi base histori exam  mri spinal fluid studi ad support confirm  condit creat confus  mention  antiphopholipid issu one categori consid  presum neurologist done test disord    get addit studi start treatment 1904,myopic w  astigmat  ms  ive increas doubl vision despit treat w  tysabri  correct  need ophthalmologist neuroop 1904,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 1904,nearsighted  cataract  multipl sclerosi  doubl vision  tysabri  ophthalmolog  vision  natalizumab  glass  astigmat
1905,woah need definit diagnosi rather shotgun treatment  see endodont specialist tooth surgeri root canal rx  antibiot shotgun rx didnt work  see ear nose throat specialist  tmj evalu orthodontist  must diagnosi attempt treatment 1905,ive ear pain goe front side neck  month  also offbal feel  doctor said infect  could tmj someth els 1905,orthodont  tooth pain  child health  dentistri  tmj syndrom  children health  surgeri  dental pain  oral surgeri  cari  abscess  dental care  oral maxillofaci surgeri  root canal  dental cari  dental health  tooth abscess  teeth  gum diseas  gingiv 1905,joint pain  earach  dizzi  tmj syndrom  dentistri
1906,earli stiff common problem joint issu hand  matter caus import thing make sure work stiff everi day  warm soak warm shower exercis classic hand six pack exercis especi work make full fist work flex joint fulli rememb warm warm begin day ice activ 1906,red rash bodi 4 day im 3 differ anitihistamin joint stiff  swell feet  ankl  hand  wrist could 1906,carpal tunnel syndrom  broken bone  hand surgeri  wrist pain  dupuytren contractur  wrist fractur  sport medicin  finger fractur  xiaflex  carpal tunnel releas  osteoarthr  scaphoid fractur  collagenas inject  trigger thumb  hand nerv  endoscop carpal tunnel releas  wrist arthroscopi  hand joint 1906,joint stiff  rash  arthriti  stiff  skin rash  pain joint  food allergi  rash  hypersensit  rheumatoid arthriti
1907,genet rare famili genet risk  presenilin ii  amyloid precursor protein mutat  apo epsilon 4 homozyg state increas risk 1907,varieti diseas alzheim diseas 1907,multipl sclerosi  headach  migrain  numb  stroke  cerebr vascular accid  neuropathi  dizzi  migrain headach  seizur  sleep  tingl  alzheim diseas  memori  dementia  exercis  weak  thorac outlet syndrom  memori loss  dementia lewi bodi 1907,dementia  underact thyroid  alzheim diseas  vitamin defici  multipl sclerosi  hypothyroid  stroke  sclerosi
1908,yes bug bite worsen pain  nodular chang evalu especi histori system lupus erythematosi  autoimmun diseas complic treatment well produc worsen long term morbid histori 1908,ive sick 14 yrs  lupus fatigu  weightloss  anaemia  rash face  atrial fibril  decay teeth  hair loss  fever  rundown 1908,wound heal  podiatri 1908,fatigu  bald  skin rash  fever  rash  lethargi  system lupus erythematosus  hair loss  rash face  anemia
