0,septoplasti septal spur common find  surgeon equip manag issu 0,use salt water nasal spray help prevent develop perfor septum 0,deviat nasal septum  facelift  septoplasti  facial plastic surgeri  botox  ent head neck surgeri  dermal filler  deviat septum surgeri  eye lift  neck lift  brow lift  mini lift  revis rhinoplasti  constip  rhinoplasti  rhinoplasti  asian american health  asian eyelid surgeri  blepharoplasti 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1371,well acetaminophen 25mg ok everi 4 hr ibuprofen 10 mg kg every8 hr  thank ask  non pharmacist pound 2 2 kg  mean 22 pound child 10 kg 1371,daughter 104  03  fever  gave ibuprofen acetaminophen doesnt drop  take emerg room 1371,sleep  femal health  acn  diabet  cancer  depress  child diabet  facial pimpl  lose weight  asthma  diabet risk  cerebr apoplexi  laparoscop surgeri  sleep disord  foul tast mouth  feel anxious  drowsi  fever  weight loss program  intern medicin pediatr 1371,fever  motrin  panadol  pain medicin  nuprin  rufen  ibuprofen  tempra  children health  advil
1372,could day possibl complic  usual sensat lip chin return complet  soon day long mani week  discuss issu doctor 1 week follow appoint  patient fine 1372,left wisdom teeth remov 4 day ago  swell went today  massiv lump nowher near extract site  tast rotten blood mouth 1372,oral surgeri  dental implant  anesthesia  bone graft  tooth pain  tooth abscess  wisdom tooth extract  gum diseas  miss teeth  tooth extractor  gum graft  mouth tooth diseas  chip tooth  gum biopsi 1372,swollen gland  dental abscess  blood clot  sodium  wisdom teeth  tooth extract
1373,dentistri obvious either antibiot would expect work mouth infect    cannot get way infect tissu surgic intervent would requir 1373,got sinus infect month  ive taken1000 mg amoxicillin 28 day still gone 1373,exercis  lose weight  stress  supplement  ulcer  age grace  diabet type 2  migrain headach  white cell count  oxygen  suboxon  intern medicin  suboxon withdraw  opiat withdraw  medic  pharmacolog 1373,sinus  angioplasti  augmentin  steroid  prednison  amoxil  amoxicillin  amoxicillin clavulan
1374,sinus problem could anyth infect tumor see ent specialist asap 1374,nose stuf clear mucus goe mouth swallow  bad 1374,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 1374,stuf nose  oxymetazolin  bacteria
1375,see doctor  concern breast health  whether pain lump anyth  see doctor discuss exam  doctor recommend test  necessari  may includ mammogram ultrasound  exampl 1375,two lump right breast  went doctor diagnost mammogram done 5 week 1375,cancer  lymphoma 1375,breast surgeon  mammogram  digit mammogram
1376,either one difficulti swallow need seen asap prevent serious problem occur  antibiot therapi definit treatment indic 1376,tooth absess drain dentist 4 day ago  still lump roof mouth extrem pain  long till goe away 1376,wisdom tooth extract 1376,abscess  antibiot  incis  incis drainag  root canal  palat  dentistri
1377,depend everi situat differ  wisdom teeth boni impact  infect abcess  also depend type size bone graft compar  difficult provid comparison 1377,better get tooth extract dental implant place bone graft time extract graft wait 3 mos implant success rate 1377,oral surgeri  dental implant  anesthesia  bone graft  tooth pain  tooth abscess  wisdom tooth extract  gum diseas  miss teeth  tooth extractor  gum graft  mouth tooth diseas  chip tooth  gum biopsi 1377,surgeri  dental implant  implant  graft  bone graft
1378,might earli symptom pregnanc  like nausea fatigu  occur alon combin condit nonpregn peopl  also occur soon concept woman confirm pregnant  childbear age intercours  woman symptom call primari care provid arrang evalu 1378,period late 9 day  yesterday took urin pregnant test came negat  never intercours  finger  1 week ovul day  brown spot 4 day  pregnant 1378,femal health  exercis  healthi pregnanc  healthi diet  diabet  healthi live  fit exercis  sonogram 1378,mens  ovul  femal health  penil  get pregnant  healthi pregnanc  semen  urin  pregnanc  sex
1379,hint  pregnanc test negat period regular light 1379,took home preganc test negat  plan parenthood said posit  doctor said negat pregnant test urin  confus 1379,contracept  cancer  endometriosi 1379,pregnanc loss  test urin  urin  spontan abort  pregnanc test  pregnanc  mental confus
1380,absolut lymph node check doctor internet 1380,three swollen cervic lymph node left side neck ear pain doctor hs seen one say wait 2 month fbc normal worri 1380,sleep  tuberculosi  cough  copd  vitamin defici  asthma  sepsi  fever  lung diseas  bronchoscopi  sleep disord  thoracoscopi  extrapulmonari tuberculosi  ultrasound chest 1380,earach  bmp  cbc  complet blood count  blood smear  antibiot  pain manag  comput tomographi
1381,see dentist need see dentist treat root canal therapi  pain may accessori canal  treatment may necessari    physician cannot determin  call feel better soon 1381,palm caught fall  swollen thumb  scrape bottom thumb tender thumb  fall happen five hour ago  see doctor 1381,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 1381,nan
1382,asthma med fluticason proair asthma medic  physician must suspect variant asthma caus chronic night time symptom  sometim suspicion asthma trial asthma medicin assess respons  night cough famili histori asthma sure keep follow physician 1382,4yo bark cough  3x today given albuterol atrov neb wheez  cloudi drn nose 3day clear  99 5 temp go 1382,children health  autism  acn  autism spectrum disord  sleep  skin rash  diabet type 1  child diabet  prediabet  lose weight  smoke cessat  well lifestyl  psychopharmacolog treatment 1382,cough  wheez  bark cough  inflamm  proventil  ventolin  croup  bathroom steam  albuterol  atrov
1383,take awhil  describ post concuss syndrom ongo symptom evalu neurologist seen one alreadi  brain injur  unusu neck sustain injuri well also evalu 1383,fell stair 3 day ago bang head radiat  still pain headach  feel dizzi  sick tire  concuss 1383,backach  back pain  scoliosi  spinal stenosi  pain back  surgeri  sciatica  exercis  bulg disk  abnorm curvatur spine  neck pain  numb  spinal fusion  physic therapi  cervic spine  whiplash  spondylolisthesi 1383,vomit  dizzi  headach  nausea  hazi vision  doubl vision  unconsci  blurri vision  vertigo  vision
1384,yes  lump armpit evalu  ultrasound look shape size lymph node  needl biopsi perform make diagnosi  contact breast surgeri specialist go breast center evalu risk assess 1384,breast cancer patient undergo neoadjuv chemotherapi  ever know true nodal status 1384,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 1384,breast cancer  breast carcinoma  cancer  adjuv chemotherapi  needl biopsi  femal health  chemotherapi  biopsi  sentinel lymph node
1385,better rx probabl need better heart failur treatment  see cardiologist  addit  make sure take medic regular  eat low sodium diet 1385,r cellulit non specif  unclear undefin margin develop right leg 2 area apprx 23 wide  left leg start ankl way mid tibial area    pt brief 1385,cardiolog  aortic stenosi  atrial fibril  chest pain  angina  chest tight  chest pressur  nitroglycerin  heart murmur  coronari arteri diseas  nitroquick  congest heart failur  perfus scan  valvular heart diseas  mitral valv diseas  educ 1385,multi infarct dementia  antibiot  cellulit
1386,usual breast cancer come back lung usual requir chemotherapi  depend type breast cancer  quick grow  whether multipl spot one spot  breast cancer lung mean microscop cancer spread bodi  wholebodi treatment like chemo hormoneblock therapi necessari best result 1386,could immun system still compromis 2 year chemo radiat stage 1 breast cancer  seem get sick lot 1386,breast cancer  chemotherapi  ovarian cancer  metastat breast cancer  medic oncolog 1386,breast cancer  immun diseas  breast carcinoma  cancer  gamma ray  chemotherapi  irradi  radioact  femal health
1387,yes vascular diseas eye lead ocular ischem syndrom caus visual disturb well pain  seek immedi help 1387,take gabapentin 10 day  dri  burn  itchi eye cpl day  cld gabapentin caus 1387,ct scan  stroke  varicos vein  carotid arteri diseas  venous insuffici  vascular ultrasound  aorta bilater iliofemor runoff cta 1387,itchi eye  neurontin  gabapentin
1388,arteri guess probabl protrud vein  puls protrud  definit want see vascular surgeon  hand  vein guess like connect varicos vein  visit vein specialist phlebologist venous ultrasound evalu sort problem  treatment recommend 1388,spot left leg half way knee waist keep fill blood pop  never feel pain discomfort  could 1388,vein  varicos vein  deep venous thrombosi  venous insuffici  spider vein  varicos vein leg  blood clot leg  sclerotherapi  lymphedema  spider angioma  coumadin  venous stasi  phlebiti  laser ablat  telangiectasia 1388,varicos vein  pain discomfort
1389,alcoholgtbreastcanc alt 11 ast 20 normal  ratio pertain alcohol liver diseas abnorm elev level indic liver diseas  far sensit test gammaglutamyl transpeptidaseggt  **there increas risk breast cancer women drink  even light  risk goe 30% ounc liquor  8oz beer 5oz wine 1389,went liver test result show altsgpt 84 3 asp sgot 87 5  pls mean 1389,abnorm vagin bleed  depress  chest pain  cognit behavior therapi  herniat disk  gastroesophag reflux diseas  medit  irregular menstrual period  urinari tract infect  panic attack  pelvic pain  delay menstrual period  heartburn  oral herp simplex  menstrual cycl chang  tinnitus  otiti media  manag migrain  chronic cough  live major depress 1389,liver diseas  hepatolog  imag  herbal medic  sonogram  gastroenterolog  abnorm liver test  sgpt  sgot  ast
1390,mani possibl pain could result mani differ thing  thorough histori physic exam possibl laboratori radiolog exam need determin exact caus  caus pain may include: trauma fractur  sprain  arthriti  infect ingrown nail  metabol condit gout  musculoskelet biomechan abnorm neurolog condit neuropathi 1390,inner side pinki toe right foot swollen white  hurt itch sign pus  thought 1390,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 1390,pus  foot swell
1391,well acetaminophen 25mg ok everi 4 hr ibuprofen 10 mg kg every8 hr  thank ask  non pharmacist pound 2 2 kg  mean 22 pound child 10 kg 1391,infant 1~12 month take tylenol advil fever 1391,sleep  femal health  acn  diabet  cancer  depress  child diabet  facial pimpl  lose weight  asthma  diabet risk  cerebr apoplexi  laparoscop surgeri  sleep disord  foul tast mouth  feel anxious  drowsi  fever  weight loss program  intern medicin pediatr 1391,fever  acetaminophen  ibuprofen  advil  children health  tylenol
1392,baker cyst  swell back knee  isa common place cyst form  see orthopedist evalu treatment 1392,cyst shin near ankl pain knee foot front side leg  pleas help figur 1392,children health  cough  sleep  skin rash  diarrhea  loos stool  femal health  otiti media  ear infect  vaccin  healthi pregnanc  dermat  vomit  pediatr  fever  child allergi  dysenteri  placement stent bile duct  pediatr allergi 1392,tendon  broken bone  shin splint  stress  neuriti  splint  orthoped surgeri
1393,mani problem multipl problem go sound like sever skin infect  kidney failur  possibl heart attack  unfortun  due severitti complex issu  there reason way say anyth expect prognosi  metric alon  poor  talk intens care doctor 1393,congest heart failur caus  clear fluid leak skin leg ankl midcalf    treatment 1393,infecti diseas  human immunodefici virus  recurr infect  urinari tract infect  frequent infect  mrsa  hsv  methicillin 1393,heart failur  congest heart failur  multi infarct dementia  cardiolog  diet  sodium
1394,yes either achill pain strain  tear dvt would like  see specialist simpl scan determin whether clot present  swell red present 5075% time 1394,recov dvt calf area wonder tubular bandag like would help control swell behind knee 1394,ankl arthriti  leg pain 1394,blood clot leg  deep venous thrombosi  embolus
1395,petechia everyon want learn new word right spot last night went away sore come afternoon either case warrant peek dentist  may sudden onset virus  allerg reaction food petechia sometim pain red dot roof mouth trauma  alway cant breath swallow 911  hope feel better soon 1395,28 male smoker rais bump hard palat tini red dot rough textur appear red white pigment idea  sore painful 1395,tooth pain  child health  cancer  root canal  dentistri  tonsil stone  anesthesia  nutrit  mouth cancer  oral cancer  ulcer  surgeri  sleep  ulcer coliti  coliti  panic attack  toothbrush  hypertens  diabet  eye pain 1395,red skin  cancer  oral cancer  mouth cancer  smoke  dentistri  biopsi  pigment  palat
1396,yes  secondarili strong exposur airborn allergen caus drainag snort  mouth breath  throat clear  caus throat sore  person heavi exposur dust mite borrow pillow woke next morn raw throat 1396,frequent post nasal drip  episod last 6 week  caus breath problem  choke  constant throat clear  exacerb goiter 1396,asthma  herbal supplement  well lifestyl  sensit medic 1396,sinus  sinus pain  throat clear  hypersensit  choke  goiter  difficulti swallow  breath difficulti  thyroid enlarg  difficulti breath
1397,direct link breast cancer spread lung  rare  lung cancer spread breast  lung cancer estrogen progesteron receptor posit 1397,lump size oliv armpit breast im scare   matern grandmoth also termin cancer  im 23 yrs old 1397,cancer  lung cancer  esophag cancer  surgeri  thorac outlet syndrom  minim invas thorac surgeri  video assist thorac surgeri  robot thorac surgeri  thorac neoplasm  thoracoscopi  collaps lung  video assist thoracoscopi  ct scan  pet scan  pleural effus 1397,cancer  femal health  termin cancer
1398,possibl dri socket contact dentist oral surgeon remov teeth determin could normal discomfort dri socket  dri socket may occur initi blood clot lost  occur smoke drink straw  strong negat pressur caus suck cigarett straw  pull clot loos 1398,2 wisdom teeth pull dentist 3 day ago  jaw hurt lot  cud b due dri socket  pain extract pic need 1398,child health  dentistri  sleep  abscess  root canal  teeth whiten  sleep apnea  cosmet dentistri  fals teeth  tmj syndrom  bad breath  dri mouth  snore  tooth pain  tooth abscess  cancer  children health  mouthguard  dental implant  periodont 1398,jaw pain  dri socket  wisdom teeth  tooth extract  dentistri
1399,psychotherapi without question  numer medic help  studi show medicin psychotherapi better either alon peopl  see board certifi child adolesc psychiatrist consult 1399,know dysthymia depress  symptom includ tired  lack motiv  cri reason 1399,panic attack  eat disord  post traumat stress disord  poor nutrit  vitamin defici  anxieti disord  race mind 1399,cri  depress  dysthymia  mild chronic depress  lack motiv  mood  psychotherapi  psychiatri
1400,possibl     diagnost mammogram someth feel  like lump  almost certain need ultrasound  call back calcifc  like need ultrasound  mass seen mammogram  cannot feel  also need ultrasound 1400,mammogram ultrasound breast confirm benign lump  told lymph node  concern know breast ca spread 1400,mammogram  ct scan  mri scan  xray chest  mri breast  breast carcinoma  breast lump  breast biopsi  nuclear scan 1400,breast cancer  breast carcinoma  cancer  digit mammogram  femal health  ultrasound breast  sonogram  mammogram
1401,muscl spasm trigger point band taut muscl area hurt press upon radiat area pain spot press upon  time stretch massag area reliev spot  howev sometim continu need address doctor  doesnt resolv touch doesnt hurt  consid sciatica get spine evalu 1401,burn pain right buttock  accompani burn pick back inch knee run outsid leg  heel  present sit  possibl caus 1401,sciatica  pain back  epidur steroid inject  osteoarthr  neck pain  migrain  botox  mri spine  radiofrequ ablat  rhizotomi  complex region pain syndrom  lumbar facet inject  stem cell therapi  nerv injuri  lumbar facet rhizotomi  xray spine  lumbar sympathet block  stellat ganglion block  percutan discectomi 1401,sciatica  nerv  low back pain  burn pain
1402,common yes  gum may also sore swollen deep clean  use warm salt water nsaid otc pain control  swell discomfort subsid day aprox  7day 1402,pain palat front  impact wisdom teeth  swollen cheek 1402,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1402,dentistri  wisdom teeth  palat
1403,type swell occur clear cover white part eye  clear layer call conjunctiva  cell produc tear  mucous oil keep surfac eye moist cell get overstimul  overproduc fluid  fluid get trap conjunctiva sclera white layer  bubbl form  usual  bubbl go away get better  irrit  last longer  see ophthalmologist optometrist medic doctor  cannot prescrib medic prescrib antiallergi drop patanol  pataday beprev  often find suffici  short cours steroid eye drop work better  must use care  guidanc doctor  one last note  pleas dont press bubbl  put anyth els eye make irrit  caus problem 1403,child sever allergi  eczema asthma help 1403,cataract  lasik  cataract surgeri  cloudi vision 1403,eczema  asthma  hypersensit  child allergi  dander  pet  clean product  expos mold  children health  children
1404,mri knee sound like need discuss orthoped surgeon  may may signific new tear  may issu arthriti  etc  may caus pain 1404,age 16  hurt shoulder 2 month ago  physic therapi cortison help  mri show rotat cuff tear bone spur  surgeri 1404,exercis  well lifestyl  sport medicin  knee pain  knee replac  vitamin supplement  total knee replac  total hip replac  weight manag  tendon  patella  sport injuri  acl reconstruct  hip repair  arthroplasti  partial knee replac  sport fit  orthoped brace 1404,rotat cuff tear  bone spur  surgeri  rotat cuff  physiotherapi  physic therapi  mri  magnet reson imag  cortizon  cortison
1405,anal fissur probabl lot unconsci hold part hemorrhoid anal fissur caus pain bowel movement  would tri make stool even softer difficult take 2 hour pass singl bm 1405,pain anus woke  bowel movement brought relief felt lump anus push bit right felt small bb size  lump insid anus anus push feel 1405,cough  contracept  children health  surgeri  ear infect  otiti media  bruis  home remedi  adolesc health  neonatolog  childhood immun  pediatr dermatolog  get pierc  asthma children  topic medic laser treatment  adult immun  botox 1405,rectal pain  anal lump  intestin  bowel  bowel movement
1406,oral infect sound like antibiot work swell decreas  say anyth pain  take differ antibiot extract start clindamycin talk extract dentist heal concern  know situat best give best advic 1406,molar pull  bone debrid biopsi  diag  osteomyel   7 day amoxicillan  fluish  back neck  jaw pain 2 week later  gp gave 10 day augmentin  iv vertebra 1406,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 1406,jaw pain  osteomyel  bone infect  tooth extract  general practition  biopsi  augmentin  amoxicillin clavulan  amoxicillin
1407,laser resurfac acn scar may improv chemic peel done physician much otc counter peel  laser peel probabl effect  fraction laser resurfac combin microlaserpeel produc even impress longterm result 1407,acn scar  laser effect heal thescar side effect laser 1407,surgeri  cancer  femal health  breast cancer  scar  botox  scar  breast augment  breast lift  breast carcinoma  breast implant  carpal tunnel syndrom  facelift  breast reduct surgeri  cosmet surgeri  mastectomi  tummi tuck  breast reconstruct  liposuct  dermal filler 1407,acn  pimpl  scar  facial pimpl  laser
1408,see dermatologist basal cell cancer tend grow fair slowli delay treatment pregnanc may ok  realli depend extens kind basal cell cancer  might abl remov local anesthesia especi second trimest  talk dermatologist go option 1408,im 22 week pregnant doctor found hard unmov lump breast im get scali red mark skin  could breast cancer 1408,bell palsi  rhinoplasti  deviat nasal septum  facelift  eye lift 1408,red skin  breast cancer  breast carcinoma  cancer  pregnanc  femal health  healthi pregnanc
1409,infect tooth get infect  root canal prevent make like  get seen today call doc dentist  doc start antibiot treat pain get seen dentist  fever  troubl swallow  rapid increas swelllng red cheek face go er  gook luck 1409,ive recur sinus infect  coupl sever tooth pain  possibl need root canal 1409,nan 1409,tooth pain  dental pain  sinus  root canal
1410,  indic age 31 indic mammographi   unless strong suspicion due brca    genet  even 40 routin screen mammographi id improv surviv recent canadian studi  controversi ref ny time articl comment   go regular schedul check up 1410,wife mammogram year ago  small calcif  grown skin drain smelli fluid  wont go dr 1410,cancer  hernia  hemorrhoid  wart 1410,digit mammogram  mammogram
1411,depend full recoveri knee replac usual take year  patient reduc use pain medicin within two week replac  6 week comfort usual 3 month knee fade background  life doesnt revolv around new knee  everyon differ general time line  concern tell doctor 1411,surgeri bleed ulcer stomach possibl may start bleed 1411,total hip replac  total knee replac  vitamin defici  ligament injuri  acl reconstruct 1411,ulcer  helicobact pylori  antacid  diet  surgeri  tum  laparoscop surgeri
1412,medic caus rule  next step psychiatr evalu rule rule anxieti disord  take care 1412,thymoma ive havin chest pain numb tingl arm know panic attack like everyon say could 1412,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 1412,chest pain  coronari arteri diseas  thorac neoplasm  tingl  chest pressur  chest tight  numb  thymoma  angina  panic attack
1413,warm salt water rin safest effect attempt caus pimpl area go away warm salt water rins  coupl minut  45 time day  pimpl continu  contact otolaryngologist evalu pimpl area 1413,hve pain shoulder neck jaw arm  right breast  hve bad tenni elbow repetit work right side feel like muscl pain pector 1413,nan 1413,sprain strain  shoulder pain  muscl pain  tenni elbow  femal health
1414,direct link breast cancer spread lung  rare  lung cancer spread breast  lung cancer estrogen progesteron receptor posit 1414,found lump left breast near armpit  breast cancer 1414,cancer  lung cancer  esophag cancer  surgeri  thorac outlet syndrom  minim invas thorac surgeri  video assist thorac surgeri  robot thorac surgeri  thorac neoplasm  thoracoscopi  collaps lung  video assist thoracoscopi  ct scan  pet scan  pleural effus 1414,breast cancer  breast carcinoma  cancer  femal health  mammogram  sonogram
1415,infect v allergi acut  like viral infect  histori allergi  could caus  antihistamin dont help  probabl virus  doctor tell certainti physic exam 1415,suffer constant headach  pressur head eye  eye pain  neck pain  teeth ach  dizzi  could 1415,adhd  depress  autism  children health  autism spectrum disord  bipolar disord  adderal  ritalin  dextroamphetamin racem amphetamin  eat disord  learn disabl  tourett syndrom  adolesc health 1415,dizzi  neck pain  eye pain  headach  vertigo
1416,disc herniat symptom left side consist l 5 s1 distribut might want tri inject diagnost reason good luck most good news signific arthrit nartow nerv passag 1416,sciatica 3 mths  tingl leg feet numb big toe achi hip past week  mri show noth wrong what wrong 1416,backach  scoliosi  back pain  pain back  sciatica  abnorm curvatur spine  bulg disk  spinal fusion  spinal stenosi 1416,numb  tingl  sciatica  electromyographi  nerv conduct electromyographi  mri  magnet reson imag  low back pain
1417,see om ent need see om ent area evalu 1417,high ferritin  low vitamin high pth blood  get nausa lot vomit   ach pin needl shoulder blade neck  head phoasi 1417,wisdom tooth extract  lockjaw  exercis  ulcer  aphthous stomat  stress less  headach  migrain  tooth abscess  protrud jaw  dri mouth  dental implant  dental abscess  cosmet surgeri  tooth extractor  reconstruct surgeri 1417,vomit  nausea  adenoma  bone pain  paresthesia  hyperparathyroid  vitamin defici  surgeri  vitamin  endocrinolog
1418,diabet foot pain warrant person exam littl room misdiagnosi  could sesamoid  stress fractur  tendon etc  possibl charcot foot must consid  make mention skin integr must examin well  neuropathi foreign bodi rule 1418,im 28  ankl surgeri 3 wks ago  foot  toe get swollen  swell goe  toe look wrinkl  get rid wrinkl perman 1418,plantar fasciiti  diabet foot  neuroma 1418,surgeri  ankl surgeri
1419,ear infect likey ear infect ear drainag  earach swollen  pain post auricular lymph node  could wisdom tooth  pleas see doctor asap  feel better 1419,chikenpox caus swollen lymph node behind ear 1419,children health  diarrhea  vaccin  pimpl  pediatr  otiti media  earach  ear infect  burn  asthma  lead poison  childhood immun 1419,chickenpox
1420,trifecta antiinflammatori ibuprofen  heat moist pack  exercis  see oral surgeon advic specif  esp  exercis  may take ibuprofen 4x day @ 400 mg  appli moist heat side face area front ear top bottom   help improv blood flow  reduc inflamm reliev muscl spasm strain  soft diet  make appt 1420,feel someth poke insid gum 2 week get tooth extract  could bone form 1420,fals teeth  dental implant  sleep  dental health  oral surgeri  stress less  abscess  dental care  dental fill  bone loss  ulcer  miss teeth  oral maxillofaci surgeri  diagnost servic 1420,tooth extract
1421,hormon problem need histori   tudor produc hormon  ovarian mass  cyst  etc 1421,laproscop gall bladder surgeri 6 day ago pain right side shoulder kidney area  especi breath    concern 1421,gastroenterolog 1421,surgeri  laparoscopi  bladder surgeri  bladder
1422,correct macrobid  long act form nitrofurantoin macrocryst good steril urin  treat uncompl bladder infect antibacteri prophylaxi achiev tissu level need treat kidney infect  flank pain uti kidney infect proven otherwis requir bactericid antibiot good tissu level  cotact dr asap start treatment 1422,bloodwork wbc high urin test epitheli cell mani luek esteras small blood moder kidney stone uti wbc high concern 20 yr old 1422,circumcis  bedwet  incontin  kidney problem  hypospadia repair  bladder exstrophi repair 1422,urinari tract infect  urin  white blood cell
1423,mayb usual sinus get infect upper teeth becom sore  infect sinus creat pressur push root teeth henc sensit sore  rest question hope md answer hope feel better soon 1423,ear infect itchi ear  pop ear blow nose much   also runni stuffi nose itchi nose  symptom 1423,dental care  dental implant  cosmet dentistri  crowd teeth 1423,ear infect  stuf nose  eustachian tube dysfunct  ear pop  otiti media
1424,could day possibl complic  usual sensat lip chin return complet  soon day long mani week  discuss issu doctor 1 week follow appoint  patient fine 1424,got remov wisdom tooth remov 7 day infect  took augmentin 7 day  still teeth infect  ear pain  thank 1424,oral surgeri  dental implant  anesthesia  bone graft  tooth pain  tooth abscess  wisdom tooth extract  gum diseas  miss teeth  tooth extractor  gum graft  mouth tooth diseas  chip tooth  gum biopsi 1424,earach  tooth extract  augmentin  amoxicillin clavulan
1425,see dentist asap reli augmentin definit treatment  infect come back  dentist treat tooth abscess treat caus get rid infect  delay  good luck 1425,home remedi help tooth infect along antibiot provid dentist salt water mouth wash  thank 1425,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1425,periodont  antibiot
1426,see dentist asap reli augmentin definit treatment  infect come back  dentist treat tooth abscess treat caus get rid infect  delay  good luck 1426,antibiot good tooth infect augmentin amoxicillin knowledg see dentist soon 1426,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1426,periodont  antibiot  augmentin  amoxil  amoxicillin clavulan  amoxicillin
1427,see    im sure realli think lymphoma  want cautious make sure cover base  asymmetr enlarg tonsil inde indic rule lymphoma mean interpret clear evid lymphoma  ent may recommend take tonsil definit diagnosi 1427,swollen right supraclavicular node 2 month  gyno said go ent biopsi general dr order neck ct scan  ct ent 1427,leukemia  lymphoma  anemia  acut lymphoblast leukemia  myelodysplast syndrom  blood lymph cancer  wbc count  acut myelogen leukemia  hodgkin diseas  blood disord  non hodgkin lymphoma  malt lymphoma  enlarg lymph node  chronic myelogen leukemia  cutan cell lymphoma  myeloprolif disord  burkitt lymphoma  myelofibrosi  multipl myeloma 1427,ent head neck surgeri  ear nose throat  ct scan  ct neck  comput tomographi  biopsi
1428, 1428,itchi rash look like littl ant bite  7 day  thought poison ivi  noth help  scab scratch 1428,diabet type 2  depress  diabet type 1  headach  migrain  addict 1428,rash  skin rash  itchi rash  toxicodendron dermat  poison ivi  scratch  ant bite
1429,unrel  see doctor bowel symptom  good luck 1429,treat chlamydia  symptom  result came back trace left  treat  burn w pee   itch irrit 1429,surgeri  kidney stone  cancer  bph  nephrolithiasi  enlarg prostat  urinari bleed  blood urin  male health  benign prostat hyperplasia  prostat cancer  circumcis  urinari retent  take antibiot 1429,chlamydia infect  micturit  chlamydia trachomati   urin
1430,hint  pregnanc test negat period regular light 1430,miss period  frequent urin white discharg negat pregnanc test  could problem 1430,contracept  cancer  endometriosi 1430,frequent urin  miss period  polyuria  pregnanc  pregnanc test  micturit  urin
1431,nope  dont worri  stds caus germ pass one person anoth  sex doesnt creat stds  neither partner std sex occur  neither one get std  cours either person sex someon els  might bring std relationship  happen without know std  way stds sometim appear monogam coupl 1431,sex boyfriend use protect vagina itch insid  also use finger  could allerg condom 1431,chlamydia infect  sexual transmit diseas  sexual transmit infect  human immunodefici virus  gonorrhea  hsv type 1 2  trichomona  hsv  syphili  bacteri vaginosi vagin panel  urethr  std prevent  hiv prevent 1431,sex  condom
1432,good chanc nine day facial pain develop  certain possibl sinus infect  even  still possibl viral nonsmok  would see doctor urgent care tomorrow meantim  tri netipot nasal salin spray  ibuprofen dayquil nyquil 1432,slight larg bump around size penni nickel inner thigh crotch region sore  touch kind hard  origin though ingrown hair start grow larger dint go away 1432,headach  lose weight  diabet  fibromyalgia  chronic pain  alcohol  manag high blood pressur  live fibromyalgia fms 1432,ingrown hair  nickel blood level  tactil
1433,good chanc nine day facial pain develop  certain possibl sinus infect  even  still possibl viral nonsmok  would see doctor urgent care tomorrow meantim  tri netipot nasal salin spray  ibuprofen dayquil nyquil 1433,hi sinus infect two week bad headach congest  gone morn wake throat hurt still mucus cough  caus thank 1433,headach  lose weight  diabet  fibromyalgia  chronic pain  alcohol  manag high blood pressur  live fibromyalgia fms 1433,throat pain  sore throat  sinus  headach  cough
1434,yep new onset sore throat  red  discolor patch need evalu strep throat  rapid strep test negat  ask throat cultur  sinc 1 3 10 rapid strep test fals negat  strep miss  long strep treat within 10 day risk acquir rheumat fever minim  go uc today see doc tomorrow  10 day 1434,daughter test posit mono yesterday  long sinc contract virus   doesnt seem b over tire sore throat swollen gland 1434,nan 1434,sore throat  throat pain  swollen gland  enlarg lymph node  mono  virus  enlarg gland
1435,wisdom teeth wisdom teeth caus problem earach need come  experienc pain  swollen gum  lymph node go away find difficult open mouth  see dentist evalu  xray wisdom teeth remov 1435,3 day ago bad tooth pain gum gone white   chill sweat appetit throb jaw feel sick fast heart white line cheek 1435,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1435,appetit  dental pain  tooth pain  oral surgeri  oral maxillofaci surgeri
1436,yes way know sure check test  see doctor asap evalu  best wish 1436,diagnos chlamydia 9 day ago took azithromycin 4 pill  never odor  itch burn slight increas discharg that went got check  anyway  took nine day ago discharg 1436,health educ  health literaci  diabet  flu  healthi live  hypertens 1436,gonorrhea  trichomona  chlamydia infect  vagin discharg  zithromax  yeast  z pak  tri pak  chlamydia trachomati   candida
