0,salin suction  safest effect treatment salin nose drop suction  elev head crib use humidifi help   cold cough medicin proven ineffect serious side effect  fda take market gradual  doesnt help  child need see doctor see cold 0,use salt water nasal spray help prevent develop perfor septum 0,asthma  development delay  prematur babi  eczemat rash 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1374,probabl virus recent onset  like virus  use otc salin nose spray  throat lozeng  cough medicin even honey sooth cough sore throat  plenti fluid  give seven ten day see get better  watch fever  short breath  facial pain  ear pain  develop progress get better see doctor 1374,nose stuf clear mucus goe mouth swallow  bad 1374,diabet  lipid  hypertens  melanoma 1374,stuf nose  oxymetazolin  bacteria
1375,depend  mayb digit mammogram standard mammogram  sometim ultrasound may ad get inform  especi dens breast tissu  younger women dens breast  mammogram may done go straight ultrasound  breast radiologist breast surgeon abl make appropri recommend 1375,two lump right breast  went doctor diagnost mammogram done 5 week 1375,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 1375,breast surgeon  mammogram  digit mammogram
1376,cant tell earli say  info  appear treat breast abscess  antibiot resolv fever  abscess mass may persist need surgic drainag even abscess 1376,tooth absess drain dentist 4 day ago  still lump roof mouth extrem pain  long till goe away 1376,cancer  sickl cell diseas  child health  pediatr oncolog  anemia  low blood count  thalassemia  beta thalassemia  hematolog  childhood leukemia 1376,abscess  antibiot  incis  incis drainag  root canal  palat  dentistri
1377,2 week tell patient wait least 2 week extract prior dental work emerg  case  peopl may still sore heal slowli other case would wait feel better dentist oral surgeon say ok brace 1377,better get tooth extract dental implant place bone graft time extract graft wait 3 mos implant success rate 1377,abscess  dental care  dental pain  inflamm gum  cosmet dentistri 1377,surgeri  dental implant  implant  graft  bone graft
1378,probabl long period last long cycl determin ovul  averag cycl first day mens next first day mens 28 day  ovul occur fourteenth day cycl  intercours 7th day around ovul  cycl 21 day  howev  ovul occur day 7 pregnanc possibl 1378,period late 9 day  yesterday took urin pregnant test came negat  never intercours  finger  1 week ovul day  brown spot 4 day  pregnant 1378,nan 1378,mens  ovul  femal health  penil  get pregnant  healthi pregnanc  semen  urin  pregnanc  sex
1379,see doc one two possibl  one pregnant  second dc complet remov tissu uterus give posit pregnanc test  see ob gyn asap 1379,took home preganc test negat  plan parenthood said posit  doctor said negat pregnant test urin  confus 1379,femal health  healthi pregnanc  ovul  child health  polycyst ovarian syndrom  male health  ivf pregnanc  fertil  intraven fluid  get pregnant  mens  tri conceiv  fertil treatment  clomid  intrauterin insemin  surgeri  femal infertil  artifici insemin 1379,pregnanc loss  test urin  urin  spontan abort  pregnanc test  pregnanc  mental confus
1380,mani  see doctor  consid symptom  mani potenti caus includ infect  medicinerel  hormon imbal  even cancer  see doctor order evalu  best wish 1380,three swollen cervic lymph node left side neck ear pain doctor hs seen one say wait 2 month fbc normal worri 1380,health educ  health literaci  diabet  flu  healthi live  hypertens 1380,earach  bmp  cbc  complet blood count  blood smear  antibiot  pain manag  comput tomographi
1381,absolut lymph node check doctor internet 1381,palm caught fall  swollen thumb  scrape bottom thumb tender thumb  fall happen five hour ago  see doctor 1381,sleep  tuberculosi  cough  copd  vitamin defici  asthma  sepsi  fever  lung diseas  bronchoscopi  sleep disord  thoracoscopi  extrapulmonari tuberculosi  ultrasound chest 1381,nan
1382,see get recheck worsen asthma develop pneumonia 1382,4yo bark cough  3x today given albuterol atrov neb wheez  cloudi drn nose 3day clear  99 5 temp go 1382,asthma  child health  children health  tick bite  exercis  lyme diseas  sore throat  rabi  advil  albuterol  flu  wheez  pediatr  rash  antibiot  infect insect bite  hypersensit  injuri wound  toenail  sport injuri 1382,cough  wheez  bark cough  inflamm  proventil  ventolin  croup  bathroom steam  albuterol  atrov
1383,neurolog constel symptom often result neurolog problem variat migrain  vestibular migrain  especi ct scan sinus normal  howev  conserv diagnosi entertain proper rule big bad possibl like tumor sever progress neurolog infect 1383,fell stair 3 day ago bang head radiat  still pain headach  feel dizzi  sick tire  concuss 1383,facial plastic surgeri 1383,vomit  dizzi  headach  nausea  hazi vision  doubl vision  unconsci  blurri vision  vertigo  vision
1384,sometim prognosi stage 1 breast cancer excel  mani women may benefit tradit chemotherapi  depend age patient  whether tumor hormonesensit  her2 neu receptor overexpress   select case  oncotypedx score  negat lymph node encourag  breast cancer may travel via bloodstream 1384,breast cancer patient undergo neoadjuv chemotherapi  ever know true nodal status 1384,cancer  breast cancer  hernia  laparoscop surgeri  mammogram  gallston  abdomin pain  breast lump  append  inguin hernia  mastectomi  gallbladd diseas 1384,breast cancer  breast carcinoma  cancer  adjuv chemotherapi  needl biopsi  femal health  chemotherapi  biopsi  sentinel lymph node
1385,depend would quit sever fractur need amput  day extern fixat put allow heal comminut realli aw fractur revision surgeri done later  fractur cut blood suppli foot nasti infect would need amput 1385,r cellulit non specif  unclear undefin margin develop right leg 2 area apprx 23 wide  left leg start ankl way mid tibial area    pt brief 1385,ankl pain  neuropathi  sport medicin  orthot  plantar fasciiti  diabet foot  toenail fungus 1385,multi infarct dementia  antibiot  cellulit
1386,yes new chemotherapi agent introduc  also newer type rmachin techniqu  howev regard radiat exact problem versus 13 year ago treatment might exact 1386,could immun system still compromis 2 year chemo radiat stage 1 breast cancer  seem get sick lot 1386,cancer  radiat therapi  prostat cancer  radiat oncolog  oncolog 1386,breast cancer  immun diseas  breast carcinoma  cancer  gamma ray  chemotherapi  irradi  radioact  femal health
1387,dryness lasik aggrav dri eye condit  dri eye treat regardless lasik 1387,take gabapentin 10 day  dri  burn  itchi eye cpl day  cld gabapentin caus 1387,cataract  lasik  surgeri  glaucoma  vision  cataract surgeri  glass  refract surgeri  lasek eye surgeri  prk  insur  cataract remov  intraocular len  astigmat  dri eye 1387,itchi eye  neurontin  gabapentin
1388,knee injuri manag acut injuri rice  rest  ice  compress  elev  heat first 48 72 hour  rest avoid leg train comfort lighter weight   determin exercis movement made caus injuri  injudici weight train  especi squat full flexion deep flexion extens move damag knee bad 1388,spot left leg half way knee waist keep fill blood pop  never feel pain discomfort  could 1388,tmj syndrom  dental implant  cosmet surgeri  tmj surgeri  sinus graft  head trauma  craniofaci reconstruct  open repair jawbon fractur 1388,varicos vein  pain discomfort
1389,possibl elev liver function test may occur varieti issu fatti infiltr hepat steatosi  viral ill hepat virus  alcohol  increas use medic metabol liver statin  cirrhosi  biliari diseas  tumor  gallbladd diseas  etc  etc  discuss dr  hold statin see trend  tri anoth med 4 chol 1389,went liver test result show altsgpt 84 3 asp sgot 87 5  pls mean 1389,urinari tract infect 1389,liver diseas  hepatolog  imag  herbal medic  sonogram  gastroenterolog  abnorm liver test  sgpt  sgot  ast
1390,see foot dr earli arthriti  foot specialist help decid treatment work 1390,inner side pinki toe right foot swollen white  hurt itch sign pus  thought 1390,nan 1390,pus  foot swell
1391,see doctor would wise case seen physician determin ill realli 1391,infant 1~12 month take tylenol advil fever 1391,dental care  gum diseas  swollen gland  dental cari  enlarg lymph node  difficulti swallow  dental pain  sinus pain  dental fill  dri mouth  dentistri  child dental health  dental procedur  swallow disord  esthet dentistri  dental clean  dental health  dental sealant  cosmet dentistri 1391,fever  acetaminophen  ibuprofen  advil  children health  tylenol
1392,think time second opinion  yore incred young go foot  ankl  would also get mri see exact tear damag  would strong discourag exploratori surgeri effort fix what wrong  would get accur diagnosi first  im also concern cortison inject get stress fractur  ive never heard give cortison stress fractur  fact  quit contrari  steroid tend delay heal fractur  come risk tendon ruptur  appar  pleas get second opinion proceed  prefer either foot  ankl orthopedist podiatrist certifi foot  ankl surgeri american board podiatr surgeri  good luck 1392,cyst shin near ankl pain knee foot front side leg  pleas help figur 1392,nan 1392,tendon  broken bone  shin splint  stress  neuriti  splint  orthoped surgeri
1393,copd sound like cancer cure  congratul  one probabl smoke linger bronchiti may uncontrol copd  check doctor bronchodil +  steroid  radiat pneumon would unusu time 1393,congest heart failur caus  clear fluid leak skin leg ankl midcalf    treatment 1393,asthma  lung cancer  copd  lung nodul  icu care 1393,heart failur  congest heart failur  multi infarct dementia  cardiolog  diet  sodium
1394,depend diagnosi made  anticoagulantsblood thinner start patient condit stabl   md may recommend ambul walk compress stock prevent clot  stock graduat pressur start ankl  md familiar current condit consult thigh high knee high hose 1394,recov dvt calf area wonder tubular bandag like would help control swell behind knee 1394,blood clot leg  pelvic pain  gestat hypertens 1394,blood clot leg  deep venous thrombosi  embolus
1395,sore throat like infect throat  viral infect typic resolv  bacteri infect  howev  ie: strep  requir antibiot order resolv  recommend consult doctor order make correct diagnosi initi appropri treatment 1395,28 male smoker rais bump hard palat tini red dot rough textur appear red white pigment idea  sore painful 1395,nan 1395,red skin  cancer  oral cancer  mouth cancer  smoke  dentistri  biopsi  pigment  palat
1396,throat possibl bacteri throat infect  even though antibiot  best take doctor check throat 1396,frequent post nasal drip  episod last 6 week  caus breath problem  choke  constant throat clear  exacerb goiter 1396,nan 1396,sinus  sinus pain  throat clear  hypersensit  choke  goiter  difficulti swallow  breath difficulti  thyroid enlarg  difficulti breath
1397,normal realiz lower risk low possibl  risk futur breast cancer 0% close get  recommend profession psychiatr help get root thought go live fabul  healthi  fulfil life  hope cancer team offer reconstruct   good luck enjoy survivorship 1397,lump size oliv armpit breast im scare   matern grandmoth also termin cancer  im 23 yrs old 1397,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 1397,cancer  femal health  termin cancer
1398,non tooth pain check back dentist consid see specialist facial pain dentist find noth wrong  find specialist www aaop org www aacfp org 1398,2 wisdom teeth pull dentist 3 day ago  jaw hurt lot  cud b due dri socket  pain extract pic need 1398,sleep  tmj syndrom  sleep apnea  dentistri  facial pain  snore  apnea  dental health  tooth pain  manag tmj  dental pain  dental bite disturb 1398,jaw pain  dri socket  wisdom teeth  tooth extract  dentistri
1399,psychotherapi yes  combin medic  studi show togeth work better either alon 1399,know dysthymia depress  symptom includ tired  lack motiv  cri reason 1399,panic attack  eat disord  post traumat stress disord  poor nutrit  vitamin defici  anxieti disord  race mind 1399,cri  depress  dysthymia  mild chronic depress  lack motiv  mood  psychotherapi  psychiatri
1400,yes  even longer yes  actual breast cancer begin singl cell probabl requir 10 year growth becom approxim 1 cm size  first reveal exam doctor  mammogram may pick slight sooner certain fact mass mani year prior discoveri mammograph imag 1400,mammogram ultrasound breast confirm benign lump  told lymph node  concern know breast ca spread 1400,femal health  healthi pregnanc  contracept  hysterectomi  intrauterin devic  bleed  mens  uterin prolaps  menopaus  laparoscop surgeri  abnorm vagin bleed  sonogram  spot 1400,breast cancer  breast carcinoma  cancer  digit mammogram  femal health  ultrasound breast  sonogram  mammogram
1401,sciatica possibl describ could sciatic nerv pain  get check doesnt get better  mani possibl caus symptom 1401,burn pain right buttock  accompani burn pick back inch knee run outsid leg  heel  present sit  possibl caus 1401,lose weight  opiat withdraw  control cholesterol  hormon imbal  opiat  lose weight  drug addict 1401,sciatica  nerv  low back pain  burn pain
1402,yes without premed  swell common  antiinflammatori antiswel perscript pre medic  unpleas effect wisdom teeth remov manag quit comfort  discuss treat dentist 1402,pain palat front  impact wisdom teeth  swollen cheek 1402,sleep  tmj syndrom  teeth  snore  sleep apnea  apnea  root canal  oral surgeri  dentistri  tooth pain  dental implant  cleft lip  bone loss  orthodontia 1402,dentistri  wisdom teeth  palat
1403,unlik len materia essenti inert react upon bodi place eye  len implant use million peopl sinc 1949 small number report reaction  turn reaction chemic use clean lens  longer use  there increas risk patient allerg eye 1403,child sever allergi  eczema asthma help 1403,cataract surgeri  refract surgeri  intraocular len  vision difficulti 1403,eczema  asthma  hypersensit  child allergi  dander  pet  clean product  expos mold  children health  children
1404,menisci poor heal menisci rare heal adult torn  poor blood suppli frequent requir surgeri heal  look arthroscop partial meniscectomi  continu exercis go see orthoped surgeon 1404,age 16  hurt shoulder 2 month ago  physic therapi cortison help  mri show rotat cuff tear bone spur  surgeri 1404,sprain  broken bone  physic therapi  bulg disk  exercis  child health  physiotherapi  muscl pain  sleep  splint  sprain strain  wrist fractur  irrit  abdomin discomfort  paresthesia  leg pain  abdomin pain  lose weight  knee swell  mrsa 1404,rotat cuff tear  bone spur  surgeri  rotat cuff  physiotherapi  physic therapi  mri  magnet reson imag  cortizon  cortison
1405,anal fissur describ consist anal fissur  linear ulcer anal canal  tri take laxat stool soft prefer  soft  may tri topic  counter prepar pain  coupl week soft stool  symptom persist  pleas consult doctor 1405,pain anus woke  bowel movement brought relief felt lump anus push bit right felt small bb size  lump insid anus anus push feel 1405,cancer  nutrit  cervic cancer  ovarian cancer 1405,rectal pain  anal lump  intestin  bowel  bowel movement
1406,post surg infect could unresolv infect tooth  problem adjac tooth  dri socket  antibiot could effect  etc  suggest see dentist sooner realli pain dentist cant see right away  consid see anoth oral surgeon 1406,molar pull  bone debrid biopsi  diag  osteomyel   7 day amoxicillan  fluish  back neck  jaw pain 2 week later  gp gave 10 day augmentin  iv vertebra 1406,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1406,jaw pain  osteomyel  bone infect  tooth extract  general practition  biopsi  augmentin  amoxicillin clavulan  amoxicillin
1407,mani mani lasers: noninvas invas  noninvas laser help discolor ipl  ktp  nd:yag  alex  rubi  puls dye  diod collagen remodel thermag  titan  invas laser includ co2  fraction co2 activefx  deepfx  totalfx  repair  erbium  fraxel  ematrix 1407,acn scar  laser effect heal thescar side effect laser 1407,cancer  skin cancer  acn  pimpl  liposuct  melanoma  dermatolog  rid lice treatment  botox  facial pimpl  pap smear  acn scar  emolli  scar  rash  scar  skin cancer surgeri  scar revis  moh surgeri  moh micrograph surgeri 1407,acn  pimpl  scar  facial pimpl  laser
1408,red breast lump could infect lymph node  infect mammari duct cyst  insect bite  inflam block pore  area larg  might under abscess  larg solid  alway think possibl cancer 1408,im 22 week pregnant doctor found hard unmov lump breast im get scali red mark skin  could breast cancer 1408,well lifestyl  prevent medicin  electron health record 1408,red skin  breast cancer  breast carcinoma  cancer  pregnanc  femal health  healthi pregnanc
1409,pain cold pain sensit cold often symptom fractur fill  fractur tooth  bruxism chronic teeth grind clench  gum recess  cervic abfract deep groov tooth gumlin   fractur tooth would normal requir root canal  endodontist say dentist solut  get second opinion 1409,ive recur sinus infect  coupl sever tooth pain  possibl need root canal 1409,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 1409,tooth pain  dental pain  sinus  root canal
1410,mean mammogram provid enough inform breast difficult xray penetr  contact doctor radiologist see next step  like need ultrasound next step  cystic breast  common requir addit pictur beyond mammogram 1410,wife mammogram year ago  small calcif  grown skin drain smelli fluid  wont go dr 1410,breast cancer  breast carcinoma  mammogram  mastectomi  breast lump  breast tender  fibrocyst breast diseas  lumpectomi  breast abscess  breast biopsi  male breast cancer  metastat breast cancer  breast diseas  breast conserv surgeri  breast discharg 1410,digit mammogram  mammogram
1411,2 week two week 1411,surgeri bleed ulcer stomach possibl may start bleed 1411,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 1411,ulcer  helicobact pylori  antacid  diet  surgeri  tum  laparoscop surgeri
1412,get check depend live  yove travel varieti factor havent mention  best advic seek advic local health care provid  live us base age  like problem infect bronchiti pneumonia  yoll want get check soonest 1412,thymoma ive havin chest pain numb tingl arm know panic attack like everyon say could 1412,diabet  migrain headach  child develop  women health  prevent medicin 1412,chest pain  coronari arteri diseas  thorac neoplasm  tingl  chest pressur  chest tight  numb  thymoma  angina  panic attack
1413,unless unless experienc read ultrasound  wait radiologist review interpret 1413,hve pain shoulder neck jaw arm  right breast  hve bad tenni elbow repetit work right side feel like muscl pain pector 1413,laparoscop surgeri  laparotomi  emerg surgeri  injuri wound 1413,sprain strain  shoulder pain  muscl pain  tenni elbow  femal health
1414,yes  even longer yes  actual breast cancer begin singl cell probabl requir 10 year growth becom approxim 1 cm size  first reveal exam doctor  mammogram may pick slight sooner certain fact mass mani year prior discoveri mammograph imag 1414,found lump left breast near armpit  breast cancer 1414,femal health  healthi pregnanc  contracept  hysterectomi  intrauterin devic  bleed  mens  uterin prolaps  menopaus  laparoscop surgeri  abnorm vagin bleed  sonogram  spot 1414,breast cancer  breast carcinoma  cancer  femal health  mammogram  sonogram
1415,easi fix obvious question old dentur life expect set dentur 5 year  time teeth wear bone chang  muscl adapt mani time  current set dentur check good dentist knowledg occlus muscular function  dentur creat equal  caus problem 1415,suffer constant headach  pressur head eye  eye pain  neck pain  teeth ach  dizzi  could 1415,sleep apnea  periodont  dental pain  cosmet dentistri 1415,dizzi  neck pain  eye pain  headach  vertigo
1416,sciatica possibl describ could sciatic nerv pain  get check doesnt get better  mani possibl caus symptom 1416,sciatica 3 mths  tingl leg feet numb big toe achi hip past week  mri show noth wrong what wrong 1416,lose weight  opiat withdraw  control cholesterol  hormon imbal  opiat  lose weight  drug addict 1416,numb  tingl  sciatica  electromyographi  nerv conduct electromyographi  mri  magnet reson imag  low back pain
1417,heart attack pain probabl due joint muscl heart attack  see doctor evalu treatment 1417,high ferritin  low vitamin high pth blood  get nausa lot vomit   ach pin needl shoulder blade neck  head phoasi 1417,nan 1417,vomit  nausea  adenoma  bone pain  paresthesia  hyperparathyroid  vitamin defici  surgeri  vitamin  endocrinolog
1418,swollen foot knee surgeri disrupt lymph system leg could predispos swell foot 1418,im 28  ankl surgeri 3 wks ago  foot  toe get swollen  swell goe  toe look wrinkl  get rid wrinkl perman 1418,musculoskelet problem  spine manipul  prolotherapi  stem cell therapi  bioident hormon 1418,surgeri  ankl surgeri
1419,abcess tooth upper tooth abcess caus pain seem like ear  axillari lymph node chest arm pit  would swollen due abcess tooth  need see dentist abcess tooth  swollen axillari lymph node  need see medic doctor asap 1419,chikenpox caus swollen lymph node behind ear 1419,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 1419,chickenpox
1420,would vari depend extent infect  typic extract thorough debrid socket  one would like wait 46 week reentri bone graft place implant  treat dentist would make best recommend base situat  hope help 1420,feel someth poke insid gum 2 week get tooth extract  could bone form 1420,nan 1420,tooth extract
1421,need evalu pain may indic adjac segment problem c56 would typic radiat hand  thumb index finger  may need addit imag check  occur approxim 25% patient cervic fusion 10 year 1421,laproscop gall bladder surgeri 6 day ago pain right side shoulder kidney area  especi breath    concern 1421,backach  spinal fusion  spinal surgeri  neck pain  fusion neck vertebra 1421,surgeri  laparoscopi  bladder surgeri  bladder
1422,depend usual pregnant classic symptom urinari tract infect  dont need urin cultur  take simpl antibiot three day  pregnant  howev  urin cultur obtain prior initi antibiotc  also repeat urin cultur finish antibiot make sure infect gone 1422,bloodwork wbc high urin test epitheli cell mani luek esteras small blood moder kidney stone uti wbc high concern 20 yr old 1422,contracept  nutrit  safeti 1422,urinari tract infect  urin  white blood cell
1423,cough fever time see doctor  call immedi get appoint go urgent care center 1423,ear infect itchi ear  pop ear blow nose much   also runni stuffi nose itchi nose  symptom 1423,nan 1423,ear infect  stuf nose  eustachian tube dysfunct  ear pop  otiti media
1424,strep throat see physician tx antibiot magic mouthwash prescript may help necessari 1424,got remov wisdom tooth remov 7 day infect  took augmentin 7 day  still teeth infect  ear pain  thank 1424,snore  sleep apnea  cosmet dentistri  dental laser  periodont scaler  er:yag laser 1424,earach  tooth extract  augmentin  amoxicillin clavulan
1425,vitamin c help wound heal cant fight bacteria  tooth abscess suggest root canal extract  see dentist definit treatment 1425,home remedi help tooth infect along antibiot provid dentist salt water mouth wash  thank 1425,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 1425,periodont  antibiot
1426,dentistri obvious either antibiot would expect work mouth infect    cannot get way infect tissu surgic intervent would requir 1426,antibiot good tooth infect augmentin amoxicillin knowledg see dentist soon 1426,exercis  lose weight  stress  supplement  ulcer  age grace  diabet type 2  migrain headach  white cell count  oxygen  suboxon  intern medicin  suboxon withdraw  opiat withdraw  medic  pharmacolog 1426,periodont  antibiot  augmentin  amoxil  amoxicillin clavulan  amoxicillin
1427,septoplasti septal spur common find  surgeon equip manag issu 1427,swollen right supraclavicular node 2 month  gyno said go ent biopsi general dr order neck ct scan  ct ent 1427,deviat nasal septum  facelift  septoplasti  facial plastic surgeri  botox  ent head neck surgeri  dermal filler  deviat septum surgeri  eye lift  neck lift  brow lift  mini lift  revis rhinoplasti  constip  rhinoplasti  rhinoplasti  asian american health  asian eyelid surgeri  blepharoplasti 1427,ent head neck surgeri  ear nose throat  ct scan  ct neck  comput tomographi  biopsi
1428,thing athlet foot caus fungus topic medicin need effect make better 1428,itchi rash look like littl ant bite  7 day  thought poison ivi  noth help  scab scratch 1428,wound heal  negat pressur wound therapi devic  diabet foot  broken foot  foot surgeri 1428,rash  skin rash  itchi rash  toxicodendron dermat  poison ivi  scratch  ant bite
1429,tri condom vagin vault could dri rub would result itch burn  semen may trigger alter vagina   chemistri  possibl trigger lower immun resist  douch  birth control pill  antibiot  cut  abras  vagin irrit friction intercours  finger fingernail  tampon  might tri lubric condom 1429,treat chlamydia  symptom  result came back trace left  treat  burn w pee   itch irrit 1429,exercis 1429,chlamydia infect  micturit  chlamydia trachomati   urin
1430,possibl woman regular period  caus late period include: excess weight loss weight gain  increas exercis  emot stress  ill  travel  medicin like birth control pill  hormon imbal  etc    see doctor good idea symptom persist  recur  worrisom  pregnanc common caus miss period  sexual activ 1430,miss period  frequent urin white discharg negat pregnanc test  could problem 1430,children health  vaccin 1430,frequent urin  miss period  polyuria  pregnanc  pregnanc test  micturit  urin
1431,tri condom vagin vault could dri rub would result itch burn  semen may trigger alter vagina   chemistri  possibl trigger lower immun resist  douch  birth control pill  antibiot  cut  abras  vagin irrit friction intercours  finger fingernail  tampon  might tri lubric condom 1431,sex boyfriend use protect vagina itch insid  also use finger  could allerg condom 1431,exercis 1431,sex  condom
1432,herp realli substitut pelvic exam std test case  herp usual hurt  doesnt itch  sound like might gace one thing go  sex figur get treat  wish best 1432,slight larg bump around size penni nickel inner thigh crotch region sore  touch kind hard  origin though ingrown hair start grow larger dint go away 1432,diabet  heart attack  irregular menstrual period  home pregnanc test  integr medicin  irregular bleed  testosteron  gluten free diet  improv mental health  babi care  fibromyalgia  cough  sleep  yeast infect  testoderm  stroke  nutrit  glucos  supplement  vitamin 1432,ingrown hair  nickel blood level  tactil
1433,viral ill either common cold influenza  latter  might benefit treat oseltamivir  see doctor get specif diagnosi  could take otc med treat symptom  stay home  rest  drink lot fluid hope better soon  best wish 1433,hi sinus infect two week bad headach congest  gone morn wake throat hurt still mucus cough  caus thank 1433,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 1433,throat pain  sore throat  sinus  headach  cough
1434,c md cultur yes may strep throat  see physician health center throat cultur 1434,daughter test posit mono yesterday  long sinc contract virus   doesnt seem b over tire sore throat swollen gland 1434,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 1434,sore throat  throat pain  swollen gland  enlarg lymph node  mono  virus  enlarg gland
1435,jaw pain im sure question  sinc pain  especi ongo problem gone away year  logic smart approach would see dentist evalu need remov problemat wisdom tooth make sure dental problem requir treatment 1435,3 day ago bad tooth pain gum gone white   chill sweat appetit throb jaw feel sick fast heart white line cheek 1435,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1435,appetit  dental pain  tooth pain  oral surgeri  oral maxillofaci surgeri
1436,possibl could std  also possibl bacteri vaginosi yeast infect  neither sexual transmit  great thing get doc evalu  treatment differ differ caus 1436,diagnos chlamydia 9 day ago took azithromycin 4 pill  never odor  itch burn slight increas discharg that went got check  anyway  took nine day ago discharg 1436,child health  vaccin  autism  autism spectrum disord  pediatr  sid  foster care  fever  age grace  immun  babi hiccup 1436,gonorrhea  trichomona  chlamydia infect  vagin discharg  zithromax  yeast  z pak  tri pak  chlamydia trachomati   candida
1437,fibroadenoma benign tumor cannot becom malign  rare type local aggress within breast  call phyllod tumor  type fibroadenoma  would recommend surgic remov  otherwis  fibroadenoma left breast diagnosi establish  provid larg pain 1437,new tini lump scar breast cancer surgeri  recurr 1437,cancer  breast cancer  hernia  laparoscop surgeri  mammogram  gallston  abdomin pain  breast lump  append  inguin hernia  mastectomi  gallbladd diseas 1437,breast cancer  scar  breast carcinoma  cancer  surgeri  breast surgeon  femal health  breast surgeri  dermatolog  follicl
1438,fine antibiot dose fine  pain medic ok  ibuprophen exceed 3200 mg per day  codein exceed 8 24 hour  ibuprophen antiiinflammatori address soft tissu swell inflamm allow comfort muscl dont tens aggrav discomfort  drop codein soon 1438,4 teeth extract yesterday prescrib ibuprofen 600mg n vicodin take one time 1438,botox  sleep apnea  endodont  dental implant  cerec 1438,vicodin  rufen  nuprin  motrin  ibuprofen  hydrocodon acetaminophen  advil
1439,perimenopaus 48 woman miss period 34 day negat pregnanc test likelihood approach menopaus  may want prepar extend menstrual period 2  3 week next time come period  may prudent consult gynecologist discuss hormon medic may help regul cycl 1439,hey im 18 year old sexual activ   use form birth control   normal take emerg contracept   start bleed two week period 1439,ovul  contracept  oral contracept  sonogram  levonorgestrel 1439,menstrual period  menstrual cycl  emerg contracept  contracept  birth control
1440,definit present sound like bacteri  howev either produc pus tonsil symptom describ  would get seen dr urgent care rapid strep test done sure need antibiot 1440,100102 fever day  2 day later develop pain throat minor swell tonsil  symptom  strep tonsil 1440,health educ  sex educ  emerg medic care  women health  men health  child health  blood donat  sexual transmit infect  healthi pregnanc  educ  diabet  cough  supplement  dizzi  numb  vitamin supplement  diabet type 2  vertigo  emerg rescu 1440,fever  strep throat  throat pain  sore throat  tonsil  throat cultur  treat tonsil
1441,test today pregnanc health issu game like bet guess  diagnos right evalu  test  examin  think could pregnant must get pregnanc test complet 1441,2 day late period  white discharg  littl cramp  sore nippl  acid reflux act  pregnant 1441,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 1441,reflux  sore nippl  pregnanc  sex  menstrual period  menstrual cycl  acid reflux
1442,health anxieti yore way feel better doctor examin  found physic health problem  know health anxieti explain concern  need treatment anxieti  good psychotherapist psychiatrist help time  medic may help  also talk  develop certain anxieti manag skill help  ask dr  referr 1442,20 yr old male  suffer  anxieti  occasion heart flutter feel  common  sport game  ekg  ok 1442,nan 1442,feel anxious  electrocardiogram  anxieti
1443,sound like hive sound like urticaria hive agre probabl allergi preserv beer wine possibl sulfit  happen tri take overthecount antihistamin like benedryl zyrtec  also consid see allergist allergi test  unfortun may difficult find beer wine complet sulfitefre 1443,treat inflam poison ivi entir bodi cover warm rais rash pain itchi cant sleep without wake itch 1443,skin cancer  psoriasi  skin lesion 1443,skin rash  rash  toxicodendron dermat  rais rash  sleep  poison ivi
1444,get check see doctor dentist evalu  symptom could mani caus  dental medic issu overlap symptom 1444,uncompens labyrinth  pressur slight dizzi head  kind weird vision like eye strain   normal symptom 1444,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 1444,dizzi  otiti interna  labyrinth  vertigo  vision
