0,nasal septal perf alreadi issu nasal septum put risk develop septal perfor  use salin nasal spray necessarili prevent perfor occur  done alreadi  see ent evalu treatment caus  may prevent perfor 0,use salt water nasal spray help prevent develop perfor septum 0,tonsillectomi adenoidectomi  xeomin  chemic laser treatment melasma  sleep disturb childhood 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1457,watch would monitor  clean discharg cool water vs  warm  warm water increas red make look like pink eye  persist 34 day follow pediatrician 1457,4 yr old fever normal behavior yellowish eye drainag nasal congest  antibiot let immun system work 1457,emerg medic care 1457,congest nose  fever  stuf nose  immun diseas  block nose  pink eye  oxymetazolin  conjunct  pediatr  antibiot
1458,famili pract chest pain rapid hr probabl need seen  rest ekg isnt 100 percent  need stress test possibl test play 1458,play volleybal tonight  hr got around 180  chest pain left breast 5min  ekg yesterday came fine  go er 1458,pain back  inhal 1458,chest pain  stress  chest tight  chest pressur  angina  electrocardiogram  femal health  stress test
1459,better see dentist asap> 1459,3 day taken  12 paracetamol  16 ibuprofen  16 codein 12 amoxicillin tabl  due abscess tooth  ok 1459,back pain  pain back  surgeri  migrain  acetaminophen  knee pain  advil  hydrocodon acetaminophen  nuprin  sciatica  rufen  tylenol  migrain headach  alev  neck pain  naprosyn  naprelan  anaprox  neuropathi  meloxicam 1459,abscess  ibuprofen  rufen  nuprin  motrin  dentistri  amoxil  amoxicillin  advil  acetaminophen
1460,muscl may muscl strain  see get better safe take ibuprofen 1460,pain upper left side rib cage left breast  mammogram  xray  ct scan  colonoscopi urin fine  help 1460,mechan ventil 1460,muscl strain  ibuprofen  nuprin  rufen  motrin  pain medicin  advil  urin  mammogram  ct scan
1461,see doctor asap bp high see doctor asap 1461,weigh 264 25yr  old feel tingl head hand feet check blood pressur its160 110  could sinus  wat 1461,diabet  women health  hyperlipidemia  hypertens 1461,tingl  blood pressur
1462,dump syndrom absolut agre ibd highest prob  also think dump syndrom  soon gb remov  tend occur eat  call dump  ur bodi still releas enzym nrmli control gb  wo go  yes u need see ur dr possible: bacteria  worm hormon hyperthyroid  addison  autoimmceliac  best luck 1462,sever month terribl abdomin pain  yellow  slimi liquid stoolbut never feel like empti complet gallbl  app 1462,abdomin discomfort  sore throat  cancer  hcg level  anxieti  healthi pregnanc  difficulti swallow  women health  escherichia coli  diflucan  brain tumor  vertigo  nausea  educ 1462,abdomin discomfort  abdomin pain  overact thyroid  dump syndrom  inflammatori bowel diseas  hyperthyroid  celiac diseas  belli pain  bacteria  fece
1463,clinic evalu  look dentist ent right away  could simpl  could also serious infect  unfortun  difficult pinpoint without actual see 1463,left jaw sore well left side throat ear 1463,dental care  oral health  dental pain  dental health 1463,jaw pain  dentistri  ent head neck surgeri
1464,go  relat  treatment cpap machin other list  care direct someon train sleep disord  copd lung diseas relat sleep apnea  togeth  difficult 1464,sleep apnea relat copd asthma effect treatment someon sleep apnea copd  cpap  bipap  pillow 1464,vasectomi  men health 1464,sleep disord  snore  sleep disturb  asthma  lung diseas  sleep apnea  apnea  sleep  snore  copd
1465,caus rx usual caus push stool  increas fiber diet caus normal bms without push  wouldtri 1465,reason anal fissur progress pile hemmorridseven patient have reular fiber diet good intak water 1465,anal fissur  carcinoid  rectal cancer 1465,fece  hemorrhoid  fiber  diet  anal fissur
1466,neither condit problem  get medic clearanc famili doctor make sure  order blood test  ekg  possibl chest xray  also physic make sure healthi  good luck procedur 1466,could mild case mitral valv prolaps caus prevent lower face lift white coat hypertens 1466,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 1466,high blood pressur  mitral valv prolaps  white coat hypertens  mvp  xray chest  valv  lower face lift  hypertens  hypertens  electrocardiogram
1467,patellofemor pain usual pain knee cap patellofemor pain  could due soften fray cartilag behind knee cap knee cap doesnt track well groov  evalu physician usual physic therapi improv symptom 1467,knee crack bend get floor  feel like theyr disloc  sometim cant walk  know what wrong 1467,shoulder arthroscopi  acl reconstruct  rotat cuff repair  knee arthroscopi  sport medicin 1467,knee pain  physiotherapi  physic therapi  cartilag  gait
1468,hemangioma sound like could hemangioma  long bleed alot squeez open 1468,pea size bump upper inner thigh  look purpl bruis somewhat squishi  pop fill bright red blood 1468,exercis  endometriosi  physic fit  dermatolog 1468,red skin  rais red skin lesion  hemangioma
1469,big toe condit known hallux limitus  caus first joint arthriti foot  walk pressur translat big toe irrit caus pressur nerv pass along side toe  see podiatrist xray diagnosi  treatment condit vari  orthot help may need surgeri 1469,walk lot foot start hurtingund big toe side near arch foot walk  doesnt hurt touch also throb night 1469,foot surgeri  foot deform  sport medicin  foot ulcer  diabet foot 1469,arthriti  pain joint  orthot  podiatri  nerv  surgeri  gait
1470,elbow pain could ulnar neuropathycubit tunnel syndrom  irrit inflamm ulnar nerv pass within cubit tunnel elbow caus medial elbow pain  tingl sensat forearm hand weak muscl hand  medial epicondyl golfer elbow also caus inner elbow medial elbow pain  consult physiatrist 1470,sever pain ulnar side elbow   could attribut psoriat arthriti 1470,arthriti  musculoskelet condit  neuropath pain  spine pain 1470,arthriti  pain joint  asthenia  elbow pain  inflamm  epicondyl  neuropathi  cubit tunnel syndrom  psoriasi  tingl
1471,pain plantar fasciiti result pain lot place  feet  could also osteoarthr weight bear joint  see podiatrist  orthot help plantar fasciiti 95% time practic  might help area well get thing align   good luck 1471,pain hip   knee   ankl feet   could b caus blood test came back clear  doctor say plantar fasciiti 1471,surgeri  orthot  co2 laser  co2 laser  fungal nail infect  foot surgeri  orthot 1471,podiatri  osteoarthr  orthot  plantar fasciiti
1472,possibl possibl  common howev  rais possibl radiograph find someth mucus retent cyst  see ent doc evalu 1472,headach  facial pain 6 month  left side  mri reveal larg mucus retent cyst right side  link 1472,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 1472,headach  facial pain  magnet reson imag  mri  facial  ent head neck surgeri
1473,need evalu pain may indic adjac segment problem c56 would typic radiat hand  thumb index finger  may need addit imag check  occur approxim 25% patient cervic fusion 10 year 1473,sever pain neck shoulder rum right arm hand  start left side  c4  c5 neck surgeri 1473,backach  spinal fusion  spinal surgeri  neck pain  fusion neck vertebra 1473,nerv  laparoscop surgeri  surgeri  neck surgeri  c5
1474,sinus communic descript sound descript ororantr fistula  communic maxillari sinus wisdom tooth extract site  6 week postop  need evalu surgeon determin cours action necessari repair communic 1474,follow wisdom teeth remov 6 week later gum heel snot comin wisdom extract site also foul odor lean forward 1474,wisdom tooth extract 1474,fistula  wisdom tooth extract  wisdom teeth  tooth extract
1475,see om ent need see om ent area evalu 1475,get lot neck pain headach  pass tmj  went get neck massag found lump behind ear neck could 1475,wisdom tooth extract  lockjaw  exercis  ulcer  aphthous stomat  stress less  headach  migrain  tooth abscess  protrud jaw  dri mouth  dental implant  dental abscess  cosmet surgeri  tooth extractor  reconstruct surgeri 1475,headach  neck pain  tmj syndrom  massag  ent head neck surgeri
1476,breast cancer sound like breast cancer like mastiti  infect  uncommon breast feed  see physician confirm 1476,inflammatori breast cancer look like 4mm circular sore that month new skin grow top im nurs 1476,coliti  crohn diseas  abdomin pain  intestin diseas  breast diseas 1476,tender swollen lump breast  breast carcinoma  breast cancer  cancer  inflammatori breast cancer  femal health  feed  mastiti  breastfeed
1477,tear dont heal pain may improv  torn meniscus doesnt heal slick move danc floor probabl flare thing  tri give coupl week rest  ice  nsaid previous diagnos hurt may need someth  see doc pain continu 1477,diagnos torn meniscus last year itsettl without surgeri  went danc last night nowth left side left knee hurt  could reason 1477,rotat cuff repair  shoulder injuri  rotat cuff tear  shoulder arthroplasti  total shoulder joint replac  ultrasound shoulder 1477,torn meniscus  nsaid  surgeri  danc
1478,yes procedur caus pain swell peopl longer other  patient heal fine 1478,still pain molar extract bone graft  os say sign infect dri socket  pain normal 1478,cosmet dentistri  dental implant 1478,dri socket  graft  tooth extract  bone graft
1479,ankl sprain recoveri  mild sprain take 13 week  moder sprain 26 week  sever sprain take sever month recov  would better see doctor sure well recommend appropri treatment  xray exclud injuri includ fractur bone avuls 1479,roll ankl play soccer yesterday  today still realli pain move walk  red  swollen  get check 1479,nan 1479,sprain  gait
1480,see doc one two possibl  one pregnant  second dc complet remov tissu uterus give posit pregnanc test  see ob gyn asap 1480,dc 7 week ago  got negat pregnanc test 11 day  got 1st period last 4 day 12 day ago  get 5 posit test clear blue say 23 week sinc concept confus 1480,femal health  healthi pregnanc  ovul  child health  polycyst ovarian syndrom  male health  ivf pregnanc  fertil  intraven fluid  get pregnant  mens  tri conceiv  fertil treatment  clomid  intrauterin insemin  surgeri  femal infertil  artifici insemin 1480,obstetr gynecolog  obstetr  healthi pregnanc  pregnanc test  pregnanc  mental confus  get pregnant  femal health
1481,could neck doctor check neck problem press nerv go shoulder arm  could also come muscl spasm upper shoulder 1481,ive pain left shoulder upper back 3 week  also  pain left upper arm  tingl numb  massag help   idea 1481,diabet risk  hepat  hav 1481,muscl spasm  numb  tingl  massag  charley hors  nerv
1482,trust dr  peopl dont experi full side effect drug  symptom improv perhap dr lower dose  read websit tip ra  bless u: 1482,afraid start methotrex ra  cant fulli close right hand   dont want lose hair   diagnos 5 month ago 1482,nan 1482,rheumatoid arthriti  ra  rheumatrex  methotrex
1483,see increas risk develop psoriat arthriti psoriasi depend studi look  10 40% patient psoriasi develop psoriat arthriti 1483,psoriasi mean psoriat arthriti arthriti 1483,rheumatoid arthriti  autoimmun diseas  rheumatolog  sjogren syndrom  psoriat arthriti  lupus 1483,arthriti  pain joint  psoriasi  psoriat arthriti
1484,prevent measur way avoid post oper constip includ drink plenti water daili  take fiber supplement keep stool form soft  use pain medic spare  use stool soften need  remain activ least walk daili 1484,parathyroid surgeri tomw  someon still heal anal fissur  biggest concern postop constip  hint 1484,cancer  surgeri  anal fissur  lipoma  breast cancer  hemorrhoid  femal health  breast carcinoma  hernia  burn  verruca  breast tender  mole remov  breast ach  gi surgeri  paronychia  treat genit wart  std prevent  fleet enema  sodium bisphosph 1484,constip  surgeri  anal fissur  treat constip
1485,self medic sever antibiot use infect head neck  far mani patient tri use leftov medic get  inhibit bodi abil respond medic futur  see dentist infect complet round antibiot regardless good may feel three four day 1485,antibiot exampl antibiot  could cure infect gumswisdom tooth best friend 1485,pediatr dentistri 1485,dentistri  antibiot
1486,yes soft tissu trigger point tender  chronic fatigu disrupt sleep may fm  see rheumatologist event proper diagnosi 1486,ra test negat emg nerv test negat also pain neck shpulder blade elbow wrist knee ankl could possibl fibromyalgia 1486,arthriti  fibromyalgia  rheumatoid arthriti  osteoarthr  vascul 1486,fatigu  fibromyalgia  lethargi  chronic fatigu  ra  rheumatoid arthriti  rheumatolog  nerv  sleep
1487,menisci poor heal menisci rare heal adult torn  poor blood suppli frequent requir surgeri heal  look arthroscop partial meniscectomi  continu exercis go see orthoped surgeon 1487,twist right knee ankl 7 26 12  mri 4 29 13  birth son  mri show injuri meniscus  pain worsen physicaltherapi next 1487,sprain  broken bone  physic therapi  bulg disk  exercis  child health  physiotherapi  muscl pain  sleep  splint  sprain strain  wrist fractur  irrit  abdomin discomfort  paresthesia  leg pain  abdomin pain  lose weight  knee swell  mrsa 1487,surgeri  orthoped surgeri  exercis  arthroscopi  placenta  physiotherapi  physic therapi  mri  magnet reson imag
1488,sinus perfor appar remov cyst abd impact molar sinus got perfor   see blood blow nose   check oral surgeon perform surgeri follow   pleas explain direct deal  situat uncommon happen mani time 1488,impact wisdom tooth@cyst upper 5dys ago gen anesthet spitin blood think comin nostril blowin nose showin blood u advic pleas x 1488,surgeri  sore throat  tmj syndrom 1488,surgeri  oral maxillofaci surgeri  nostril  anesthet
1489,symptom mr ms diagnos base combin symptom  lab  mr  criteria use make diagnosi found here: http:  en  wikipedia org wiki mcdonald_criteria bottom line often diagnos ms base symptom  symptom enough diagnos look lab valu imag  u find neurologist ms 1489,definit least expens test ms look new doctor follow use second mri  specif question thati ask new doctor 1489,multipl sclerosi  cancer  blood urin  urinari bleed  urin look like blood  ct scan 1489,multipl sclerosi  neurolog  imag  mri  magnet reson imag
1490,infect didnt give prescript rins  tri warm saltwat  1tsp salt 8oz cup warm water  may need see oral surgeon evalu  go immedi 1490,tooth extract dental bone graft  three week ago  one cours amoxicillin 36 hoursof take augmentin  swell  pain  stench andooz site  doctor lanc squeez 24hour ago 1490,root canal  cosmet dentistri  dental care  teeth whiten  cari  dental abscess  abscess  tooth pain  gum diseas  tooth abscess  tmj syndrom  dentistri  dental health  dental cari  dental implant  dental clean  porcelain veneer  bad breath  gum 1490,sodium  oral maxillofaci surgeri  graft  bone graft  augmentin  amoxicillin clavulan  amoxicillin
1491,unlik see doc pleas see doctor  given age gender  breast cancer extrem unlik  howev  need find 1491,im 17 year old male littl lump left nippl  hurt littl appli pressur  male breast cancer 1491,cancer  ct scan  pet scan  femal health  child health  breast cancer  hida scan  breast carcinoma  healthi pregnanc  mri scan  back pain  lung nodul  bone scan  nuclear medicin  nuclear scan  patient communic 1491,breast cancer  breast carcinoma  cancer  male breast cancer
1492,angioma mani differ type angioma  angioma benign tumor consist small blood vessel  tumor locat anywher bodi  differ type include: spider angioma  cherri angioma  senil angioma 1492,notic small red dot sudden apper arm upper chest neck area  hurt itchi  pale skin 1492,nan 1492,spider vein  benign tumor  neoplasm  angioma  cancer  spider angioma
1493,look elsewher seem hung cardiac caus havent said anyth consult gastroenterologist look esophagus  esophag spasm mimic angina even get better nitroglycerin  also consid whether anxieti panic attack 1493,im 21 problem anginalik pain mylif  recent  start get palpit breathless  ekg  holter  echo  blood cardiac ct angiogram done  left base uncov 1493,uterin fibroid  blood clot leg  deep venous thrombosi  pulmonari embol  blood clot lung  peripher arteri diseas  cta kidney 1493,feel anxious  chest pain  breathless  esophag spasm  angina  panic attack  gastroenterolog  nitrol  nitroglyn  nitroglycerin
1494,dont worri amt xray almost noth  similar air travel assum dont worri get cancer  one ct scan abdomen bone scan equival 7 year normal life us  amt radiat sun cosmic ray time  radiat imag level never shown caus cancer 1494,four xray chest  one ct abdomenand one bone scan  worri whether increas chanc develop cancer radiat 1494,ct scan  roentgen ray  fetal ultrasound  comput tomographi  mri  ultrasound 1494,cancer  irradi  ct scan  radioact  imag  gamma ray  ct abdomen  comput tomographi  travel  bone scan
1495,would follow postop instruct  would assum dentist oral surgeon recommend soft food drink straw  chew gum breath mint probabl real good idea 1495,ok chew gum  eat breath mint  use mouthwash wisdom teeth extract 1495,tmj syndrom  sleep  headach  dentistri  tooth pain  sleep apnea  exercis  vitamin supplement  dental care  eat healthier  root canal  apnea  dizzi  hypothyroid  numb  exercis  manag tmj  snore  gum diseas  dental cari 1495,wisdom teeth  tooth extract  mouthwash
1496,yes   possibl cousin situat unfortun  cancer breast 20s uncommon   cancer age except  lesion  tumor  felt clinic examin   possibl see mammogram   mri  suspici area   final diagnosi made biopsi histolog examin pathologist 1496,normal clinic breast exam   mri show cancer often happen  cousin cancer late 20s 1496,cancer  hernia  hemorrhoid  wart 1496,cancer  mri breast  digit mammogram  mammogram  mri breast contrast  ultrasound breast  mri  magnet reson imag  femal health  biopsi
1497,hard say realli possibl make diagnosi without exam  abdomin symptom  best seen doctor last day  could virus food poison  resolv quick 1497,past two day  burn stomach pain loos wateri stool get low grade temperatur night  intestin cramp  could ulcer  ib virus 1497,healthi cook 1497,stomach pain  ulcer  irrit bowel syndrom  stomach discomfort  nutrit  virus  food poison  intestin  gastrointestin pain  fece
1498,hmmmm yod cancer liver  lung  spleen  advic talk oncologist improv qualiti life rather improv tumor marker  know  chemo agent well toler peopl 1498,liver cancer stage 4   lung cancer spleen cancer cirrhosi hep c  take chemotherapi treatment reduc tumor maker 1498,hernia  cancer  breast cancer  surgeri  inguin hernia  hiatal hernia  exercis  gallston  laparoscop surgeri  diverticul  egd  skin cancer  melanoma  gi cancer 1498,hepat c  cirrhosi liver  neoplasm  hep c  cancer  liver cancer  lung cancer  qualiti life  medic oncolog  chemotherapi
1499,see doctor pleas typic dvt caus discomfort rest activ  symptom dvt vagu good idea get check doctor possibl ultrasound  howev  muscl strain intern injuri knee like caus  see doctor hope resolv quick 1499,29 f   pain behind knee walk type exercis   way month   pain calf start today  dvt  n bc 1499,vein  varicos vein  exercis  eat healthier  spider vein  lymphedema  spider angioma  varicos vein leg  sclerotherapi  venous insuffici  liposuct  phlebiti  venous stasi  skincar  prevent wrinkl  superfici thrombophleb  laserl liposuct 1499,muscl strain  knee pain  blood clot leg  deep venous thrombosi  exercis  sonogram
1500,strep throat see physician tx antibiot magic mouthwash prescript may help necessari 1500,wisdom teeth extract monday impact remov one   strep throat  sooth pain asap 1500,snore  sleep apnea  cosmet dentistri  dental laser  periodont scaler  er:yag laser 1500,strep throat  streptococc infect  wisdom teeth  antibiot  tooth extract  magic mouthwash  mouthwash
1501,possibl could affect inr point  effect might see would stabl  dr  wright said  check inr wouldnt bad idea  thing take pain probabl better idea alev also take warfarin dr  niazi said  also use compress stock  alreadi 1501,im take 2 5 warfarin daili clot disord  past week taken 2 alev daili leg pain dvt  affect inr 1501,vein  varicos vein  deep venous thrombosi  venous insuffici  spider vein  varicos vein leg  blood clot leg  sclerotherapi  lymphedema  spider angioma  coumadin  venous stasi  phlebiti  laser ablat  telangiectasia 1501,leg pain  clot disord  blood clot leg  deep venous thrombosi  inr  naproxen  thrombus  coumadin  warfarin  wear compress stock
1502,consid ur option mention school  may still age group untreat strep produc rheumat fever month road  make rest ur life miser  cost bunch est 1 200 untreat strep risk ~1 3 sore throat strep  ~1 600 risk take number  may altern seek care ur pocket  look  good luck 1502,woke sore throat  headach fever  strep throat go around st school  realli money go doctor  anythin 1502,child health  chickenpox  ear infect  sleep hygien  learn disord 1502,fever  throat pain  sore throat  headach  strep throat  streptococc infect  rheumat fever  expos strep throat  headach fever
1503,runni nose normal sever pain septum may indic presenc infect  see surgeon asap 1503,got splint taken rhinoplasti septoplasti  normal constant runni nose septum hurt realli bad 1503,scar  facelift  cosmet surgeri  scar  eyelid surgeri  keloid  breast implant  gynecomastia  hand surgeri  scar revis  tummi tuck 1503,rhiniti  runni nose  septoplasti  rhinoplasti  splint
1504,doctor er need full work blood work  physic exam possibl sever type imag brain  suppli blood vessel heart  lot possibl mani could quit serious  realli cant speak slur word dizzi get er 1504,medic  tremor head hand leg month  constant dizzi troubl speak  also hair loss  idea 1504,stay healthi  autism spectrum disord  gastrointestin disturb  healthi live 1504,bald  dizzi  tremor  speech difficulti  hair loss  vertigo  imag
1505,like blood test pregnanc negat miss period  like pregnant  pleas follow doctor advic 1505,period 3month  pregnant symptom  neg blood test  dr say get ultrasound ovarian cyst  possibl still pregnant 1505,cancer  nutrit  cervic cancer  ovarian cancer 1505,miss period  ovarian cyst  pregnanc  sonogram  femal health
1506,take test want know pregnant  take test  today world need wonder pregnant base symptom  pregnanc test avail pharmaci minut answer  detect pregnanc 710 day concept  best time take one miss period 1506,period 5 day late day 42  headach  cramp  pink spot faint bfp turn alway bfn  bbt chart crazi  tend low  could pregnant 1506,contracept  hysterectomi  sexual transmit diseas  urinari incontin  menorrhagia  teen pregnanc  endometri ablat  high risk pregnanc  hysteroscopi  essur 1506,headach  femal health  get pregnant  pregnanc  menstrual period
1507,yeast infect mycolog ii antifung use yeast infect  treatment fail reliev symptom  may bv bacteri vaginosi usual treat flagyl pill gel cleocin cream  see doc symptom persist exam test 1507,mycolog ii cream cure yeast infect bacteri vaginosi 1507,femal health  healthi pregnanc  mens  contracept  intrauterin devic  sonogram  normal childbirth  bleed  surgeri  repeat ultrasound  laparoscop surgeri  cesarean section  diabet  pap smear  hysteroscopi  high risk pregnanc  cervic biopsi use loop electrosurg excis procedur  diabet onset pregnanc  femal steril surgeri 1507,yeast infect  bacteri infect vagina  mycolog ii  yeast  clindamycin phosphat  flagyl  cleocin  metronidazol  nystatin triamcinolon
1508,see antiphospholipid antibodi clot antibodi seen various autoimmun diseas ms creat small lesion mimic ms mri  easili test doctor 1508,mri w contrast brain show lesion  symptom ms includ diplopia  could anoth autoimmun diseas ms 1508,rheumatoid arthriti  autoimmun diseas  rheumatolog  sjogren syndrom  psoriat arthriti  lupus 1508,autoimmun diseas  doubl vision  multipl sclerosi  mri  magnet reson imag  antibodi  thrombus
1509,unlik cancer symptom sound like gastroesophag reflux diseas gerd  heartburn  nexium work partial  may tri increas dose doubl  chang diet bit  reduc spici food caus acid condit  alcohol  tomato product  caffein  chocol  avoid eat 3 hour bedtim  symptom still persist  see gastroenterologist 1509,burp reflux excess sever month  nexium reduc acid  burp  burn stomach pain meal  negat h pylori  22 year old male  terrifi stomach cancer 1509,viral hepat  liver cancer  liver transplant  transplant donat  immunolog 1509,belch  indigest  heartburn  reflux  stomach pain  helicobact pylori  stomach discomfort  cancer  gi cancer  stomach cancer
1510,achill type symptom consist achill tendon  multipl effect treatment type condit  treatment plan may includ antiinflammatori medic stretch  sometim these symptom may also present plantar fasciiti 1510,leg hurt side long foot feel tight  hurt walk pain side umder calf dwn side foot side ankel 1510,plantar fasciiti  bunion remov  venous insuffici  foot health 1510,tendon  achill tendon  antiinflammatori  plantar fasciiti  gait
1511,probabl best total colon remov leav diseas colon place would keep futur risk colon cancer futur  would need frequent colonoscopi  get coliti medic surgeri  best see colon rectal surgeri specialist  mayb univers  extens experi ileoan pouch surgeri 1511,ulcer coliti 13 year  recent colonoscopi show cancer tumor right side colon  go full partial colon remov 1511,cancer  hernia  breast cancer  laparoscop surgeri  surgeri  breast carcinoma  gallston  colon cancer  inguin hernia  abdomin pain  diverticul  gi cancer  abdomin surgeri  laparoscop gallbladd remov 1511,coliti  neoplasm  ulcer coliti  cancer  colonoscopi  colon  colectomi  surgeri
1512,bppv stand benign paraxism posit vertigo  accompani nystagmus  30 year practic everi adult onset nystagmus saw  referr ent diagnosi  sinc mani associ menier diseas dr  bensing well describ ent miss bppv  far common caus adult vertigo induc nystagmus bppv 1512,give advic ent  vertigo nystagmus ive 3 doctor  perfect mri perfect blood work  ent send neuro vestib rhb  could wrong 1512,migrain headach  strabismus  refract surgeri  retin disord  corneal transplant 1512,dizzi  benign posit vertigo  nystagmus  magnet reson imag  vertigo  ent head neck surgeri  mri
1513,excis tumo small dcis easili manag simpl excis follow radiotherapi involv breast  tamoxifen recommend post oper adjuv oral therapi taken 5 year  find invas cancer compon tumor 1513,would usual treatment breast cancer 5mm dcis 1mm foci grade 3 1513,breast cancer  oncolog  malign melanoma 1513,breast cancer  neoplasm  breast carcinoma  cancer  intraduct carcinoma  radiat oncolog  tamoxifen
1514,normal sound like mammogram report  detect mass mammogram easi women whose breast tissu replac various proport fatti tissu  happen age  denser breast mean less fatti tissu fibroglandular tissu  common younger women  older women take hormon  mass easier seen breast dens 1514,anyon tell mean pleasebreast tissu heterogen dens  may obscur detect small mass 1514,femal health  sexual transmit diseas  sexual transmit infect  depo provera  ovul  nexplanon  intrauterin devic  bleed  artifici insemin  contracept  mens  ten  healthi pregnanc  muscl strain  muscl pain  infertil  cough  embryo transfer  uterin fibroid  fertil 1514,fibromyalgia  hormon  mammogram
1515,supplement caus constip  even contain iron  iron supplement caus constip 1515,iron supplement take wont make constip 1515,children health  depress  child allergi  autism  autism spectrum disord  antibiot 1515,constip  supplement  iron  iron supplement  iron blood level
1516,ice ice brace first line treatment  ice  rest brace  antiinflammatori med help decreas swell pain  take 34 week ligament heal  continu hurt 12 week  see physician xray exam case may damag ankl knee sever first thought  hope help 1516,play golf step hole twist ankl knee pop  hard walk littl pain 1516,surgeri  ankl sprain  exercis  arthriti  total ankl replac  swollen ball foot 1516,ankl sprain  golf  antiinflammatori  gait  brace
1517,yes yes  bacteria activ immun system lymph node swell increas product white blood cell fight infect  pleas get infect taken care 1517,untreat ear infect tooth abcess sinus infect gum diseas caus lymph node left supraclavicular possibl 1517,root canal  dri mouth  cosmet dentistri  esthet dentistri  emerg dentistri  crowd teeth 1517,gum diseas  ear infect  sinus  abscess  immun diseas  gingiv  bacteria  otiti media
1518,mayb gene mutat brca1 brca2 run famili increas risk breast ovarian cancer signific lifetim risk breast cancer 5085% ovarian cancer 1040%  individu  oophorectomi recommend age 3540  childbear complet  ashkenazi jewish women increas risk mutat  discuss doctor need get test 1518,make decis whether ovari remov hysterectomi know   mom die breast cancer 1518,surgeri  hernia  appendectomi  gi cancer  stomach cancer  breast implant  general surgeri 1518,breast cancer  ashkenazi  breast carcinoma  cancer  ovarian cancer  hysterectomi  dna  femal health
1519,check gallbladd make think either gallbladd caus may food poison  either way need check meanwhil stay light liquid diet 1519,33 year old woman suffer tummi cramp  nausea  burp  flatul  headach  diarrhea  pain theleft side back  sharp chest pain  last 3 day done 1519,diabet  osteoarthr  dyslipidemia 1519,headach  belch  chest pain  stomach cramp  flatul  nausea  diarrhea  pass gas  chest pressur  chest tight
1520,cellul red spread quick abl get see doc today tomorrow  go er  may need place v antibiot  make sure take probiot supplement lower chanc c  diff recurr 1520,3 autoimmun prob  4 2013 got cellul r hand   antibiot result  cdiff  blood draw week  also canning tomato  rhand red  hot  swollen head almost elbow  md er 1520,child health  circumcis  cancer  circumcis  diabet  depress  sleep  laparoscop surgeri  children health  child diabet  diabet risk  fever  rid lice treatment  nasal  normal childbirth  rehab  chronic high blood pressur  natur remedi  men health  pain manag 1520,clostridium difficil infect  supplement  probiot  clostridium difficil  cellul  antibiot
1521,care hemorrhoid home therapi hemorrhoids: bowel regimen fiber  stool soften  water  juic probiot  laxat achiev two soft bowel movement daili  salv prep h  desitin  anti fungal  hygien shower  hair dryer area daili  therapi fail control hemorrhoid  go see doc  medic therapi safe surgic procedur 1521,extern hemorrhoid burst morn  bleed stop   afraid tomorrow bowel movement caus bleed  minim potenti bleed go daili : 1521,eat healthier  healthi cook  hypoglycemia  surgeri  hernia  gallston  hemorrhoid  laparoscop surgeri  append  biliari colic  wound  vascular condit  venous insuffici  biliari tract diseas 1521,surgeri  probiot  laxat  fiber  fece  desitin  defec  anal swell  intestin  hemorrhoid
1522,cin iv  cin mean cervic intraepitheli neoplasia   pre cancer condit   usual stage iii iv mean situ carcinoma invas yet   usual need procedur   speak doctor explain   fact miss   invas ca 26 yr old possibl loos uterus  need take second opinion good luck 1522,doctor told cin 4 cervic cancer  alreadi done leep believ said got  howev  want get hysterectomi done 1522,cancer  hernia  hemorrhoid  wart 1522,neoplasm  cancer  cervic cancer  hysterectomi  loop electrosurg excis procedur  cervic biopsi use loop electrosurg excis procedur  femal health
1523,realli rememb chemo given surgeri meant treat potenti exist microscop deposit cell thus improv odd surviv cancer  treat cancer see measur  reason  time tell success   time surveil  alert dont live fear  best 1523,test done know whether chemotherapi drug breast cancer stage 1 work proper 1523,cancer  breast cancer  breast carcinoma  chemotherapi  lung cancer  femal health  colon cancer  mammogram  cancer treatment  cea  genet test  hereditari breast cancer 1523,breast cancer  breast carcinoma  cancer  chemotherapi  chemotherapi drug  surgeri
1524,unlik gallston common bile duct normal size  probabl gallbladd  small liver cyst like incident  probabl wouldnt caus symptom either  go see local gastroenterologist evalu 1524,abdomin mri found fluid fill gallbladd gallston  1 cm cyst livercan b caus nausea  diarrhea  rt side pain 3+ mos 1524,breast augment  cosmet surgeri  liposuct  tummi tuck  breast implant  facelift  breast lift  botox  eye lift  chemic peel  laser resurfac  juvederm  laser skin resurfac 1524,diarrhea  nausea  loos stool  side pain  mri  magnet reson imag  bile  gallston  gastroenterolog
