0,common surgeri relat common low risk procedur experienc ent surgeon 0,use salt water nasal spray help prevent develop perfor septum 0,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1417,see md first start see primari care physician evalu  unfortun cannot conduct proper dental medic exam internet 1417,high ferritin  low vitamin high pth blood  get nausa lot vomit   ach pin needl shoulder blade neck  head phoasi 1417,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1417,vomit  nausea  adenoma  bone pain  paresthesia  hyperparathyroid  vitamin defici  surgeri  vitamin  endocrinolog
1418,mani possibl caus pain    lump bump    may include: boni overgrowth  soft tissu mass  ganglion  fibroma  cyst  evalu profession get right diagnosi 1418,im 28  ankl surgeri 3 wks ago  foot  toe get swollen  swell goe  toe look wrinkl  get rid wrinkl perman 1418,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 1418,surgeri  ankl surgeri
1419,ear ear drainag  ear infect  see ent doc  see oral surgeon wisdom teeth 1419,chikenpox caus swollen lymph node behind ear 1419,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 1419,chickenpox
1420,trismus lock jaw due masset muscl spasm common wisdom teeth surgeri  regardless caus  treat lock jaw include: first ice pack  moist heat  physic stretch  correct trismus sooner return quick normal life 1420,feel someth poke insid gum 2 week get tooth extract  could bone form 1420,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1420,tooth extract
1421,numer name mani thing warrant work doc  mean time  take otc prilosec help make sure acid reflux 1421,laproscop gall bladder surgeri 6 day ago pain right side shoulder kidney area  especi breath    concern 1421,femal health  depress  headach  vagin bleed  pelvic laparoscopi  bioident hormon 1421,surgeri  laparoscopi  bladder surgeri  bladder
1422,call doc may resisit infect macrobid uncommon u may get kidney infect  doc doesnt call back go er evalu wnat r kidney stone also 1422,bloodwork wbc high urin test epitheli cell mani luek esteras small blood moder kidney stone uti wbc high concern 20 yr old 1422,femal health  healthi pregnanc  mens  contracept  bleed  tubal ligat  vagin discharg  pelvic pain  vagin bleed  high risk pregnanc  hormon treatment 1422,urinari tract infect  urin  white blood cell
1423,possibl sinus infect caus upper teeth hurt  especi back one  combin symptom would think rather bad cold combin sinus infect  would visit doctor asap evalu 1423,ear infect itchi ear  pop ear blow nose much   also runni stuffi nose itchi nose  symptom 1423,fluorid  child health  lurid  dental care  dentistri  cari  children health  teeth  surgeri  dental cari  abscess  dental sealant  dental health  dental xray  babi bottl tooth decay  dental dam  take antibiot  dental plaqu  teeth brush 1423,ear infect  stuf nose  eustachian tube dysfunct  ear pop  otiti media
1424,consent normal doctor dont verbal warn risk involv percedur  probebl sign consent form  consent form usuali list possibl complic includ temporari permen numb area  case like temporari make sure communic doctor 1424,got remov wisdom tooth remov 7 day infect  took augmentin 7 day  still teeth infect  ear pain  thank 1424,dental health  dental care  oral health  abscess  gum diseas  tooth pain  cold sore  cosmet dentistri  dental cari  periodont  holist medicin  herp simplex  cari  dental implant  teeth  tmj syndrom  blister  exercis  anesthesia  oral herp simplex 1424,earach  tooth extract  augmentin  amoxicillin clavulan
1425,see ur dentist    infect facial muscl may need drain  pleas call appoint  im assum current care dentist infect tooth  correct 1425,home remedi help tooth infect along antibiot provid dentist salt water mouth wash  thank 1425,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 1425,periodont  antibiot
1426,see ur dentist    infect facial muscl may need drain  pleas call appoint  im assum current care dentist infect tooth  correct 1426,antibiot good tooth infect augmentin amoxicillin knowledg see dentist soon 1426,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 1426,periodont  antibiot  augmentin  amoxil  amoxicillin clavulan  amoxicillin
1427,brave get tonsil biopsi  id surpris lymphoma   cover  need medicin anxieti  might time ask  let rheumatolgoist whos manag lupus know new stressor  age present make lymphoma unlik imposs 1427,swollen right supraclavicular node 2 month  gyno said go ent biopsi general dr order neck ct scan  ct ent 1427,cancer  acn  human immunodefici virus  nutrit  femal health  child health  breast cancer  male health  vitamin defici  breast carcinoma  pap smear  scar  exercis  anemia  lung cancer  iron defici anemia 1427,ent head neck surgeri  ear nose throat  ct scan  ct neck  comput tomographi  biopsi
1428,mani possibl mani type caus skin rash could caus itch  sever type inflammatori condit skin  allerg reaction  sometim bacteri  viral fungal infect caus rash skin  insect bite also caus rash skin  evalu profession get appropri treatment 1428,itchi rash look like littl ant bite  7 day  thought poison ivi  noth help  scab scratch 1428,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 1428,rash  skin rash  itchi rash  toxicodendron dermat  poison ivi  scratch  ant bite
1429,unlik std like caus  possibl exceptions: sex men includ recept anal sex bottom  could acquir rectal gonorrhea chlamydia  could caus rectal pain  spasm  etc  also  certain intestin infect sexual acquir gay men  risk factor appli  discuss doctor  includ detail sexual histori 1429,treat chlamydia  symptom  result came back trace left  treat  burn w pee   itch irrit 1429,chlamydia infect  sexual transmit diseas  sexual transmit infect  human immunodefici virus  gonorrhea  hsv type 1 2  trichomona  hsv  syphili  bacteri vaginosi vagin panel  urethr  std prevent  hiv prevent 1429,chlamydia infect  micturit  chlamydia trachomati   urin
1430,would spend even second worri pregnant  period  pregnant women stop period get pregnant  viabl pregnanc stop vagin bleed  bleed pregnanc scari unusu sign pregnanc may surviv  pregnant  need stop sex learn live w fear 1430,miss period  frequent urin white discharg negat pregnanc test  could problem 1430,human immunodefici virus  male health  sexual transmit infect  depress  lose weight  testosteron  diabet  aid  std  addict  alcohol  men health  gay  lesbian transgend health 1430,frequent urin  miss period  polyuria  pregnanc  pregnanc test  micturit  urin
1431,thank thank question  yes  infect contract unprotect sex urinari tract infect  bacteri vaginosi  hepat c  herp oral skin wart skin skin  human papillovirus genit wart go undetect mani year  pass unprotect sex  also  unprotect sex  high risk pregnanc  talk health care provid abut birth control safe sex 1431,sex boyfriend use protect vagina itch insid  also use finger  could allerg condom 1431,eat healthier  diabet  chest pain  difficulti breath  coronari arteri diseas  cardiopulmonari resuscit  air embol  travel  mountain sick  hyperbar chamber  collaps lung  motion sick  hyperbar oxygen therapi  decompress sick  pneumonia  hypersensit pneumon 1431,sex  condom
1432,infect descript  high like develop bacteri sinus may need antibiot decongest  pleas schedul doctor visit soon possibl 1432,slight larg bump around size penni nickel inner thigh crotch region sore  touch kind hard  origin though ingrown hair start grow larger dint go away 1432,acn  cosmet surgeri  swallow disord  hoars  head neck cancer 1432,ingrown hair  nickel blood level  tactil
1433,infect descript  high like develop bacteri sinus may need antibiot decongest  pleas schedul doctor visit soon possibl 1433,hi sinus infect two week bad headach congest  gone morn wake throat hurt still mucus cough  caus thank 1433,acn  cosmet surgeri  swallow disord  hoars  head neck cancer 1433,throat pain  sore throat  sinus  headach  cough
1434,yes signific sore throat w swollen tonsil   lymph node     see physician  get strep throat test  cultur  antibiot imper strep throat  tri saltwat gargl  mix tsp salt 8 oz warm water     gargl w sever time day  gargl w alo vera juic coupl time per day  mix chamomil tea w honey  small amt lemon juic help 1434,daughter test posit mono yesterday  long sinc contract virus   doesnt seem b over tire sore throat swollen gland 1434,sleep  anxieti  femal health  exercis  exercis  depress  psychiatri  eat healthier  stress  lose weight  stress less  psychiatr drug  insomnia  exercis program  acupunctur  sleep better  health educ  women health  anxieti disord  lifestyl chang 1434,sore throat  throat pain  swollen gland  enlarg lymph node  mono  virus  enlarg gland
1435,jaw pain tooth jaw pressur pain may bruxism chronic teeth grind clench  may relat wisdom teeth  may dental issu  clinic exam dentist determin caus pain  consid wisdom teeth remov caus chronic problem  ask dentist bruxism tooth gum infect 1435,3 day ago bad tooth pain gum gone white   chill sweat appetit throb jaw feel sick fast heart white line cheek 1435,tmj syndrom  tooth pain  canker sore  root canal  cari  dental pain  dental implant 1435,appetit  dental pain  tooth pain  oral surgeri  oral maxillofaci surgeri
1436,possibl seem fishi odor almost alway bv  yeast caus varieti differ odor  yeast may may associ itch 1436,diagnos chlamydia 9 day ago took azithromycin 4 pill  never odor  itch burn slight increas discharg that went got check  anyway  took nine day ago discharg 1436,femal health  healthi pregnanc  polycyst ovarian syndrom  mens  contracept  hysterectomi  cancer  ovul  laparoscop surgeri  normal childbirth  child health  pap smear  endometriosi  bleed  vagin hysterectomi  surgeri  spot  breast cancer  robot surgeri  da vinci robot surgeri 1436,gonorrhea  trichomona  chlamydia infect  vagin discharg  zithromax  yeast  z pak  tri pak  chlamydia trachomati   candida
1437,possibl new breast lump  even younger woman  need thorough evalu might cancer  pleas see doctor  best place start would probabl primari care physician like ob gyn  famili practition  internist  alreadi doctor mani communiti breast women health center could potenti get care 1437,new tini lump scar breast cancer surgeri  recurr 1437,cancer  femal health  lymphoma  breast carcinoma  breast cancer  chemotherapi  radiat oncolog  brachytherapi  radiosurgeri  cyberknif 1437,breast cancer  scar  breast carcinoma  cancer  surgeri  breast surgeon  femal health  breast surgeri  dermatolog  follicl
1438,sudden hear loss greet  sudden hear loss nerv  mechan mix type  sudden chang caus multipl caus  sound like baselin audiogram perform  notic addit chang  get check quick  normal dose motrin tylenol prove littl risk addit hear loss  avoid loud nois use hear protect 1438,4 teeth extract yesterday prescrib ibuprofen 600mg n vicodin take one time 1438,cough  ear infect  chronic sinus  headach  tonsil  endoscop sinus surgeri  voic disord  allerg reaction  eustachian tube dysfunct  throat cancer  acut sinus  noseble  gastroesophag reflux diseas  non allerg rhiniti  skin cancer  hear loss  nasal polyp  tinnitus 1438,vicodin  rufen  nuprin  motrin  ibuprofen  hydrocodon acetaminophen  advil
1439,menstrual cannot alway tell bleed  best home pregnanc test first morn urin  negat  repeat 710 day  negat  unlik pregnant  alway best use barrier method ie condom sexual encount help prevent pregnanc stds  hope help  dr r 1439,hey im 18 year old sexual activ   use form birth control   normal take emerg contracept   start bleed two week period 1439,sport medicin  obstetr gynecolog  orthoped 1439,menstrual period  menstrual cycl  emerg contracept  contracept  birth control
1440,possibl viral symptom consist viral syndrom could includ influenza  initi rest  plenti fluid tylenol ibuprofen allerg help  howev flu might need seen get medic  possibl bacteri infect  pneumonia  femal age sexual activ would good check pregnanc 1440,100102 fever day  2 day later develop pain throat minor swell tonsil  symptom  strep tonsil 1440,skin rash 1440,fever  strep throat  throat pain  sore throat  tonsil  throat cultur  treat tonsil
1441,possibl unfortun  go say unlik  seen patient sore nippl  itchi breast  itchi rash breast  nippl discharg  tingl sensat breast  variat    without paingo breast cancer  may typic  earliest detect must  neg mammogram ultrasound mean cant ca  see specialist bx 1441,2 day late period  white discharg  littl cramp  sore nippl  acid reflux act  pregnant 1441,breast cancer  sarcoidosi  lose weight  stress  breast implant 1441,reflux  sore nippl  pregnanc  sex  menstrual period  menstrual cycl  acid reflux
1442,uncommon abnorm ecg  specif form arrhythmia uncommon panic attack episod anxieti  supraventricular tachycardia  atrial fibril common seen  reason arrhythmia isnt seen period rest adrenalin releas blood stream anxious episod  structur heart diseas evalu recurr 1442,20 yr old male  suffer  anxieti  occasion heart flutter feel  common  sport game  ekg  ok 1442,back pain  pain back  neck pain  suboxon  pain manag  pinch nerv  muscl spasm  epidur steroid inject  degen disc diseas  sciatica 1442,feel anxious  electrocardiogram  anxieti
1443,insect bite respons sting bite insect variabl depend varieti factor  bite sting result pain  swell  red  itch affect area  skin may broken becom infect bite area scratch  treat proper  local infect may becom sever caus condit known cellul  vie may infect see doc 1443,treat inflam poison ivi entir bodi cover warm rais rash pain itchi cant sleep without wake itch 1443,nan 1443,skin rash  rash  toxicodendron dermat  rais rash  sleep  poison ivi
1444,much lack sleep exacerb symptom cite  consult mental health profession liber  talk therapi help give insight problem give strategi cope  best luck 1444,uncompens labyrinth  pressur slight dizzi head  kind weird vision like eye strain   normal symptom 1444,orthodontia  fever  swell  feel anxious  bad breath  malocclus  blister  tooth pain  dental brace  teeth  mouth brace  leg pain  pain mouth sore  larg jaw  orthodont retain  cleft lip  lip blister  patient communic  protrud jaw  self ligat brace 1444,dizzi  otiti interna  labyrinth  vertigo  vision
1445,see doctor sever headach nausea vomit could secondari mani caus  think see doctor asap 1445,fell hors 2 day ago  sure hit head  s: headachesshort  comego  dizzinessnausea  head injuri symptom fractur rib 1445,ulcer  iron defici anemia  abdomin pain  abdomin discomfort  pancreat  rheumatoid arthriti  lipas  manag tenni elbow  take statin  lyme diseas  diarrhea  treat poison ivi  poison oak  dermatomyos  live gout  ingrown toenail 1445,dizzi  nausea  head injuri  headach  head trauma  vertigo
1446,vitamin may low ankl pain get may relat low vitamin  also  look vit level total vitamin import know well  take foot ankl doc see ankl situat 1446,took plan b thur  blood test mon  glucos random vitamin 25hydroxi  hemoglobin  insulin cpeptid plan b show 1446,plantar fasciiti  diabet foot  neuroma 1446,vitamin  levonorgestrel  insulin  glucos random  glucos  calcitriol  c peptid  blood sugar
1447,type cancer depend type cancer  general speak  prognosi wors poor cancer spread distant organ compar cancer still local  howev  expectdepend type cancer good overal condit patient  testicular cait still cure eventhough alreadi spread lung ca median surviv 15 month 1447,surviv treatment small cell lung cancer move brain mom 10 tumor 1447,cancer  chemotherapi  leukemia  lung cancer  lymphoma  colon cancer  skin cancer  melanoma  cervic cancer  mouth cancer  ovarian cancer  multipl myeloma  stomach cancer  chronic myelogen leukemia  throat cancer  oncolog  thrombocytopenia  small cell lung cancer  chronic leukemia  oral cancer 1447,nausea  cancer  lung cancer  medic oncolog  palliat treatment  qualiti life
1448,evalu teeth erupt wisdom otherwis gum  normal sore  discomfort bleed  see dentist asap confirm problem whether enough room wisdom teeth come whether remov  dont want emerg one day face swollen sever pain 1448,current wisdom tooth grow swell gum area  unabl open mouth way  normal 1448,dentistri  dental health  dental care  child health  dental implant  gum diseas  cosmet dentistri  manag teeth 1448,nan
1449,diagnost guess amongst thing might concern crps chronuc region pain syndrom  head physician get evalu  statement hypersensitivti touch separ crps pain syndrom 1449,vitamin defici take 10 000 unit week  use neuropathi left side feet finger tingl lot usual  relat 1449,gout  wart  foot care  diabet foot  foot surgeri 1449,vitamin defici  nerv damag  neuropathi  tingl  vitamin  calcitriol
1450,necessarili  mani caus sensit teeth  see dentist determin caus sensit 1450,wisdom teeth fill instead pull  surfac caviti two one side top mouth   im 55 anxious remov 1450,cosmet dentistri  dental care  dental procedur 1450,cari  tooth decay  dental cari  wisdom teeth
1451,mild mild sensat throat swell lower wisdom tooth extract  mild  symptom promin accompani difficulti swallow breath  go er asap 1451,yes open week wisdom tooth remov still swell sore throat 1451,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 1451,sore throat  throat pain  tooth extract
1452,teeth pain general ibuprofen much effect teeth tylenol  also let babi chew cold teeth ring parent found camilia realli aid teeth discomfort  import give babi four dose acetaminophen one day  acetaminophen realli challeng liver  massag gum tissu soft bristl brush also help 1452,diagnos two year ago sudden hear loss  mayb virus  mayb use vicodin night happen  question read ibuprofen acetaminophen caus hear loss  safe ta 1452,child health  teeth 1452,hear loss  nuprin  tempra  rufen  panadol  vicodin  motrin  ibuprofen  hydrocodon acetaminophen  virus
1453,pericoron sound like may inflam around gum tissu area  recommend see oral surgeon evalu possibl extract wisdom tooth 1453,3 day pain  back wisdom tooth  swell gum  cheek  jaw hurt  neck hurt  headach  hurt open mouth swallow 1453,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 1453,headach  tooth pain  dental pain  jaw pain  oral surgeri  oral maxillofaci surgeri
1454,see doctor go doctor evalu whether treatment drug effect effect increas decreas dosag chang medic chang treatment plan  need go doctor noth home test efficaci chemotherapi drug breast cancer 1454,take vitamin chemotherapi breast cancer 1454,tmj syndrom  facial pain  cosmet dentistri  dental implant  oral surgeri 1454,vitamin defici  breast carcinoma  breast cancer  cancer  calcitriol  vitamin  chemotherapi
1455,yes  birth control effect \may actual take one cycl work  although usual protect immedi femal pregnanc start late   miss period  pregnanc test order  howev  appear sexual activ took place vbefor fertil period hope consol 1455,strong vinegar acid smell discharg come vagina birth control pill high blood sugar level  anyth els 1455,arthriti  healthi eat  healthi cook  rheumatolog  nutrit support  metabol syndrom  rheumatoid arthriti  joint pain  sexual health  vitamin supplement  sport activ  psoriasi  improv relationship  gain muscl  prednison  age grace  immunolog  juvenil rheumatoid arthriti  aerob exercis 1455,bacteri vaginosi vagin panel  sugar  oral contracept  glucos  femal health  contracept  blood sugar high  blood sugar  birth control pill  birth control
1456,jaw pain refer previous infect wisdom tooth  even though seem fine  jaw pain could reflect problem wisdom tooth  cyst infect jaw bone  would recommend see oral maxillofaci surgeon consult determin problem would best interest  good luck 1456,pain jaw still swollen cheek jaw  week sinc wisdom tooth pull infect  still infect 1456,tmj syndrom  tmj surgeri  oral surgeri  mri tmj  protrud jaw  wisdom tooth extract  dental implant  rhinoplasti  chin implant  chin augment  chin liposuct  facial implant  chin reduct  open repair jawbon fractur  larg jaw  open repair orbit blowout fractur  underdevelop upper jaw bone  open repair cheekbon fractur  tmj mri arthrogram  open repair palat maxillari fractur 1456,oral maxillofaci surgeri
1457,allerg sinus could allergi tri benadryl claritin 1457,4 yr old fever normal behavior yellowish eye drainag nasal congest  antibiot let immun system work 1457,tmj syndrom  trigemin neuralgia  sleep apnea  temporomandibular disord 1457,congest nose  fever  stuf nose  immun diseas  block nose  pink eye  oxymetazolin  conjunct  pediatr  antibiot
1458,biopsi fine needl aspir breast typic perform drain cyst lidocain may administ allevi pain  fine needl aspir biopsi also perform lymph node axilla armpit  typic done without lidocain 1458,play volleybal tonight  hr got around 180  chest pain left breast 5min  ekg yesterday came fine  go er 1458,mammogram  ct scan  cancer  sonogram  mri scan  breast cancer  imag 1458,chest pain  stress  chest tight  chest pressur  angina  electrocardiogram  femal health  stress test
1459,visit dentist treatment temporari relief  tooth pain wont go away without treatment infect may spread jaw  cheek  sinus area head neck  visit dentist asap definit diagnosi treatment 1459,3 day taken  12 paracetamol  16 ibuprofen  16 codein 12 amoxicillin tabl  due abscess tooth  ok 1459,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1459,abscess  ibuprofen  rufen  nuprin  motrin  dentistri  amoxil  amoxicillin  advil  acetaminophen
1460,see ofp specialist rule wisdom tooth pain  orofaci pain specialist dedic exclus treatment orofaci pain  tmj pain  jaw pain  facial pain  bruxism tmj disord  find doctor close live work 1460,pain upper left side rib cage left breast  mammogram  xray  ct scan  colonoscopi urin fine  help 1460,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1460,muscl strain  ibuprofen  nuprin  rufen  motrin  pain medicin  advil  urin  mammogram  ct scan
1461, tingl numb distal extrem suggest type peripher neuropathi  full general checkup primari doc may need neurolog consult test  eg nerv conduct  diabet alcohol nerv toxic common caus  regular mean intermitt sx  perhap hyperventil  form anxieti panic attack 1461,weigh 264 25yr  old feel tingl head hand feet check blood pressur its160 110  could sinus  wat 1461,arthriti  nutrit support  well lifestyl  cardiovascular diseas  drug problem 1461,tingl  blood pressur
1462,possibl mention techniqu done  lift someth tore stitch  could problem  gas bloat could normal  seem wors  seen surgeon 1462,sever month terribl abdomin pain  yellow  slimi liquid stoolbut never feel like empti complet gallbl  app 1462,children health  bleed  contracept  exercis  cancer  sleep  rash  fever  normal childbirth  pneumonia  teen pregnanc 1462,abdomin discomfort  abdomin pain  overact thyroid  dump syndrom  inflammatori bowel diseas  hyperthyroid  celiac diseas  belli pain  bacteria  fece
1463,go doc er asap 1463,left jaw sore well left side throat ear 1463,knee pain  sport medicin  carpal tunnel syndrom  compress neuropathi  hand finger injuri  shoulder injuri  sport fit 1463,jaw pain  dentistri  ent head neck surgeri
1464,effect oral applianc effect cpap patient mild moder sleep apnea  use patient sever sleep apnea cannot toler cpap  see dentist treat sleep apnea find work 1464,sleep apnea relat copd asthma effect treatment someon sleep apnea copd  cpap  bipap  pillow 1464,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 1464,sleep disord  snore  sleep disturb  asthma  lung diseas  sleep apnea  apnea  sleep  snore  copd
1465,appropri question blood stool  black tarri stool alway concern  howev  young person streak blood surfac stool  common caus fissur hemorrhoid  caus pain well  cancer less common young peopl  caus also less common  best see doctor care exam determin caus case 1465,reason anal fissur progress pile hemmorridseven patient have reular fiber diet good intak water 1465,dizzi  chest pain  hypertens  abnorm blood pressur  numb  hypotens  angina  femal health  cardiac arrhythmia  low blood pressur  heart palpit  chest tight  cancer  aneurysm  chest pressur  essenti hypertens  coronari arteri diseas 1465,fece  hemorrhoid  fiber  diet  anal fissur
1466,bp chang stand bp may rise transient may feel stronger pulsat scalp arteri  check bp sit stand see reaction occur  cours bp high sit stand  must consult physician 1466,could mild case mitral valv prolaps caus prevent lower face lift white coat hypertens 1466,nan 1466,high blood pressur  mitral valv prolaps  white coat hypertens  mvp  xray chest  valv  lower face lift  hypertens  hypertens  electrocardiogram
1467,compress nerv common peron nerv 1467,knee crack bend get floor  feel like theyr disloc  sometim cant walk  know what wrong 1467,plantar fasciiti  diabet foot  neuroma 1467,knee pain  physiotherapi  physic therapi  cartilag  gait
1468,see doc bright red rectal blood yore sure rectal menstrual need see doc especi didnt first start  lot thing caus rectal bleed  rang hemorrhoid fissur cancer  rectal bleed never normal alway need check 1468,pea size bump upper inner thigh  look purpl bruis somewhat squishi  pop fill bright red blood 1468,asthma  cardiovascular diseas  diabet risk 1468,red skin  rais red skin lesion  hemangioma
1469,toe could number thing  diabet could bean infect circul issu  gout  autoimmun  need go see primari care physician look correct diagnosi 1469,walk lot foot start hurtingund big toe side near arch foot walk  doesnt hurt touch also throb night 1469,diabet type 2  chronic fatigu  hormon replac therapi  weight manag  irrit bowel syndrom  autoimmun diseas  integr medicin 1469,arthriti  pain joint  orthot  podiatri  nerv  surgeri  gait
1470,rheumatologist see rheumatologist diagnosi proper treatment 1470,sever pain ulnar side elbow   could attribut psoriat arthriti 1470,arthriti  fibromyalgia  rheumatoid arthriti  osteoarthr  vascul 1470,arthriti  pain joint  asthenia  elbow pain  inflamm  epicondyl  neuropathi  cubit tunnel syndrom  psoriasi  tingl
1471,yes overdo soon back surgeri caus nerv irrit result symptom descib  take frequent break lie get relief  good luck 1471,pain hip   knee   ankl feet   could b caus blood test came back clear  doctor say plantar fasciiti 1471,orthoped surgeri 1471,podiatri  osteoarthr  orthot  plantar fasciiti
1472,ent see ent  dentist rule infect get treatment 1472,headach  facial pain 6 month  left side  mri reveal larg mucus retent cyst right side  link 1472,surgeri  back pain  anesthesia  chest pain  backach  blood thinner  chloral hydrat  addict  propofol  labor pain 1472,headach  facial pain  magnet reson imag  mri  facial  ent head neck surgeri
1473,spinal stenosi arm numb weak symptom well possibl pinch nerv spur  hx could guess tendenc arthriti joint like shoulder  make sure shoulder pain due arthriti  talk provid abl help better examin  good luck 1473,sever pain neck shoulder rum right arm hand  start left side  c4  c5 neck surgeri 1473,primari care servic  structur teach  intern medicin  nephrolog  cardiolog 1473,nerv  laparoscop surgeri  surgeri  neck surgeri  c5
1474,good idea follow postop instruct given  chew gum mint disrupt heal process  wait least week new gum  rins day extract  call extract dentist question concern  eat abl help p 1474,follow wisdom teeth remov 6 week later gum heel snot comin wisdom extract site also foul odor lean forward 1474,tooth pain  root canal  dentistri  tmj syndrom  tooth abscess  dri mouth  dental health  dental abscess  aphthous stomat  teeth  teeth clean  dental anxieti 1474,fistula  wisdom tooth extract  wisdom teeth  tooth extract
1475,mri ct get anoth opinion 1475,get lot neck pain headach  pass tmj  went get neck massag found lump behind ear neck could 1475,facelift  breast augment  tummi tuck  liposuct  blepharoplasti 1475,headach  neck pain  tmj syndrom  massag  ent head neck surgeri
1476,possibl unfortun  go say unlik  seen patient sore nippl  itchi breast  itchi rash breast  nippl discharg  tingl sensat breast  variat    without paingo breast cancer  may typic  earliest detect must  neg mammogram ultrasound mean cant ca  see specialist bx 1476,inflammatori breast cancer look like 4mm circular sore that month new skin grow top im nurs 1476,breast cancer  sarcoidosi  lose weight  stress  breast implant 1476,tender swollen lump breast  breast carcinoma  breast cancer  cancer  inflammatori breast cancer  femal health  feed  mastiti  breastfeed
1477,knee give time evalu orthoped surgeon expertis sport injuri  sound may collater ligament injuri numer ligament tendon injuri may respons  like mri requir confirm diagnosi 1477,diagnos torn meniscus last year itsettl without surgeri  went danc last night nowth left side left knee hurt  could reason 1477,breast implant  liposuct  tummi tuck  facelift  breast augment  tuck  facial plastic surgeri  labiaplasti  labial reduct 1477,torn meniscus  nsaid  surgeri  danc
1478,bone graft 6 week would ideal  long symptom infect gone 1478,still pain molar extract bone graft  os say sign infect dri socket  pain normal 1478,anesthesia  dental pain  cosmet dentistri 1478,dri socket  graft  tooth extract  bone graft
1479,immobil  place cast good option use insur immobil 1479,roll ankl play soccer yesterday  today still realli pain move walk  red  swollen  get check 1479,podiatri  foot care  sprain  neuropathi  foot ankl injuri  diabet foot  diabet neuropathi  surgeri  educ  broken foot  foot ulcer  hammer toe  wound  orthoped brace  foot surgeri  hammerto correct  osteomyel  bunion repair 1479,sprain  gait
1480,probabl unless serum pregnanc test done way earli  pregnant base negat  still doubt  repeat urin pregnanc 2 week  negat  go back routin  howev  make sure wait 2 week next pregnanc test  use altern reliabl method contracept  abstin condom 1480,dc 7 week ago  got negat pregnanc test 11 day  got 1st period last 4 day 12 day ago  get 5 posit test clear blue say 23 week sinc concept confus 1480,child health  circumcis  cancer  circumcis  diabet  depress  sleep  laparoscop surgeri  children health  child diabet  diabet risk  fever  rid lice treatment  nasal  normal childbirth  rehab  chronic high blood pressur  natur remedi  men health  pain manag 1480,obstetr gynecolog  obstetr  healthi pregnanc  pregnanc test  pregnanc  mental confus  get pregnant  femal health
1481,ok  let see  u sleep well night clinch grind teeth night wake hand numb pain lower  upper mid back injuri medic problem  one thing consid hand splint night case carpal tunnel syndrom  folat defici rare sourc  hand arm pain may seper releg back headach  let privat conv  fit u 1481,ive pain left shoulder upper back 3 week  also  pain left upper arm  tingl numb  massag help   idea 1481,mens  bleed  ovul  prematur  stomach cramp  itch  insomnia  cesarean section  fibromyalgia  menopaus  hysterectomi  depress pregnanc  perimenopaus  chronic pelvic pain  ovarian cyst remov  chronic fatigu  insomnia adult  mild headach  depress adult 1481,muscl spasm  numb  tingl  massag  charley hors  nerv
1482,unpredict unfortun  imposs predict restart ovulatori cycl  depo effect may linger 69 month  6 month sinc last shot  would hope  start normal length  normal amount  normal frequenc  ovulatori cycl  birth control pill  stop take  ovul next month  depo  wait 1482,afraid start methotrex ra  cant fulli close right hand   dont want lose hair   diagnos 5 month ago 1482,eat healthier  sleep better  femal health  diabet  pain bladder syndrom  amenorrhea  bladder infect  sexual health  stomach discomfort  skincar  migrain headach 1482,rheumatoid arthriti  ra  rheumatrex  methotrex
1483,yes  disabl yes  disabl 1483,psoriasi mean psoriat arthriti arthriti 1483,arter  polymyalgia rheumatica  giant cell arter  marfan syndrom 1483,arthriti  pain joint  psoriasi  psoriat arthriti
1484,2nd eye surgeri patient heal well quick second eye done within12 week first eye 1484,parathyroid surgeri tomw  someon still heal anal fissur  biggest concern postop constip  hint 1484,lasik  cataract surgeri  dri eye  corneal transplant 1484,constip  surgeri  anal fissur  treat constip
