0, may treat nasal congest 0,use salt water nasal spray help prevent develop perfor septum 0,rhinoplasti  facelift  facial plastic surgeri  septoplasti  eyelid lift  nasal fractur  nasal septum repair  nasal polyp remov  eye lift  skin cancer 0,septal perfor  nasal spray  oxymetazolin  sodium  ear nose throat specialist  perfor septum  ear nose throat
1514,im quit sure question general sound like peduncl relat liver mass extend pancreat area suggest biopsi  point doesnt mean anyth pathologist look tissu  could benign growth  could abnorm scan well  scan make diagnosi  tissu make diagnosi 1514,anyon tell mean pleasebreast tissu heterogen dens  may obscur detect small mass 1514,os 1514,fibromyalgia  hormon  mammogram
1515,mayb caus constip infant mani caus  one common caus would low fiber  nutrient poor diet relat dehydr lead hard stool  pain defec  constip  check physician regard supplement  care give supplement young sensit side effect  calcium supplement like caus 1515,iron supplement take wont make constip 1515,diabet  perfus scan  health statist  diabet risk  bone scan  heart diseas 1515,constip  supplement  iron  iron supplement  iron blood level
1516,nerv tendon sound like nerv tendon problem  shoot pain nerv  definit need evalu podiatrist 1516,play golf step hole twist ankl knee pop  hard walk littl pain 1516,diabet foot  sport medicin  diabet ulcer 1516,ankl sprain  golf  antiinflammatori  gait  brace
1517,yes typic lower molar sometim bicuspid inflam infect pulp refer pain ear  seen axillari node swollen dental abscess 1517,untreat ear infect tooth abcess sinus infect gum diseas caus lymph node left supraclavicular possibl 1517,root canal  tooth pain  abscess  surgeri  anxieti  canker sore  inflamm gum  blister mouth  antibiot  earach 1517,gum diseas  ear infect  sinus  abscess  immun diseas  gingiv  bacteria  otiti media
1518,yes yes  site review possibl risk factor ovarian cancer: http:  www  cancer org cancer ovariancanc detailedguid ovariancancerriskfactor 1518,make decis whether ovari remov hysterectomi know   mom die breast cancer 1518,cancer  hernia  breast cancer  laparoscop surgeri  surgeri  breast carcinoma  gallston  colon cancer  inguin hernia  abdomin pain  diverticul  gi cancer  abdomin surgeri  laparoscop gallbladd remov 1518,breast cancer  ashkenazi  breast carcinoma  cancer  ovarian cancer  hysterectomi  dna  femal health
1519,see doctor serious condit must exclud physic examin test eg abdomin ultrasound  blood work 1519,33 year old woman suffer tummi cramp  nausea  burp  flatul  headach  diarrhea  pain theleft side back  sharp chest pain  last 3 day done 1519,neuralgia  cluster headach 1519,headach  belch  chest pain  stomach cramp  flatul  nausea  diarrhea  pass gas  chest pressur  chest tight
1520,infect swell pain one side face indic infect  untreat could becom life threaten  call dentist asap 1520,3 autoimmun prob  4 2013 got cellul r hand   antibiot result  cdiff  blood draw week  also canning tomato  rhand red  hot  swollen head almost elbow  md er 1520,nan 1520,clostridium difficil infect  supplement  probiot  clostridium difficil  cellul  antibiot
1521,see recommend sound like grade 3 hemorrhoid  surgeri last resort  drink plenti liquid least 8 glass day  high fiber diet may supplement metamucil  avoid sedentari lifestyl  see gi doctor  examin make sure dont problem caus pressur describ 1521,extern hemorrhoid burst morn  bleed stop   afraid tomorrow bowel movement caus bleed  minim potenti bleed go daili : 1521,surgeri  hernia  appendectomi  gi cancer  stomach cancer  breast implant  general surgeri 1521,surgeri  probiot  laxat  fiber  fece  desitin  defec  anal swell  intestin  hemorrhoid
1522,depend american collog ob gyn recommend women retain cervix hysterectomi  dont histori sever precanc cervix  continu pap smear 1522,doctor told cin 4 cervic cancer  alreadi done leep believ said got  howev  want get hysterectomi done 1522,hysterectomi  urinari incontin  heavi period  femal steril surgeri  uterin prolaps 1522,neoplasm  cancer  cervic cancer  hysterectomi  loop electrosurg excis procedur  cervic biopsi use loop electrosurg excis procedur  femal health
1523,see blog ive written articl topic  found mdprevent  blogspot com take vitamin expect interfer chemotherapi  probabl littl help breast cancer prognosi 1523,test done know whether chemotherapi drug breast cancer stage 1 work proper 1523,vitamin defici  exercis  vitamin supplement  exercis  eat healthier  supplement  diet  nutrit  lose weight  age grace  strength train  heart attack  diabet  poor nutrit  sleep better  prevent medicin  holist medicin  primari care servic 1523,breast cancer  breast carcinoma  cancer  chemotherapi  chemotherapi drug  surgeri
1524,possibl mucus retent cyst reflect chronic sinus often caus pain depend locat sinus blockag  blockag sometim cannot seen mri 1524,abdomin mri found fluid fill gallbladd gallston  1 cm cyst livercan b caus nausea  diarrhea  rt side pain 3+ mos 1524,ct scan  cancer  thyroid nodul  pet scan  mri head  mri scan  breast carcinoma  breast cancer  stress  surgeri  exercis  wrist pain  cerebr vascular accid  costochondr  rib fractur  stroke  skeleton xray  ultrasound 1524,diarrhea  nausea  loos stool  side pain  mri  magnet reson imag  bile  gallston  gastroenterolog
1525,yes odd less 1 tube  yes inde could 1525,dr true ladi get pregnant self home insemin get birth defect menat physicali retard babi 1525,cancer  hepat  diet  inflammatori bowel diseas  nutrit support  well lifestyl 1525,congenit abnorm  birth defect  pregnanc  male health  semen
1526,laser acn scar rx laser treatment acn scar safe even face fraxel laser  fraxel work shoot microscop beam laser light skin  caus increas collagen help fill scar  one treatment may need doesnt leav one burn afterward like treatment 1526,best option treat atroph hypertroph acn scar boxcar roll  coupl larger ice pick one 1526,scar  liposuct  breast reduct surgeri  facelift 1526,acn  pimpl  scar  acn scar  laser  graft  facial pimpl  dermabras  laser resurfac
1527,depend jodi  certain possibl small fractur  clinic exam xray tell sure  4 day short time better  bruis last 46 week injuri 1527,long swell last sprain ankl 6 week still swollen  xray break fractur 1527,patient empower  integr medicin  educ 1527,wound  ankl sprain  scar  sprain  cartilag
1528,caviti alway 1st import get caviti treat soon possibl wisdom teeth remov  howev  infect wisdom tooth serious first line treatment 1528,pain lower  back jaw   caviti wisdom teeth day never goe away  heard caviti hurt eat  true 1528,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1528,cari  dental cari  tooth decay  caviti  wisdom teeth
1529,see doctor best diagnost techniqu diagnos rash see sometim feel  year experi  doctor see mani rash mani differ caus good diagnos rash sight  proper diagnosi key make treatment recommend  accompani pictur classic appear rash known tinea corporsi  scratch may caus rash spread 1529,  back arm get lot tini bump almost like rash red itch hang around day come  goe caus 1529,nan 1529,rash  skin rash  keratosi  keratosi pilari  keratin  retin  follicl  retinoid  vitamin
1530,dont neglect young  lump especi newli discov one breast around breast check  see physician check clinic need mammographi famili histori yes  even urgenc 1530,week red lump side left breast  hurt touch  could 1530,surgeri  varicos vein  vein  spider vein  sonogram  varicos vein leg  sclerotherapi  ultrasound extrem vein  superfici thrombophleb  leg surgeri 1530,red skin  abscess  cancer  femal health  tactil  insect bite
1531,followup pleas see doctor evalu  miss cancer unlik need find reason pain  proper perform thorac spine mri read qualifi radiologist clear actual vertebr bodi  depend field view  area chest seen  chest xray fine screen tool chest ct may help view entir chest back 1531,could caus upper abdomin pain mid back pain  ive picc line antibiot cure staph infect past 5 week 1531,cancer  ct scan  pet scan  femal health  child health  breast cancer  hida scan  breast carcinoma  healthi pregnanc  mri scan  back pain  lung nodul  bone scan  nuclear medicin  nuclear scan  patient communic 1531,abdomin discomfort  abdomin pain  back pain  staph infect  staphylococc infect  upper abdomin pain  multi infarct dementia  epigastr pain  belli pain  pain back
1532,mayb semen hi anne549  havent unprotect sex often  may recogn semen  caus wateri discharg day sex  sometim chang normal discharg caus bacteri vaginosi overgrowth certain normal bacteria  usual caus odor  sound like sign pregnanc  recommend use birth control method 1532,physic possibl becom pregnant labor breastfeed mix norqd pill good birth control 1532,nutrit  diabet  women health  healthi pregnanc  mental health behavior  herbal supplement  dietari supplement 1532,ovul  sexual intercours  birth control  sex  pregnanc  lactat  labor  breastfeed
1533,methotrex  felt efficaci therapi compet rheumatologist follow care sideeffect complic reason choic  done degre caution treatment ra  see rheumatologiist  hope feel better soon 1533,child methotrex plaquenil jra sinc plaquenil get lot headach  side effect 1533,aid  pneumonia  urinari tract infect  sexual transmit diseas  infect heart valv  bacteri infect  bacteri endocard  osteomyel  respiratori tract infect  septic arthriti  pneumocysti jirovecii pneumonia  prophylact antibiot 1533,headach  juvenil rheumatoid arthriti  rheumatrex  methotrex  hydroxychloroquin  plaquenil  children
1534,mri consid suggest healthcar provid get mri check white matter diseas also consid evalu cervic spine area 1534,hard knot behind left ear  pain turn neck  blur vision right eye  headach  feel like pressur left ear 1534,colonoscopi  intern medicin  egd  stress echocardiographi  echocardiogram 1534,earach  headach  blurri vision  hazi vision  vision
1535,let help blood test cut confus 1535,suspect pregnant back stomach pain  bleedingfleshi tissuethick blood  came vagina last night see doc sat miscarriagehelp 1535,backach 1535,stomach pain  pregnanc loss  stomach discomfort  spontan abort  home pregnanc test  pregnanc test  pregnanc  gastrointestin pain  femal health  blood abnorm
1536,depend symptom mri may show someth clinic signific  exam orthopaed surgeon tell case  mani patient chang mri true tear  pfs common problem  treatment therapi exercis help  inject cortison may also help distinguish two  menisc symptom joint line anterior 1536,pelvic mri pain complic follow tvt bladder sling remov infect reveal enhanc  7 mm lesion thecal sac l4   follow need 1536,surgeri  stress  knee pain  exercis  multi infarct dementia  acl reconstruct  ach  scar  abnorm postur  scar  weight train  headach  fit exercis  burn sensat  supplement  swell  frostbit  back pain  pain back  leg cramp 1536,wound  magnet reson imag  surgeri  radiolog  urolog  imag  bladder  bladder sling surgeri  mri
1537,see answer osteoarthr general thought caus wear tear joint destruct due mechan caus  rheumatoid arthriti caus damag joint immun system  treatment prognosi differ two 1537,medicin arthriti effect 1537,rheumatoid arthriti 1537,arthriti  pain joint  inflamm  vioxx  relafen  bextra  ibuprofen  voltaren  celebrex  magnesium
1538,increas platelet platelet count 503 technic high  extrem high mean  also mild anem  anemia like due iron defici common caus far young women  test would confirm necessari  yes  iron defici one caus high platelet count  continu sort doctor 1538,sinc 2007 mch  mcv  hct  hgb  baso test come back low  rdw high  potassium low crp level doubl 1538,contracept  pregnanc loss  mens 1538,hyperkalemia  klorcon  klorvess  klotrix  kay ciel  kaon  kaochlor  potassium
1539,breast cancer would import follow breast surgeon decid next step 1539,radiat breast cancer surgeri hurt bodi 1539,nan 1539,skin irrit  breast cancer  breast carcinoma  skin red  sunburn  cancer  irradi  gamma ray  radioact  roentgen ray
1540,canker sore common oral lesion  individu ulcer typic last 12 week  canker sore usual accompani swollen lymph node  tri keep adequ oral hygien possibl  concern see dentist 10 day visit today laser immedi amelior 1540,two lump 1 cheek upper mouth visibl  soft small 1 insid toung feel pinch im 16 could oral cancer 1540,tmj syndrom  sleep apnea  facial pain  trigemin neuralgia  headach disord 1540,cancer  oral cancer  mouth cancer  dentistri  oral maxillofaci surgeri
1541,mani possibl gallston run famili  common women  common women childbirth  ethnic popul indian south central american popul  question elev cholesterol gallston  common peopl heart surgeri major oper  also lose lot weight quick 1541,sick  extrem fatigu  high platelet  potassium  sever anemia  low tsh  low acth 3 goiter thyroid hashimoto questionaddison what wrong w 1541,cancer  hernia  breast cancer  laparoscop surgeri  surgeri  breast carcinoma  gallston  colon cancer  inguin hernia  abdomin pain  diverticul  gi cancer  abdomin surgeri  laparoscop gallbladd remov 1541,fatigu  lyme diseas  low blood count  anemia  exhaust  lethargi  goiter  addison diseas  thyroid enlarg  klorvess
1542,see surgeon dri socket past  place steril strip gauz  place extract socket irrig steril water clean easili perform untrain  see surgeon done correct   yoll heal feel better faster  best 1542,long wisdom tooth extract dri socket develop 1542,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 1542,blood clot  dri socket  antibiot  tooth extract  wisdom tooth extract
1543,need evalu pain involv area call mastoid  pain movement neck  headach  blur vision right  concern symptom realli need evalu  could local infect call mastoid  someth wors  call doctor seen soon possibl 1543,pain pressur left eye come goe  vision get mild blurri  along headach  could caus sinus congest 1543,femal health  menopaus  ovul  mens  tri conceiv  get pregnant  ectop pregnanc  third trimest pregnanc  diabet onset pregnanc  obstetr  high risk pregnanc  healthi pregnanc  gestat hypertens 1543,headach  vision
1544,laser acn scar rx laser treatment acn scar safe even face fraxel laser  fraxel work shoot microscop beam laser light skin  caus increas collagen help fill scar  one treatment may need doesnt leav one burn afterward like treatment 1544,use duac acn cream nose rhinoplasti 1544,scar  liposuct  breast reduct surgeri  facelift 1544,acn  pimpl  facial pimpl  rhinoplasti
1545,locker room cough cough follow exercis typic symptom exercis induc bronchospasm  good treatment prevent symptom improv exercis capac 1545,asthma attack run middl wood  sx: short breath  wheez  cough  stop run wood inhal 1545,asthma  allergi  hypersensit  child allergi  antihistamin  cough  allergi test  nasal  child allergi test  nut allergi 1545,asthma  cough  wheez  breathless  inhal
1546,need info think ask dentist sinc opportun examin make diagnosi therefor best person know wrong 1546,chlamydia doc prescrib  antibiot metronidazol   im stil see discharg underwear use get rid pleas 1546,nan 1546,pelvic inflammatori diseas  metrogel  norit  metronidazol  trikacid  metrocream  flagyl er  flagyl  antibiot
1547,necessari although ankl sprain may swollen pain  usual rest  ice brace may suffic  tri compress wrap simpl ankl brace 12 week  pain swell get wors  see doctor referr  possibl imag studi see injuri serious sprain  hope help   pleas vote follow  thank 1547,3 week ago foot broken per er  got cam walker readi walk  use crutch foot hurt sinc husband tri move big toe 1547,surgeri  ankl sprain  exercis  arthriti  total ankl replac  swollen ball foot 1547,orthoped surgeri  walker  gait  crutch  crutch  complementari altern medicin
1548,sinus drainag like block sinus fill pus  unblock  reliev pressur caus headach  still inflam drain  sinus viral bacteri  drainag quit irrit throat may tri nsaid help reliev irrit decongest bedtim might help produc drainag  chlorasept spray generic best throat 1548,ive sweat  chill  feverish eye  sinus headach  lethargi  achey muscl raw throat month  two week amoxycillin hasnt help either  shouldi 1548,genet diseas  genet counsel  genet test  teratogenesi  prenat test  genet birth defect  syndrom  growth hormon  bodi dysmorph disord  birth defect  human growth hormon  chromosom disord  chlamydia infect  congenit abnorm  prenat screen  colon cancer  genu valgum  knock knee  congenit malform  ferritin 1548,sinus pain  headach  lethargi  listless  amoxicillin
1549,import would peron strengthen excercis  still pain get reevalu 1549,ankl sprain avuls fractur talus  1 wk later still slight swell  pain bear weight  foot turn purpl  throb stand   normal 1549,plantar fasciiti  diabet foot  neuroma 1549,sprain strain  ankl sprain  broken bone  crutch  crutch  sprain  roentgen ray
1550,sneez could anyth  start tri salt water wash prior go bed upon wake morn take medic  see allergist test find allerg 1550,3 year old pink eye doctor offic close ok use clear eye maximum itchi eye relief help 1550,child allergi  asthma  allergi  child health  hypersensit  children health  rash  cough  nasal  itch  allerg reaction  rhiniti  fever  psoriasi  immun defici  food allergi  atop dermat  insect venom panel  chronic sinus  acut sinus 1550,eye pain  hypersensit  pink eye  cetirizin  fexofenadin  zaditor  diphenhydramin  claritin  tactil  benadryl
1551,see dermatologist sure reaction ivi begin good diagnosi  long actual poison ivi  natur contact allerg reaction contact oil plant  contagi spread  extens reaction  use prescript prednison 50mg  one pill everi day 3 4 dose 1551,cut side finger top knckle 1wk ago  itchi  rais like liquid  cant bend finger fulli  tini amnt clear dischrg  pain  normal 1551,pimpl  acn  light therapi  vitamin b 12 1551,wound  splint  synovi fluid  occup therapi  foreign bodi  bacteria
1552,augmentin ok tooth infect augmentincombin amoxicillinclavulan correct antibiot prescrib  recommend see dentist check teeth gum might need local dental treatment along antibiot  go see dentist good 1552,augmentin amoxcillin better tooth infect 1552,asthma  pediatr  immun  prevent medicin  metabol syndrom  endocrinolog 1552,inflamm gum  periodont  antibiot  tetracyclin  sumycin  amoxil  amoxicillin clavulan  amoxicillin  augmentin
1553,yes lung cancer  organ cancer found includ primari  within secondari  result cancer spread cancer  breast cancer spread brain  bone  lung  liver 1553,small cell lung cancer  long see xray 1553,hernia  gastroesophag reflux diseas  colon cancer  diverticulosi  breast diseas 1553,cancer  lung cancer  small cell lung cancer  xray chest
1554,dont worri though small increas risk certain cancer associ radiat  risk much higher young children multipl ct scan  brain tumor rare absolut risk adult one head cts slight higher head ct scan  risk still low caus anxieti fear 1554,thing radiat got head ct scan 3 year ago gave brain tumorim ask im brain tumor symptom im worri 1554,nan 1554,neoplasm  cancer  brain tumor  ct scan  gamma ray  ct head  comput tomographi  irradi  radioact
1555,depend suffer disabl recurr low back pain  may take conserv nonsurg approach  pain minor herniat disc improv physic therapi  nsaid  proper sit postur avoid strain  herniat disc may persist 1555,back pain  numb foot mri report l5s1: wide base shallow disc herniat eccentr left  mild degre facet promin  central canal signific stenot  mean 1555,nan 1555,back pain  herniat disk  numb  pain back  low back pain  sciatica  mri  magnet reson imag  nerv
1556,hemorrhoid lik colon cancer usual associ frank blood stool  bright blood usual indic hemorrhoid  howev  cancer less like reason ignor  even hemorrhoid caus anemia  pleas consult doctor lesion may treat 1556,colon cancer  alway blood seen stool 1556,cancer  nutrit  cervic cancer  ovarian cancer 1556,blood stool  cancer  colon cancer  fece  colonoscopi  colon
1557,know etiolog gbms  believ seri mutat affect certain growth factor still defin  dataexperiment epidemiologicalthat demonstr relationship stress develop gbms 1557,long person live brain tumor caus symptom 1557,cancer  brain injuri  arterioven malform  glioblastoma  tbi 1557,neoplasm  cancer  brain tumor  live brain tumor  motor
1558,difficult sinc difficult tell  alway recommend check heart first  sinc consequ miss cardiac diseas fatal  also  hiatal hernia mimic cardiac diseas larg  turn case  seek consult general thorac surgeon experienc laparoscop hiatal hernia repair 1558,briefli describ ischaemia myocardi infarct heart attack 1558,hernia  surgeri  hiatal hernia  hernia repair  inguin hernia  lump groin  groin hernia  gastroesophag reflux diseas  umbil hernia  inguin hernia repair  umbil hernia repair  inguin hernia surgeri 1558,heart attack  myocardi infarct  ischemia  cardiac arrest  infarct  infarct  arteri
1559,check md symptom heart relat problem evalu medic doctor asap 1559,tmj caus leftsid face arm numb  ear full  eye feel pressur clear brainmri ct  left sidejaw pop open 1559,dental care  dental pain  dental health 1559,tmj syndrom  numb  arm numb  ear full  comput tomographi
1560,sure would see neurologist copi mri hard digit copi  report  im sure migrain relat may increas vision chang  topirim 50 mg night work wonder problem may need help insomnia mood well  think spinal tap may part workup need good neurologist 1560,lip biopsi seroneg sjogren  what diff +    see dr 11 25  suggest find info sick year  2 ivig ms 1560,mens  bleed  ovul  prematur  stomach cramp  itch  insomnia  cesarean section  fibromyalgia  menopaus  hysterectomi  depress pregnanc  perimenopaus  chronic pelvic pain  ovarian cyst remov  chronic fatigu  insomnia adult  mild headach  depress adult 1560,multipl sclerosi  sjogren syndrom  seroneg  lip biopsi  biopsi
1561,get inhal sound like allergi trigger exercis induc asthma  would lung function test  get inhal  see allergist  get skin test identifi allergi treat continu enjoy outdoor lifestyl 1561,symptom asthma dont wheez cough run jog 1561,asthma  food allergi  chronic cough  season allergi  bee sting 1561,asthma  cough  wheez  bronchospasm  run
1562,reason ask first  hospit arent hotel  yore patient  guest  choic arent make  second  would wanna check brain tumor 19yearold mayb wanna check imposs  chanc mighti remot theyd concern  suspect safe stop worri  fail  least find someth els worri 1562,ct scan kidney check stone  etc  found small ovarian cyst  adren tumor  etc   would also shown 1562,aphasia  carsick 1562,neoplasm  ovarian cyst  cancer  adren tumor  comput tomographi  ct scan
1563, almost never time visibl blood stool colon cancer  may call occult blood requir test fece 1563,luq pain  colonoscopi  blood work  stool cultur normal  abdomen tender  colicki pain  feel like cramp get eat exercis right away  new depress 25 f  pancreat cancer 1563,cancer  nutrit  cervic cancer  ovarian cancer 1563,reflux  depress  cancer  pancreat cancer  gastriti  fece  workout  colonoscopi  colic  melancholia
1564,vagin vagin yeast infect common gynecolog diagnosi primari care  treatment nonpregn women symptom metronidazol  get rx import yeast infect make suscept contract stds  chlamydia  gonorrhea  etc  vagin clindamycin cream anoth treatment  counter cream may help yore certain yeast infect 1564,help vagina itch  burn discharg 1564,chest pain  heart attack  hemorrhoid 1564,femal health  burn
1565,influenza influenza like asthmaw midst influenza outbreakof cours ill possibl 1565,sneez  itchy+runni nose even cant breath lung function test abnorm  asthma blood oxygen 100 doctor suspect hyperventil caus allergi 1565,infecti diseas  multipl trauma 1565,rhiniti  asthma  hypersensit  hyperventil  runni nose  oxygen  allergi
1566,decid ultim  undiagnos pain luq year  would recommend get condit evalu eventu diagnos  need ultim decid discomfort someth live sinc year alreadi assum lost weight  symptom  etc   end though  best safe get answer  good luck 1566,past 6 month experienc pain left testicl  bulg also seen sometim groin shown doc  say hernia  varicocel 1566,urinari tract infect 1566,hernia  enlarg testicular vein  scrotal swell
1567,tmj tmj  could myriad thing  start tmj specialist  dentist tmj expert proper train experi  common  oral surgeon  prosthodontist  orofaci pain specialist  ask md  dentist dental societi referr 1567,new ring ear slight numb around mouth nose  recent ct mri mrv eeg normal histori pregnant tmj ehler danlo anxieti  help 1567,oral surgeri  oral maxillofaci surgeri  tooth pain  manag tmj  dental pain  wisdom tooth extract  deal wisdom teeth  facial pain  facial plastic surgeri  tmj surgeri  oral cancer  botox  acn  open repair jawbon fractur 1567,feel anxious  tmj syndrom  numb  mri  pregnanc  magnet reson imag  ring ear  eeg  comput tomographi  anxieti
1568,sometim usual colonoscopi biopsi best way make diagnosi  screen colonographi ct base test identifi larger mass colon  standard colonoscopi would still requir diagnosi 1568,blood toilet paper bowel movement common sign colon cancer 1568,cancer  breast cancer  pancreat cancer  colon cancer 1568,constip  asymptomat  cancer  colon cancer  intestin  colon  bowel movement  bowel  colonoscopi  fece
1569,dr  lewi correct gargl dont haggl caffein free tea avail everywher go store  warm water bit lemon healthi teaspoon honey suffic short term  best luck 1569,glutenfre diet healthi altern someon doesnt celiac diseas 1569,orthodontia  fever  swell  feel anxious  bad breath  malocclus  blister  tooth pain  dental brace  teeth  mouth brace  leg pain  pain mouth sore  larg jaw  orthodont retain  cleft lip  lip blister  patient communic  protrud jaw  self ligat brace 1569,celiac diseas  gluten free diet  gluten  children  diet
1570,yes colon cancer start polyp  could take seven year polyp becom cancermost never  screen colonoscopi detect remov polyp may becom cancer 1570,barium enema sound fun  effect diagnos colon polyp 1570,hemorrhoid  cancer  aortic stenosi  bing eat 1570,colon polyp  polyp  colon  colon polyp  enema  colonoscopi  barium  barium enema
1571,get eval certain sound like least infect tonsilar area  get eval treat 2 month  weight loss way long wait  best wish 1571,ive prediabetesfast 91 mg dl  hba1c5 7% keton urin diabet synonym like dri skin  urin  weight loss 6 kg month 1571,urinari tract infect 1571,diabet type 2  dri skin  prediabet  diabet  insulin resist syndrom  lose weight  lose weight  lose weight  keton  micturit
1572,sort pad marker heart diseas cerebrovascular diseas  vessel eye affect  see ophthalmologist check 1572,eye ultrasound reliabl evalu vitreous syneresisno retin tear  thousand floater n cloud  signific pvd found possibl 1572,ct scan  stroke  varicos vein  carotid arteri diseas  venous insuffici  vascular ultrasound  aorta bilater iliofemor runoff cta 1572,peripher vascular diseas  floater  retina  vitreous humor
1573,tri benadryl form good sleep habit go sleep time everi night get bodi routin 1573,hard slept week  tri  valerian root  melatonin  kava  motrinpm  ambien  xanax  xanax help two night work also tri relax techniqu suggest help 1573,gastriti  bruis  ecchymos  constip  headach 1573,insomnia  herbal supplement  melatonin  relax techniqu  ambien  alprazolam  xanax
1574,yes treatment bipolar disord lithium lessen past decad  newer medic fewer side effect becom avail  mani instanc  newer medicin work well  sometim  lithium still best effect treatment  definit consid excel choic 1574,treatment bipolar disord 1574,depress  psychiatri  psychotherapi  anxieti disord  chronic pain  psychopharmacolog treatment 1574,manic depress disord  bipolar disord
1575,mani thing infect aoutoimmun diseas cancer seek medic care adult medic doctor 1575,swollen lymph node groin armpit neck allar cm diamet  also examin doctor movabl worri 1575,lung cancer  breast cancer  lymphoma  gi cancer  colorect cancer 1575,swollen gland  enlarg lymph node  lymphoma  tender lymph node  lymph node biopsi
1576,seem bothersom   otherwis u would ask question  safe side   see u pcp evalu 1576,mild pain discomfort left knee wieght trane leg yesterday  long rest appli ice heat 1576,sleep  healthi pregnanc  psychiatri  hopeless  adderal  psychiatri sleep 1576,nan
1577,gallston answer depend abdomin ultrasound done first place  gallston caus pain pancreat elev liver enzym  consid elect cholecystectomi  gallston pass without even know  other caus acut cholecyst pancreat  wall gallbladd thicken   consid remov 1577,treatment gall bladder stone  surgeri 1577,diabet  backach  hyperlipidemia 1577,asymptomat  surgeri  gallston  bladder
1578,tbi  ms ms complic diseas process sheath around nerv  caus trauma  mani condit develop result injuri   brain trauma  also  possibl misfortun suffer one bad thing  diagnosi ms easi  often come clear patient test evalu  injuri though 1578,im tysabrifor ms cold past 3 week penicillin  anti inflamitori  cold flu tablet work worri 1578,anxieti  bipolar disord  manic depress disord  person disord  dementia  memori  anxieti disord  borderlin person disord  post traumat stress disord  social anxieti disord  mind medit  general anxieti disord  vascular dementia  age grace  relax techniqu 1578,flu  multipl sclerosi  penicillin  natalizumab  tysabri
1579,sexual transmit high unlik catch high risk human papilloma virus increas risk cervic dysplasia cancer mean close sexual contact  unfortun  spread vagin  oral anal sex  care  alway use condom  get vaccin high risk hpv qualifi  current approv age 926 year old male femal 1579,possibl get cervic cancer anyth hpv 1579,incontin  obstetr  pelvic support problem 1579,cancer  cervic cancer  sex  femal health  hpv
1580,yes unless suffer perman nerv injuri relat problem recent treat  pain radiat leg treat well medic  inject  surgeri assum spine etiolog  exact locat nerv compress identifi number intervent help  see spine specialist walk workup 1580,deadlift 2 month ago  sever back pain 2 wk  mild chronic pain  get sharp pain spine across back deadlift  leg pain  weight exercis ok pull muscl take +8 week heal 1580,backach  sciatica  spinal fusion  minim invas surgeri  lower back stiff  neck pain  spinal surgeri  brain tumor 1580,muscl strain  leg pain  back pain  chronic pain  persist pain  sever back pain  exercis  pain back  par defect
1581,14 week usual proceed second eye 14 week first  long eye heal well patient happi 1581,pleas help terminolog person nearsight one eye farsight 1581,cataract  cataract surgeri  glaucoma  dri eye  ophthalmolog  cataract remov  retin disord  eyelid surgeri  corneal opac 1581,farsighted  nearsighted
1582,dr  dr  fowler took word right mouth  sudden onset pain  red  heat  swell involv big toe typic present gout  consid high blood pressur  sinc nonsteroid antiinflammatori medic like ibuprofen potenti caus fluid retent therefor rais blood pressur  would definit seek doctor advic  hyzaar contain thiazid diuret wellknown rais uric acid level  gout attack yore  might advis switch blood pressur medic someth els  asid  longer consid diet factor gout  three biggest offend precipit gouti attack aspirin  beer certain medic like one yore  feel better 1582,littl toe swollen  red  blue  numb frozen  itch swell  joint pain pinki hurt  morn night  diabet 1582,nan 1582,diabet  diabet type 2  joint pain  arthriti  broken bone  gout  nerv damag  neuropathi  peripher neuropathi  diabet neuropathi
1583,wisdom tooth pleas see oral surgeon evalu     peopl dont enough room wisdom teeth usual need extract  feel better soon 1583,tooth abscess  await extract  jaw swollen cannot open mouth wide enough treatmen amoxillian co codomol 10 day tooth ok 1583,tooth pain  root canal  dentistri  abscess  cari  dental implant  gum diseas  cosmet dentistri 1583,abscess  dental abscess  tooth abscess  amoxicillin
1584,probabl virus yet flu season report case yet  symptom like viral  would recommend ibuprofen acetaminophen pain fever  case strep throat respond initi cours antibiot  howev  sore throat improv 3 day fever last longer 5 day  see doctor 1584,pressur n face nose  eye runni nose  cough  lighthead blow nose kinda green alil fever ach 1584,mening  sickl cell diseas  stroke  diarrhea  children health  vaccin  neck pain  advil  pimpl  headach  sore throat  burn  acn  scar  acn scar  facial pimpl  oral contracept  throat pain  sunburn  cough 1584,rhiniti  cough  dizzi  fever  lightheaded  runni nose
1585,prompt surgeri utmost respect prior respons  complex ovarian cyst larger 68 cm  must consid prompt surgeri accord standard care american colleg ob gyn  complex cyst vs  simpl  greater risk malign cancer  cyst larger 6 cm pose signific risk torsion twist  ruptur  except  see obg prompt 1585,ive told hv complex ovarian cyst multipl fibroid r calcifi  fibroid r insid outsid uterus  worri 1585,fertil  get pregnant  polycyst ovarian syndrom  ivf pregnanc  endometriosi  pregnanc loss  ectop pregnanc 1585,uterin fibroid  ovarian cyst  fibroid
